apt_seq	area_type	area_type_source	floor_band	jeonse_level	jeonse_per_m2_adj	jeonse_n_trades	jeonse_months_since	is_move_in_period	jeonse_over_sale_ratio_gt1	est_price_per_m2	est_low	est_high	est_confidence
11110-17	105.000000	RENT	MID	RENT_CELL	525.096888	1.000000	17.000000	0.000000	False	807.804750	715.865631	1027.826041	LOW
11110-17	108.000000	RENT	HIGH	RENT_CELL	286.871926	5.000000	30.000000	0.000000	False	687.775851	609.497646	875.104944	LOW
11110-17	111.000000	RENT	HIGH	RENT_CELL	418.483945	4.000000	27.000000	0.000000	False	699.579622	619.957988	890.123701	LOW
11110-17	111.000000	RENT	MID	RENT_CELL	418.483945	4.000000	27.000000	0.000000	False	714.696697	633.354535	909.358205	LOW
11110-17	114.000000	RENT	MID	RENT_CELL	271.197489	1.000000	38.000000	0.000000	False	689.958021	611.431455	877.881470	LOW
11110-2071	132.000000	RENT	HIGH	RENT_CELL	411.106677	1.000000	24.000000	0.000000	False	585.874920	519.194421	745.449318	LOW
11110-2071	135.000000	RENT	LOW	RENT_CELL	427.715680	1.000000	12.000000	0.000000	False	574.704582	509.295418	731.236521	LOW
11110-2071	141.000000	RENT	LOW	RENT_CELL	487.978807	1.000000	10.000000	0.000000	False	660.482139	585.310328	840.377260	LOW
11110-2071	141.000000	RENT	MID	RENT_CELL	487.978807	1.000000	10.000000	0.000000	False	677.950093	600.790193	862.602950	LOW
11110-2071	153.000000	RENT	MID	RENT_CELL	385.075023	1.000000	45.000000	0.000000	False	550.441275	487.793604	700.364632	LOW
11110-208	60.000000	RENT	UNKNOWN	RENT_CELL	605.734748	1.000000	20.000000	0.000000	False	735.560689	651.843922	935.904909	LOW
11110-210	30.000000	BOTH	HIGH	RENT_CELL	574.061112	1.000000	18.000000	0.000000	False	652.562462	578.292018	830.300506	LOW
11110-210	30.000000	BOTH	MID	RENT_CELL	574.061112	1.000000	18.000000	0.000000	False	642.774558	569.618110	817.846676	LOW
11110-2109	117.000000	SALE	HIGH	SALE_CELL				0.000000	False	1345.651243	1192.497910	1712.165459	LOW
11110-211	99.000000	RENT	HIGH	RENT_CELL	386.304900	2.000000	20.000000	0.000000	False	676.564152	599.561991	860.839522	LOW
11110-213	24.000000	RENT	UNKNOWN	RENT_CELL	579.072643	1.000000	13.000000	0.000000	False	662.764497	587.332923	843.281263	LOW
11110-213	27.000000	RENT	UNKNOWN	RENT_CELL	586.502581	1.000000	15.000000	0.000000	False	663.506415	587.990401	844.225256	LOW
11110-213	33.000000	RENT	UNKNOWN	RENT_CELL	595.898503	1.000000	53.000000	0.000000	False	656.713862	581.970932	835.582619	LOW
11110-213	60.000000	RENT	UNKNOWN	RENT_CELL	305.445282	2.000000	16.000000	0.000000	False	459.078042	406.828745	584.116851	LOW
11110-215	27.000000	RENT	UNKNOWN	RENT_CELL	275.075091	3.000000	6.000000	0.000000	False	477.040084	422.746463	606.971204	LOW
11110-215	33.000000	RENT	UNKNOWN	RENT_CELL	296.566210	2.000000	18.000000	0.000000	False	483.292792	428.287528	614.926958	LOW
11110-215	60.000000	RENT	UNKNOWN	RENT_CELL	465.535691	1.000000	26.000000	0.000000	False	567.268624	502.705774	721.775237	LOW
11110-215	69.000000	RENT	UNKNOWN	RENT_CELL	245.580495	3.000000	0.000000	0.000000	False	506.888835	449.198022	644.949840	LOW
11110-219	75.000000	RENT	UNKNOWN	RENT_CELL	459.891318	2.000000	12.000000	0.000000	False	615.237895	545.215492	782.809869	LOW
11110-219	99.000000	SALE	UNKNOWN	RENT_COMPLEX	459.891318	2.000000	12.000000	0.000000	False	588.574729	521.586955	748.884472	LOW
11110-2211	135.000000	RENT	UNKNOWN	RENT_CELL	604.713361	1.000000	45.000000	0.000000	False	759.040383	672.651310	965.779754	LOW
11110-2211	138.000000	RENT	UNKNOWN	RENT_CELL	615.449164	1.000000	15.000000	0.000000	False	754.333381	668.480028	959.790708	LOW
11110-2211	141.000000	RENT	UNKNOWN	RENT_CELL	589.816222	1.000000	35.000000	0.000000	False	761.669621	674.981305	969.125116	LOW
11110-2211	159.000000	RENT	UNKNOWN	RENT_CELL	582.498229	3.000000	33.000000	0.000000	False	756.381060	670.294654	962.396113	LOW
11110-2301	33.000000	SALE	UNKNOWN	RENT_COMPLEX	585.124621	9.000000	3.000000	0.000000	False	853.731487	756.565284	1086.261816	LOW
11110-2301	63.000000	SALE	UNKNOWN	RENT_COMPLEX	585.124621	9.000000	3.000000	0.000000	False	881.265730	780.965757	1121.295545	LOW
11110-2301	84.000000	RENT	UNKNOWN	RENT_CELL	585.124621	9.000000	3.000000	0.000000	False	840.132711	744.514233	1068.959150	LOW
11110-2340	15.000000	RENT	HIGH	RENT_CELL	1041.717779	22.000000	0.000000	0.000000	True	779.906459	691.142544	992.329110	MEDIUM
11110-2340	15.000000	RENT	MID	RENT_CELL	1041.717779	22.000000	0.000000	0.000000	True	775.818649	687.519982	987.127906	LOW
11110-2364	69.000000	BOTH	UNKNOWN	RENT_CELL	464.462498	4.000000	4.000000	0.000000	False	754.541350	668.664327	960.055322	LOW
11110-24	72.000000	RENT	UNKNOWN	RENT_CELL	786.651434	2.000000	27.000000	0.000000	False	916.457873	812.152557	1166.072950	LOW
11110-24	84.000000	RENT	UNKNOWN	RENT_CELL	485.619141	1.000000	18.000000	0.000000	False	651.227837	577.109291	828.602370	LOW
11110-2663	33.000000	RENT	HIGH	RENT_CELL	121.664309	2.000000	16.000000	0.000000	False	1011.338465	896.234454	1286.796112	LOW
11110-2663	33.000000	RENT	LOW	RENT_CELL	121.664309	2.000000	16.000000	0.000000	False	1065.856219	944.547349	1356.162834	LOW
11110-2663	33.000000	RENT	MID	RENT_CELL	121.664309	2.000000	16.000000	0.000000	False	1042.497693	923.847339	1326.442160	LOW
11110-27	60.000000	RENT	UNKNOWN	RENT_CELL	509.238758	2.000000	2.000000	0.000000	False	642.992338	569.811103	818.123772	LOW
11110-2703	27.000000	RENT	HIGH	RENT_CELL	1370.085396	74.000000	0.000000	0.000000	False	1532.349278	1357.947181	1949.714326	LOW
11110-2703	27.000000	RENT	LOW	RENT_CELL	1370.085396	74.000000	0.000000	0.000000	False	1476.585603	1308.530167	1878.762332	LOW
11110-2703	27.000000	RENT	MID	RENT_CELL	1370.085396	74.000000	0.000000	0.000000	False	1504.535563	1333.299043	1914.325005	LOW
11110-2704	21.000000	RENT	HIGH	RENT_CELL	853.126509	91.000000	1.000000	0.000000	False	1135.380470	1006.158799	1444.623363	LOW
11110-2704	21.000000	RENT	LOW	RENT_CELL	853.126509	91.000000	1.000000	0.000000	False	1076.643584	954.106966	1369.888347	LOW
11110-2704	21.000000	RENT	MID	RENT_CELL	853.126509	91.000000	1.000000	0.000000	False	1108.172927	982.047843	1410.005318	LOW
11110-2704	30.000000	RENT	HIGH	RENT_CELL	843.231372	45.000000	0.000000	0.000000	False	1123.399327	995.541272	1429.378923	LOW
11110-2704	30.000000	RENT	LOW	RENT_CELL	843.231372	45.000000	0.000000	0.000000	False	1065.692685	944.402427	1355.954758	LOW
11110-2704	30.000000	RENT	MID	RENT_CELL	843.231372	45.000000	0.000000	0.000000	False	1097.212809	972.335134	1396.059999	LOW
11110-2704	33.000000	RENT	HIGH	RENT_CELL	795.255749	6.000000	11.000000	0.000000	False	1034.084291	916.391497	1315.737205	LOW
11110-2704	33.000000	RENT	LOW	RENT_CELL	795.255749	6.000000	11.000000	0.000000	False	993.984615	880.855707	1264.715605	LOW
11110-2704	33.000000	RENT	MID	RENT_CELL	795.255749	6.000000	11.000000	0.000000	False	1022.866837	906.450741	1301.464460	LOW
11110-2704	36.000000	RENT	HIGH	RENT_CELL	782.474118	15.000000	0.000000	0.000000	False	1116.024224	989.005555	1419.995067	LOW
11110-2704	36.000000	RENT	LOW	RENT_CELL	782.474118	15.000000	0.000000	0.000000	False	1065.688506	944.398724	1355.949441	LOW
11110-2704	36.000000	RENT	MID	RENT_CELL	782.474118	15.000000	0.000000	0.000000	False	1099.179353	974.077859	1398.562169	LOW
