osm_id	shop_type	name	lon	lat
8019955688	supermarket	나들가게	126.7876984	37.4903235
8019978987	supermarket	대영할인마트	126.7870905	37.4931272
8019995085	supermarket	럭키식자재마트	126.7844837	37.4934475
8105335517	supermarket	중동세계로마트 24시	126.7758342	37.4977258
8356038917	supermarket	하모니마트1F	126.8440373	37.5024919
10181733209	supermarket	Ccokio	126.7754952	37.5109475
10181733210	supermarket	쿨마트	126.7740627	37.5106382
10181733211	supermarket	emart24	126.7761287	37.5075588
11813007668	supermarket	알콩달콩반찬	126.7761983	37.5074944
11888432141	supermarket	엠파이어 할인마트	126.7742096	37.4845425
11892849758	supermarket	영마트	126.8366188	37.5189983
12307511344	supermarket	GS더프레시 항동에듀힐즈점	126.8248388	37.4779655
12307522780	supermarket	E-Mart	126.8254707	37.4816384
12409065754	supermarket	경기마트 개봉점	126.8569941	37.4862212
222588514	department_store	현대	126.7620643	37.5043055
469367329	mall	이마트	126.7827397	37.4840727
471557324	mall	홈플러스 부천여월점	126.8024969	37.5158176
472081590	supermarket	구로식자재할인마트	126.8560663	37.4980922
472081591	supermarket		126.8564603	37.498047
489787112	supermarket	GS슈퍼마켓 부천약대점	126.7716032	37.5136431
490850377	department_store	롯데백화점	126.7753637	37.5025455
490850383	mall	이마트 중동점	126.763964	37.5040719
621419776	department_store	Homeplus	126.8143206	37.4848682
628735111	supermarket	풍성마트	126.8374011	37.4884052
635347431	mall	스타필드시티 부천점	126.8139355	37.461444
895427774	supermarket	성대마트	126.7809965	37.4781413
895427775	supermarket	킹식자재마트 송내점	126.7633106	37.4843135
1336446130	supermarket	홈플러스익스프레스	126.8553863	37.497527
1344767931	supermarket	엘마트	126.7966129	37.4382843
368664242	supermarket	미도파마트	126.904929	37.483165
368664249	supermarket	우리들마트	126.938334	37.512694
368664316	supermarket	새천년할인마트	126.9014089	37.4636426
368664381	supermarket	153안경마트;신도림동.구로역(중)	126.8831901	37.5054489
368664430	supermarket	바코드마트	126.895265	37.483652
368664482	supermarket	유기올마트	126.907923	37.480273
368664874	supermarket	e라벨마트	126.894405	37.484491
368664952	supermarket	가나안할인마트	126.901805	37.456337
368664979	supermarket	현대마트	126.8927231	37.4968134
368665057	supermarket	인테리어디씨마트	126.903928	37.493681
368665228	supermarket	가구마트	126.941192	37.513819
368665290	supermarket	한양 벽지마트	126.875002	37.518326
368665357	supermarket	베스트DC아울렛	126.9425321	37.4820862
368665438	supermarket	신도림열쇠마트	126.884361	37.511287
368665485	supermarket	현대이삿짐마트	126.931195	37.4985
368665493	supermarket	동양마트	126.8882347	37.5172446
368665559	supermarket	성인마트	126.903755	37.476856
368665581	supermarket	홍삼마트	126.948814	37.486519
368665702	supermarket	할인마트	126.889551	37.45405
368665712	supermarket	보물마트	126.909905	37.45041
368665722	supermarket	신원마트	126.8635954	37.4992436
368665777	supermarket	코사마트	126.904207	37.470696
368665816	supermarket	와봐유K마트	126.915491	37.474585
368665905	supermarket	리첸시아마트	126.93826	37.518758
368666020	supermarket	행복마트	126.907582	37.513811
368666074	supermarket	폼마트	126.88821	37.471349
368666082	supermarket	대호할인마트	126.955466	37.483929
368666193	supermarket	21세기축산마트	126.8864842	37.5081754
368666338	supermarket	지씨마트	126.907644	37.447307
368666382	supermarket	훼미리마트	126.88373	37.517174
368685448	supermarket	홈마트	126.880324	37.464867
368857380	supermarket		126.915364	37.450415
368867389	supermarket	푸른터시장	126.901329	37.478068
368867399	supermarket	영등포중앙시장	126.906588	37.519911
368867421	supermarket	럭키남서울종합상가	126.8999684	37.4492294
368867514	supermarket	신림회시장	126.928024	37.484494
368867521	supermarket	어시장	126.922843	37.512986
368867632	supermarket	GS25구로시장	126.884422	37.488137
368867669	supermarket	영등포구벼룩시장	126.896192	37.5024354
368867691	supermarket		126.887298	37.483298
368867710	supermarket	재활용알뜰시장	126.923088	37.469878
368939457	supermarket	서울축협	126.950919	37.512356
368939464	supermarket	서울축산농협	126.9412858	37.4822832
1790457427	supermarket	7-ELEVEN	126.9485732	37.456484
2296555616	supermarket	Homeplus Express	126.9185228	37.5140702
3212614693	supermarket	E-Mart	126.8906927	37.5067354
3414261497	department_store	롯데백화점	126.9069081	37.5158129
3511747897	department_store	신세계A관	126.9051026	37.5176671
3511804095	department_store	신세계B관	126.905414	37.51717
3610334214	supermarket	성대마트	126.8887961	37.5185592
3749405416	supermarket	GS슈퍼마켓 안양석수점	126.9013245	37.4310528
3833429769	supermarket	E-Mart	126.9029904	37.5169155
4392549193	department_store	롯데팩토리아울렛 가산점	126.8846365	37.4796265
4631393047	supermarket	대가농산물마트	126.9291098	37.4791069
4631514451	supermarket	롯데아울렛 가산점	126.8846293	37.4792241
4634355158	supermarket	신도림동 홈플러스	126.8886328	37.509787
4634358060	supermarket	모닝글로리	126.8846468	37.5114931
4636407916	supermarket	GS25상도아람점	126.9335958	37.4955541
4636923840	supermarket	가락마트	126.9429813	37.4795306
4637430095	supermarket	삼환수퍼	126.8899175	37.5134876
4637445936	supermarket	친환경 음식 파는 곳	126.8879501	37.5144737
4637449120	supermarket	영단수퍼	126.8898446	37.5150751
4637550617	supermarket	대흥마트	126.8803061	37.4670305
4639435207	supermarket	은하마트	126.8989743	37.4613888
4639447302	supermarket	한빛할인마트	126.900071	37.4615548
4640286986	supermarket	예스마트	126.8607214	37.5186031
4641109983	supermarket	GS슈퍼마켓	126.882507	37.4589062
4641114912	supermarket	싱싱마트	126.88356	37.4573788
4641797910	supermarket	한양슈퍼	126.9002056	37.4697534
4644851091	supermarket	싱싱할인마트	126.9480135	37.4833259
4655190166	supermarket	명품마트	126.9437371	37.5067457
4659137268	supermarket	단골	126.8994244	37.461022
4659137269	supermarket	큰슈퍼	126.8994485	37.4610188
4661229846	supermarket	부용마트	126.9090127	37.4868085
4661241851	supermarket	CU 신대방해피점	126.9076488	37.486435
4727956210	supermarket	이마트에브리데이	126.8814378	37.4622135
4848624624	supermarket	하나마트	126.8794794	37.5104867
5021686222	supermarket	롯데슈퍼	126.8800493	37.4329601
5156462222	supermarket		126.9445049	37.5114031
5160317463	supermarket	대농마트	126.9278584	37.4811724
5160317862	supermarket	대성미니슈퍼	126.9270139	37.4779889
5271265185	supermarket	한양슈퍼	126.9462588	37.4807062
5579393421	supermarket	세븐일레븐	126.9107678	37.5073173
5579445721	supermarket		126.9098874	37.5078389
5579445722	supermarket		126.9096099	37.5062381
6132066707	supermarket	롯데마트	126.8970978	37.459206
7224661886	supermarket	웰빙마트	126.9389742	37.4691638
7502323752	supermarket	홈플러스익스프레스 구로점	126.8736098	37.495784
7502323755	supermarket	이마트에브리데이 구로점	126.8748711	37.4968842
7502323763	supermarket	현대마트	126.8763564	37.4923544
7558391600	supermarket	농특산물전문마트	126.923919	37.4984653
7559559388	supermarket	emarteveryday	126.9295202	37.499754
7559559413	supermarket	G마트	126.9319677	37.4998962
7559560392	supermarket	상도구판장	126.9328432	37.5006088
7831568187	supermarket	충남상회	126.9543465	37.4826284
7835660985	supermarket	신세계마트	126.9443471	37.5118484
7899144887	supermarket	보광슈퍼	126.8983837	37.4929312
7899419186	supermarket	새로나슈퍼	126.9005722	37.4994468
7899481591	supermarket	LOTTE	126.896186	37.5031528
7904817587	supermarket	시즌미니슈퍼	126.8939114	37.5117204
8082353717	supermarket	정림할인마트	126.9281384	37.4815071
8082419219	supermarket	별슈퍼	126.9258558	37.482914
8082800317	supermarket	정종종국식품	126.9261271	37.4828358
8082800318	supermarket	태양계란	126.9260452	37.4827524
8120045818	supermarket	굿모닝할인마트	126.9511643	37.5120888
8120235517	supermarket	소망할인마트24시	126.9457335	37.5119411
8487402017	department_store	다이소	126.9243042	37.4910351
10177874269	department_store	롯데백화점	126.9249341	37.4903324
11014563991	supermarket	킹콩마트	126.899541	37.4944045
12074654061	supermarket	무인양품 타임스퀘어점	126.9038984	37.517423
12082079624	supermarket	진로마트	126.9048582	37.509767
12817043012	supermarket	Jowon Mart	126.9122329	37.4853573
13173264518	supermarket	GS25	126.9318428	37.4823084
13784446122	supermarket	럭키슈퍼	126.9191489	37.4819426
13784485818	supermarket	그린수퍼마켓	126.9201487	37.4820759
178254713	supermarket	GS수퍼마켓 관악점	126.9489951	37.4793355
252225326	department_store	뉴코아아울렛뉴코아팩토리아울렛 광명점	126.8793434	37.4611761
252891438	supermarket	서부식자재마트	126.8671952	37.5100196
252899319	department_store	NC백화점 구로점	126.8827692	37.5011367
