ykiho	name	class_cd	class_nm	sggu_nm	emdong_nm	addr	lon	lat	estb_day	doctor_total	telno	is_pediatric
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz	본큐어한의원	93	한의원	강남구	청담동	서울특별시 강남구 삼성로 767, 3층 (청담동)	127.0476326	37.523115	20230125	3	02-6952-0833	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQxIyQ3IyQ5MiQzNjEwMDIjNjEjJDEjJDAjJDgz	본플러스한의원	93	한의원	서초구	방배동	서울특별시 서초구 동작대로 118, 407호 (방배동, 예다인플라자)	126.9827445	37.4870042	20030708	0	585-7533	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzExIyQxIyQ3IyQ2MiQ0NjEwMDIjNjEjJDEjJDQjJDgz	본한의원	93	한의원	송파구	송파동	서울특별시 송파구 백제고분로42길 10, 3층 (송파동)	127.1097149	37.5054966	20180628	1	02-516-7501	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzExIyQxIyQ3IyQ5MiQzNjE0ODEjODEjJDEjJDIjJDgz	본한의원	93	한의원	강북구	미아동	서울특별시 강북구 도봉로67길 39, 2층 (미아동)	127.0224351	37.6299216	20060925	1	02-983-7575	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzExIyQxIyQzIyQwMyQzNjEwMDIjNTEjJDEjJDIjJDgz	본한의원	93	한의원	구로구	구로동	서울특별시 구로구 구로동로26길 73, (구로동)	126.8881509	37.4900856	20150616	1	02-858-1675	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzQxIyQyIyQ3IyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz	본한의원	93	한의원	도봉구	도봉동	서울특별시 도봉구 마들로 859-19, 상가1동 112,113호 (도봉동, 도봉한신아파트)	127.0480152	37.6862598	20161222	1	02-956-4380	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNDEjJDEjJDgjJDgz	본향한의원	93	한의원	성동구	성수동2가	서울특별시 성동구 뚝섬로 401-2, 일산빌딩 2층 (성수동2가)	127.0554196	37.5389525	20180904	1	02-3409-7582	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjE0ODEjODEjJDEjJDYjJDgz	봄날한의원	93	한의원	동작구	사당동	서울특별시 동작구 동작대로7길 83, 2층 (사당동)	126.9782012	37.4776089	20190410	1	02-883-6655	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzMxIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz	봄바람한의원	93	한의원	서초구	방배동	서울특별시 서초구 방배로 110, 하나은행 1층 102호 (방배동)	126.9963627	37.4840929	20210618	1	02-2068-3523	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz	봄빛한의원	93	한의원	강동구	길동	서울특별시 강동구 양재대로 1477, (길동)	127.1396971	37.5377748	20051230	1	02-489-1275	False
