aptSeq	apt_name	umd_name	jibun	build_year	n_trades	name_key	osm_id	name	osm_build_year	osm_n_dong
11680-301	목련타운	일원동	716	1993.0	6	목련타운	474533732.0	목련타운아파트	1993.0	8.0
11680-5004	래미안라클래시	삼성동	189	2021.0	12	래미안라클래시	614498548.0	래미안라클래시아파트	2021.0	8.0
11680-4988	디에이치자이개포	일원동	743	2021.0	9	디에이치자이개포	548704039.0	디에이치 자이 개포	2021.0	8.0
11680-206	대치현대	대치동	974	1999.0	13	대치현대	803639607.0	대치현대아파트	1999.0	8.0
11680-310	개포한신	일원동	615-1	1984.0	9	개포한신	468935322.0	개포한신아파트	1985.0	8.0
11680-314	까치마을	수서동	746	1993.0	92	까치마을	548704034.0	까치마을아파트	1993.0	7.0
11680-3953	세곡리엔파크(3단지)	세곡동	516	2011.0	1	세곡리엔파크3단지	382259619.0	세곡리엔파크3단지	2011.0	7.0
11680-318	수서한아름	수서동	712	1993.0	7	수서한아름	803489794.0	수서한아름아파트	1993.0	7.0
11680-3680	개나리래미안	역삼동	754	2006.0	4	개나리래미안	548803577.0	개나리 래미안아파트	2006.0	7.0
11680-4296	테헤란아이파크	역삼동	709-5	2014.0	8	테헤란아이파크	417923186.0	테헤란 아이파크	2014.0	6.0
11680-279	삼익대청아파트	개포동	12	1992.0	31	삼익대청	548704043.0	삼익대청아파트	1992.0	6.0
11680-5005	대치르엘	대치동	1030	2021.0	9	대치르엘	900203758.0	대치르엘아파트	2021.0	6.0
11680-391	개포주공5단지	개포동	187	1983.0	12	개포주공5단지	370432226.0	개포주공5단지아파트	1983.0	6.0
11680-507	삼성동중앙하이츠빌리지	삼성동	14-1	2004.0	6	삼성동중앙하이츠빌리지	614498542.0	삼성동중앙하이츠빌리지아파트	2004.0	5.0
11680-3871	래미안그레이튼	역삼동	763-16	2009.0	5	래미안그레이튼	417923182.0	래미안그레이튼아파트	2011.0	5.0
11680-3678	개나리푸르지오	역삼동	755-1	2006.0	7	개나리푸르지오	548803578.0	개나리푸르지오아파트	2006.0	5.0
11680-4004	청담자이	청담동	134-38	2011.0	19	청담자이	800235369.0	청담자이아파트	2011.0	5.0
11680-4653	청담린든그로브	청담동	67-1	2017.0	4	청담린든그로브	884138629.0	청담 린든그로브	2017.0	5.0
11680-3766	래미안펜타빌	역삼동	713-7	2007.0	5	래미안펜타빌	510394405.0	래미안 펜타빌	2007.0	5.0
11680-283	개포우성3차	개포동	652	1984.0	3	개포우성3차	362627806.0	개포우성3차아파트	1984.0	5.0
11680-316	삼성	수서동	747	1997.0	11	삼성	895482734.0	삼성아파트	1994.0	4.0
11680-4949	디에이치포레센트	일원동	742	2021.0	3	디에이치포레센트	703087401.0	디에이치포레센트아파트	2021.0	4.0
11680-4356	아크로힐스논현	논현동	276-1	2014.0	11	아크로힐스논현	976267603.0	아크로힐스논현아파트	2014.0	4.0
11680-302	삼성	일원동	626	1986.0	2	삼성	895482734.0	삼성아파트	1994.0	4.0
11680-3667	동양파라곤	청담동	69-18	2006.0	3	동양파라곤	976267585.0	동양파라곤아파트	2004.0	4.0
11680-330	삼성	도곡동	161	1994.0	3	삼성	895482734.0	삼성아파트	1994.0	4.0
11680-473	동양파라곤	논현동	245	2004.0	2	동양파라곤	976267585.0	동양파라곤아파트	2004.0	4.0
11680-78	청담현대3차아파트	청담동	127-31	1999.0	9	청담현대3차	356473839.0	청담현대 3차 아파트	1999.0	4.0
11680-6669	아크로삼성	삼성동	79	2025.0	1	아크로삼성	967848263.0	아크로삼성아파트	2025.0	4.0
11680-168	삼성동롯데아파트	삼성동	17	2000.0	9	삼성동롯데	471571215.0	삼성동롯데아파트	2000.0	3.0
11680-252	현대까르띠에710	역삼동	710	2001.0	5	현대까르띠에710	510394415.0	현대 까르띠에 710	2001.0	3.0
11680-4084	개나리SK뷰	역삼동	716-3	2012.0	2	개나리sk뷰	510394439.0	개나리 SK뷰	2012.0	3.0
11680-3760	역삼2차아이파크	역삼동	765-32	2008.0	3	역삼2차아이파크	900203721.0	역삼2차아이파크아파트	2008.0	3.0
11680-385	미성1차	압구정동	414	1982.0	2	미성1차	432034136.0	미성1차아파트	1982.0	3.0
11680-4515	역삼자이	역삼동	711-3	2016.0	1	역삼자이	510394413.0	역삼 자이	2016.0	3.0
11680-320	경남	도곡동	967	2005.0	4	경남	473590806.0	경남아파트	1999.0	2.0
11680-554	한진로즈힐	논현동	105-4	2004.0	2	한진로즈힐	1079295778.0	한진로즈힐아파트	2004.0	2.0
11680-194	삼성동한솔아파트	삼성동	4-6	1998.0	11	삼성동한솔	614498545.0	삼성동 한솔아파트	1998.0	2.0
11680-323	대림아크로빌	도곡동	467-6	1999.0	6	대림아크로빌	888051963.0	대림아크로빌	1999.0	2.0
11680-339	도곡우성아파트	도곡동	934-10	1986.0	3	도곡우성	379417118.0	도곡우성아파트	1986.0	2.0
11680-3665	영무예다음	삼성동	122-7	2006.0	1	영무예다음	1077632503.0	영무예다음아파트	2006.0	2.0
11680-83	현대아파트	청담동	23	1988.0	7	현대	701384490.0	현대아파트	1989.0	2.0
11680-403	쌍용플래티넘	삼성동	117	2003.0	1	쌍용플래티넘	1077632502.0	쌍용플래티넘아파트	2003.0	2.0
11680-399	롯데캐슬모닝	도곡동	551-28	2003.0	2	롯데캐슬모닝	1077632517.0	롯데캐슬모닝아파트	2003.0	2.0
11680-3780	하이캐슬	대치동	986-14	2008.0	1	하이캐슬	903986660.0	하이캐슬아파트	2008.0	2.0
11680-161	우민	논현동	107-44	2002.0	4	우민	472039909.0	우민아파트	2002.0	1.0
11680-177	서광아파트	삼성동	2	1998.0	11	서광	469594399.0	서광 아파트	1998.0	1.0
11680-392	동부센트레빌	논현동	275	2003.0	9	동부센트레빌	417923189.0	동부센트레빌	1998.0	1.0
11680-319	신동아	수서동	736	1992.0	46	신동아	472275936.0	신동아아파트		1.0
11680-328	매봉삼성	도곡동	966	1999.0	8	매봉삼성	468950508.0	매봉삼성아파트	1999.0	1.0
11680-4292	청담아이파크	청담동	130	1992.0	4	청담아이파크	1351497699.0	청담아이파크아파트	1992.0	1.0
11680-47	신동아	청담동	134-16	1997.0	3	신동아	472275936.0	신동아아파트		1.0
11680-5267	에테르노청담	청담동	106-7	2023.0	1	에테르노청담	356474588.0	에테르노 청담	2023.0	1.0
11680-601	동부센트레빌	대치동	670	2005.0	14	동부센트레빌	417923189.0	동부센트레빌	1998.0	1.0
11680-73	청담우방아파트	청담동	43	1999.0	5	청담우방	1351982037.0	청담우방아파트	1999.0	1.0
11680-101	한신오페라하우스	청담동	35-47	2003.0	1	한신오페라하우스				
11680-104	거평프리젠	논현동	196	1996.0	4	거평프리젠				
11680-105	경남논현	논현동	274	1996.0	5	경남논현				
11680-109	신동아(22)	논현동	22	1997.0	36	신동아22				
11680-121	동현아파트1~6	논현동	105	1985.0	14	동현16				
11680-124	삼성빌라트	논현동	79-5	1998.0	2	삼성빌라트				
11680-128	세호시티라이프	논현동	122-25	1996.0	1	세호시티라이프				
11680-136	쌍용	논현동	103	1996.0	7	쌍용				
