osm_id	name	lat	lon	ele_m
10252984843	모자봉	37.44982	126.94479	240.0
7570474151	돌산	37.4579717	126.9384599	236.0
4576601570	앵봉산	37.6297001	126.9082513	235.0
10125280558	철봉	37.4236833	126.9660029	234.0
10252984856	국기봉(돌산바위)	37.461502	126.942262	233.0
446001452	가학산	37.4279921	126.8673018	220.0
10253004757	원효봉	37.66372	126.95886	218.1
10253004725	곱돌산	37.67236	127.14409	218.0
7972724256	성주산	37.4717954	126.7782985	216.5
2668258478	백련산	37.5916113	126.9278193	215.0
6119857915	서독산	37.4248669	126.8741552	213.0
7972724231	거마산	37.4663972	126.765873	210.3
10252999164	금화산	37.57241	126.95036	209.0
4908796773	봉산	37.6124264	126.900963	209.0
10252984941		37.46726	126.99715	208.8
10252999126	말바위	37.5934208	126.9859803	208.0
10125287505	이성산	37.5267035	127.1822421	208.0
11266135007	고봉산	37.6925016	126.7901793	206.3
10253004719	옥녀봉	37.66079	126.92743	204.9
3819845648	시루봉	37.5810898	127.1167631	204.0
4909158623	도덕산	37.4653398	126.8571744	201.0
10252984860	범바위산	37.45654	127.09413	197.9
10253004812	대자산	37.700816	126.889847	196.0
10252984851	굴바위산	37.4516	127.03609	194.4
9188480813	영장산	37.4539366	127.1380152	193.7
10252973520	무재봉	37.401	126.99595	184.9
10252984919	도덕산	37.47036	126.86077	183.1
2828072307	국사봉	37.4927716	126.9397882	180.9
10170673480	망월산	37.6077425	126.8866854	179.4
10252985181	구능산	37.6163222	127.1167361	177.9
7199674118	매봉	37.5444002	127.0089842	174.9
10252985033	서달산	37.4972431	126.9618216	173.0
2955758826	우정봉	37.4625178	126.9554776	173.0
10252985035	원미산	37.49517	126.79995	167.0
10252984956	선우봉	37.4653166	126.9140352	165.0
7972716248	관모산	37.4555124	126.7625524	160.8
2471012414	봉화산	37.6085071	127.0872047	160.0
5634783065	청룡산	37.4739417	126.94512	160.0
10252985193	문령산	37.6446028	127.1790778	155.5
11807068666		37.4780326	127.0973252	152.0
11807097067		37.478177	127.0983969	152.0
10252984913	할미산	37.4654417	126.8040417	151.9
10125280553	양지산	37.4307056	126.8255999	150.9
7972724185	상아산	37.4542643	126.7655499	150.8
10125280554	봉재산	37.4220658	126.8294776	147.7
4605180547	천왕산	37.4780987	126.8324569	144.0
10125280552	천왕산	37.4833779	126.8320755	144.0
10253004815	심리산	37.6967417	126.8636278	143.0
10252985152	팔강산	37.621	127.11025	142.6
2668331254	천마산	37.5034322	127.1575021	141.0
10252954184	봉바위산	37.41467	127.08985	140.7
10252985192	가사미산	37.68551	126.81303	140.2
4881890761	건우봉	37.4742248	126.9266112	140.0
10253004814	장령산	37.698413	126.870285	140.0
2668331568	천장산	37.601984	127.0508026	140.0
11813365888		37.5294083	127.1532695	140.0
11813366270		37.5282468	127.1523972	140.0
10253004807	견달산	37.6931222	126.8234639	138.7
10252954165	성채산	37.4282917	126.8886139	138.5
10252984994	국기봉	37.50824	126.82484	137.0
2668169290	개운산	37.5963229	127.0274349	134.0
10253004720	상산	37.6758333	126.8975083	133.4
9436282661	독산	37.7053952	126.8319363	133.2
5750035962	이말산	37.6392061	126.9245697	132.7
2475002037	개화산	37.5826798	126.8051783	132.0
4605968258	건지산	37.4766116	126.8296511	131.4
11813366183		37.5338165	127.1591355	130.0
10252999147	개화산	37.5816667	126.8061694	128.4
10168068189	봉매산	37.4658713	126.7943458	128.4
10252984874	서산	37.4591	126.856	128.1
10252999139	대덕산	37.5868139	126.8628833	126.3
10252985407	지향산	37.5200111	126.8255528	125.7
10253004764	가장산	37.708866	126.864808	125.0
4909158622	개웅산	37.4865928	126.8446547	125.0
10252985357	해맞이봉	37.51684	126.82387	125.0
4908798243	덕양산	37.5957851	126.8291923	124.6
8910876103	낙산	37.5805584	127.0086015	124.4
10252999057	복주산	37.56608	126.94957	124.4
10252985052	원미산	37.4897583	126.7962778	123.7
10252984969	까치산	37.48372	126.96127	122.3
5515194663	시루봉	37.6656503	127.024447	121.3
10253004727	매봉산	37.6799667	126.8743944	121.0
