apt_seq	area_type	floor_band	n_trades_24m	last_deal_ym	last_price_manwon	last_price_per_m2	mean_price_per_m2_24m	price_source
11350-1724	51.0	HIGH	0				893.825265312595	COMPLEX_MEAN
11350-1724	51.0	LOW	4	202509.0	44500.0	897.1774193548387	814.0120967741935	CELL_LAST
11350-1724	51.0	MID	1	202603.0	43900.0	885.0806451612902	885.0806451612902	CELL_LAST
11350-1724	60.0	HIGH	0				893.825265312595	COMPLEX_MEAN
11350-1724	60.0	LOW	2	202603.0	56300.0	938.959306204136	903.1020680453635	CELL_LAST
11350-1724	60.0	MID	3	202607.0	59000.0	983.9893262174783	970.0911718923727	CELL_LAST
11350-1724	66.0	HIGH	4	202607.0	62500.0	952.7439024390245	918.8262195121952	CELL_LAST
11350-1724	66.0	LOW	0				893.825265312595	COMPLEX_MEAN
11350-1724	66.0	MID	2	202608.0	58000.0	884.1463414634147	884.1463414634147	CELL_LAST
11350-1728	75.0	HIGH	0				841.954617880438	COMPLEX_MEAN
11350-1728	75.0	LOW	0				841.954617880438	COMPLEX_MEAN
11350-1728	75.0	MID	1	202607.0	66000.0	883.0612791008831	883.0612791008831	CELL_LAST
11350-1728	84.0	HIGH	0				841.954617880438	COMPLEX_MEAN
11350-1728	84.0	LOW	0				841.954617880438	COMPLEX_MEAN
11350-1728	84.0	MID	1	202412.0	68000.0	800.847956659993	800.847956659993	CELL_LAST
11350-1729	84.0	HIGH	0				761.4452159585736	COMPLEX_MEAN
11350-1729	84.0	LOW	0				761.4452159585736	COMPLEX_MEAN
11350-1729	84.0	MID	1	202603.0	64700.0	761.4452159585736	761.4452159585736	CELL_LAST
11350-173	33.0	HIGH	13	202606.0	31700.0	920.4413472706157	932.8374877155366	CELL_LAST
11350-173	33.0	LOW	15	202608.0	37000.0	1074.3321718931475	925.0871080139373	CELL_LAST
11350-173	33.0	MID	17	202605.0	30000.0	871.0801393728224	918.3917469426796	CELL_LAST
11350-173	39.0	HIGH	19	202607.0	43300.0	1093.4343434343434	953.8144603934077	CELL_LAST
11350-173	39.0	LOW	16	202605.0	40900.0	1032.8282828282827	885.8112373737373	CELL_LAST
11350-173	39.0	MID	19	202608.0	46800.0	1181.8181818181818	965.776182881446	CELL_LAST
11350-173	48.0	HIGH	7	202604.0	54000.0	1090.909090909091	1023.0880230880231	CELL_LAST
11350-173	48.0	LOW	4	202506.0	49800.0	1006.060606060606	971.2121212121212	CELL_LAST
11350-173	48.0	MID	8	202603.0	53000.0	1070.7070707070707	1032.828282828283	CELL_LAST
11350-1732	57.0	UNKNOWN	1	202607.0	28500.0	489.4384337970119	489.4384337970119	CELL_LAST
11350-1732	72.0	UNKNOWN	1	202607.0	36900.0	503.8918476034412	503.8918476034412	CELL_LAST
11350-1733	84.0	HIGH	0				652.5854928410838	COMPLEX_MEAN
11350-1733	84.0	LOW	2	202606.0	59300.0	701.6921074429061	652.5854928410838	CELL_LAST
11350-1733	84.0	MID	0				652.5854928410838	COMPLEX_MEAN
11350-1734	60.0	HIGH	1	202509.0	76700.0	1278.4888828140756	1278.4888828140756	CELL_LAST
11350-1734	60.0	LOW	9	202607.0	86500.0	1441.8420907877126	1254.319275511854	CELL_LAST
11350-1734	60.0	MID	7	202606.0	86500.0	1441.8420907877126	1321.589364801289	CELL_LAST
11350-1734	84.0	HIGH	4	202605.0	91400.0	1075.4813779340402	1021.3543063968784	CELL_LAST
11350-1734	84.0	LOW	10	202608.0	100000.0	1176.6754681991688	998.6444698606344	CELL_LAST
11350-1734	84.0	MID	11	202605.0	96500.0	1135.4918268121978	1052.0548390671659	CELL_LAST
11350-1734	126.0	HIGH	1	202506.0	105000.0	826.5646869524008	826.5646869524008	CELL_LAST
11350-1734	126.0	LOW	4	202603.0	99000.0	779.3324191265494	760.6363131121499	CELL_LAST
11350-1734	126.0	MID	6	202608.0	80000.0	629.7635710113531	711.1080322669862	CELL_LAST
11350-1735	84.0	UNKNOWN	2	202607.0	54500.0	644.3603688815323	655.0011823126035	CELL_LAST
11350-1736	102.0	UNKNOWN	1	202602.0	61000.0	601.5185879104625	601.5185879104625	CELL_LAST
11350-1739	84.0	UNKNOWN	2	202608.0	55000.0	648.202710665881	606.9534472598705	CELL_LAST
11350-1739	117.0	UNKNOWN	1	202507.0	49500.0	424.5647139548846	424.5647139548846	CELL_LAST
11350-174	72.0	HIGH	5	202608.0	87700.0	1204.456902554355	1059.4276563630897	CELL_LAST
11350-174	72.0	LOW	4	202607.0	83500.0	1146.7748160010108	971.6684818212158	CELL_LAST
11350-174	72.0	MID	5	202602.0	79300.0	1089.0927294476667	993.6426100320135	CELL_LAST
11350-174	81.0	HIGH	5	202607.0	85000.0	1045.8088901137842	978.1389031064216	CELL_LAST
11350-174	81.0	LOW	3	202604.0	76000.0	935.0761841017363	963.7846634381931	CELL_LAST
11350-174	81.0	MID	5	202604.0	83000.0	1021.2016221111068	915.3903696995945	CELL_LAST
11350-174	117.0	HIGH	1	202606.0	95000.0	810.8015840502526	810.8015840502526	CELL_LAST
11350-174	117.0	LOW	0				954.3021964315791	COMPLEX_MEAN
11350-174	117.0	MID	2	202607.0	94000.0	802.2668305339341	787.3310118803768	CELL_LAST
11350-174	132.0	HIGH	1	202604.0	90500.0	686.878867962907	686.878867962907	CELL_LAST
11350-174	132.0	LOW	0				954.3021964315791	COMPLEX_MEAN
11350-174	132.0	MID	0				954.3021964315791	COMPLEX_MEAN
11350-175	60.0	HIGH	0				721.5814633932517	COMPLEX_MEAN
11350-175	60.0	LOW	1	202606.0	49900.0	831.8053008834805	831.8053008834805	CELL_LAST
11350-175	60.0	MID	0				721.5814633932517	COMPLEX_MEAN
11350-175	84.0	HIGH	0				721.5814633932517	COMPLEX_MEAN
11350-175	84.0	LOW	1	202608.0	60000.0	709.6392667060911	709.6392667060911	CELL_LAST
11350-175	84.0	MID	1	202602.0	52700.0	623.2998225901833	623.2998225901833	CELL_LAST
11350-175	114.0	HIGH	0				721.5814633932517	COMPLEX_MEAN
11350-175	114.0	LOW	0				721.5814633932517	COMPLEX_MEAN
11350-175	114.0	MID	0				721.5814633932517	COMPLEX_MEAN
11350-1750	84.0	UNKNOWN	1	202512.0	50000.0	589.622641509434	589.622641509434	CELL_LAST
11350-1751	84.0	UNKNOWN	1	202602.0	54400.0	641.5850925816724	641.5850925816724	CELL_LAST
11350-1757	84.0	HIGH	0				492.401931911886	COMPLEX_MEAN
11350-1757	84.0	LOW	0				492.401931911886	COMPLEX_MEAN
11350-1757	84.0	MID	1	202603.0	41800.0	492.401931911886	492.401931911886	CELL_LAST
11350-1759	84.0	HIGH	0				594.7616244849912	COMPLEX_MEAN
11350-1759	84.0	LOW	1	202502.0	49150.0	578.5756327251324	578.5756327251324	CELL_LAST
11350-1759	84.0	MID	1	202607.0	51900.0	610.9476162448499	610.9476162448499	CELL_LAST
11350-176	60.0	HIGH	2	202602.0	57000.0	956.5363315992615	925.4908541701627	CELL_LAST
11350-176	60.0	LOW	7	202606.0	53000.0	889.4109749958046	807.6618799894517	CELL_LAST
11350-176	60.0	MID	6	202608.0	47000.0	788.7229400906192	822.8449963640431	CELL_LAST
11350-176	84.0	HIGH	0				815.0101287078538	COMPLEX_MEAN
11350-176	84.0	LOW	1	202605.0	60000.0	705.965407695023	705.965407695023	CELL_LAST
11350-176	84.0	MID	2	202608.0	64500.0	758.9128132721497	761.2660312977998	CELL_LAST
11350-1767	84.0	HIGH	8	202606.0	85000.0	1002.9344682618438	1085.1894488106502	CELL_LAST
11350-1767	84.0	LOW	3	202607.0	99000.0	1168.1236747990886	1113.5189530533125	CELL_LAST
11350-1767	84.0	MID	4	202604.0	91500.0	1083.2568739456003	1139.4915204072572	CELL_LAST
11350-177	60.0	HIGH	3	202512.0	60000.0	981.1777403476639	979.5424441137511	CELL_LAST
11350-177	60.0	LOW	17	202608.0	68000.0	1123.929787445043	993.7600170700547	CELL_LAST
11350-177	60.0	MID	9	202608.0	67000.0	1095.6484767215582	1038.9577087481166	CELL_LAST
11350-177	72.0	HIGH	0				949.0216638695401	COMPLEX_MEAN
11350-177	72.0	LOW	1	202505.0	65000.0	918.2866184448462	918.2866184448462	CELL_LAST
11350-177	72.0	MID	0				949.0216638695401	COMPLEX_MEAN
11350-177	84.0	HIGH	1	202512.0	74300.0	875.3431274372357	875.3431274372357	CELL_LAST
11350-177	84.0	LOW	7	202608.0	76000.0	895.3711666921926	843.1972829187754	CELL_LAST
11350-177	84.0	MID	11	202608.0	78000.0	918.9335658156714	874.8076183662474	CELL_LAST
11350-178	66.0	HIGH	3	202602.0	72300.0	1081.2023328847015	1069.7373012312446	CELL_LAST
11350-178	66.0	LOW	8	202607.0	80000.0	1196.3511290563779	1017.2723194257514	CELL_LAST
11350-178	66.0	MID	4	202605.0	79500.0	1188.8739344997757	1095.409002542246	CELL_LAST
11350-178	84.0	HIGH	6	202608.0	82500.0	970.9309167941626	990.6437566199835	CELL_LAST
11350-178	84.0	LOW	3	202605.0	86600.0	1019.1832411439332	987.0150249107528	CELL_LAST
11350-178	84.0	MID	6	202608.0	91500.0	1076.8506531717076	971.5193597740378	CELL_LAST
11350-179	57.0	HIGH	0				700.720282335168	COMPLEX_MEAN
11350-179	57.0	LOW	1	202504.0	42700.0	755.0839964633068	755.0839964633068	CELL_LAST
11350-179	57.0	MID	0				700.720282335168	COMPLEX_MEAN
11350-179	60.0	HIGH	0				700.720282335168	COMPLEX_MEAN
11350-179	60.0	LOW	1	202607.0	49000.0	816.6666666666666	816.6666666666666	CELL_LAST
11350-179	60.0	MID	0				700.720282335168	COMPLEX_MEAN
11350-179	84.0	HIGH	0				700.720282335168	COMPLEX_MEAN
11350-179	84.0	LOW	0				700.720282335168	COMPLEX_MEAN
11350-179	84.0	MID	1	202410.0	45000.0	530.4101838755304	530.4101838755304	CELL_LAST
11350-18	60.0	HIGH	0				850.9928249624562	COMPLEX_MEAN
11350-18	60.0	LOW	1	202509.0	51000.0	850.9928249624562	850.9928249624562	CELL_LAST
11350-18	60.0	MID	0				850.9928249624562	COMPLEX_MEAN
11350-18	84.0	HIGH	0				850.9928249624562	COMPLEX_MEAN
11350-18	84.0	LOW	0				850.9928249624562	COMPLEX_MEAN
11350-18	84.0	MID	0				850.9928249624562	COMPLEX_MEAN
11350-18	117.0	HIGH	0				850.9928249624562	COMPLEX_MEAN
11350-18	117.0	LOW	0				850.9928249624562	COMPLEX_MEAN
11350-18	117.0	MID	0				850.9928249624562	COMPLEX_MEAN
11350-18	147.0	HIGH	0				850.9928249624562	COMPLEX_MEAN
11350-18	147.0	LOW	0				850.9928249624562	COMPLEX_MEAN
11350-18	147.0	MID	0				850.9928249624562	COMPLEX_MEAN
11350-180	84.0	HIGH	4	202606.0	86000.0	1013.7922904632795	926.218302976127	CELL_LAST
11350-180	84.0	LOW	7	202604.0	76500.0	901.8036072144289	856.8570377961023	CELL_LAST
11350-180	84.0	MID	12	202607.0	78000.0	921.4412285883047	924.2420481373666	CELL_LAST
11350-181	84.0	HIGH	4	202607.0	84500.0	995.875073659399	953.4233976645182	CELL_LAST
11350-181	84.0	LOW	8	202607.0	80500.0	948.1743227326266	893.5496776382339	CELL_LAST
11350-181	84.0	MID	7	202603.0	77500.0	913.3765468473778	947.8911666364337	CELL_LAST
11350-1817	105.0	HIGH	1	202506.0	76000.0	726.2996941896024	726.2996941896024	CELL_LAST
11350-1817	105.0	LOW	0				678.123195503782	COMPLEX_MEAN
11350-1817	105.0	MID	0				678.123195503782	COMPLEX_MEAN
11350-1817	123.0	HIGH	0				678.123195503782	COMPLEX_MEAN
11350-1817	123.0	LOW	0				678.123195503782	COMPLEX_MEAN
11350-1817	123.0	MID	1	202510.0	78000.0	629.9466968179615	629.9466968179615	CELL_LAST
11350-182	51.0	HIGH	48	202608.0	64700.0	1304.4354838709678	1128.463121639785	CELL_LAST
11350-182	51.0	LOW	73	202608.0	62900.0	1268.1451612903224	1068.672392841361	CELL_LAST
11350-182	51.0	MID	59	202608.0	65000.0	1310.483870967742	1117.789775833789	CELL_LAST
11350-182	60.0	HIGH	17	202606.0	75000.0	1263.051532502526	1129.780560361401	CELL_LAST
11350-182	60.0	LOW	21	202607.0	71700.0	1207.4772650724149	1060.95993576024	CELL_LAST
11350-182	60.0	MID	28	202606.0	75000.0	1263.051532502526	1083.814400546219	CELL_LAST
11350-1825	84.0	HIGH	8	202608.0	68000.0	801.7922414809574	783.2811382953813	CELL_LAST
11350-1825	84.0	LOW	14	202605.0	56500.0	665.6456173421301	743.2677495500835	CELL_LAST
11350-1825	84.0	MID	10	202607.0	68000.0	802.9283268390601	776.0826524037751	CELL_LAST
11350-1826	60.0	HIGH	0				871.7323217693448	COMPLEX_MEAN
11350-1826	60.0	LOW	4	202608.0	61700.0	1030.0500834724542	999.5826377295493	CELL_LAST
11350-1826	60.0	MID	3	202506.0	59500.0	993.322203672788	982.1925431274345	CELL_LAST
11350-1826	84.0	HIGH	3	202508.0	64200.0	756.3619227144204	772.4484546442145	CELL_LAST
11350-1826	84.0	LOW	4	202509.0	62000.0	731.0458672326376	773.7272544359096	CELL_LAST
11350-1826	84.0	MID	2	202506.0	67000.0	791.120557326721	795.2772931663673	CELL_LAST
11350-1828	72.0	HIGH	0				781.399610888614	COMPLEX_MEAN
11350-1828	72.0	LOW	0				781.399610888614	COMPLEX_MEAN
11350-1828	72.0	MID	1	202603.0	59000.0	818.7621426588953	818.7621426588953	CELL_LAST
11350-1828	84.0	HIGH	0				781.399610888614	COMPLEX_MEAN
11350-1828	84.0	LOW	1	202504.0	69000.0	824.3727598566308	824.3727598566308	CELL_LAST
11350-1828	84.0	MID	2	202604.0	60000.0	723.1529468482585	741.2317705194648	CELL_LAST
11350-183	60.0	HIGH	20	202606.0	78900.0	1316.3163163163163	1164.4978311644977	CELL_LAST
11350-183	60.0	LOW	24	202608.0	85000.0	1418.0847514180848	1170.337003670337	CELL_LAST
11350-183	60.0	MID	20	202607.0	81300.0	1356.3563563563564	1225.8925592258925	CELL_LAST
11350-183	84.0	HIGH	19	202607.0	95000.0	1117.7785621837863	996.9284312086252	CELL_LAST
11350-183	84.0	LOW	12	202606.0	88000.0	1035.4159312860338	956.7302035533593	CELL_LAST
11350-183	84.0	MID	17	202606.0	92000.0	1082.4802917990353	1015.5520026577523	CELL_LAST
11350-183	114.0	HIGH	2	202606.0	109500.0	953.9989545216937	956.1770343265378	CELL_LAST
11350-183	114.0	LOW	5	202607.0	104800.0	913.0510541906256	846.4889353545914	CELL_LAST
11350-183	114.0	MID	3	202605.0	107000.0	932.2181564732532	881.3962943602254	CELL_LAST
11350-1831	111.0	UNKNOWN	1	202608.0	80000.0	726.1504946900245	726.1504946900245	CELL_LAST
11350-1831	120.0	UNKNOWN	1	202412.0	76500.0	632.1269211700545	632.1269211700545	CELL_LAST
11350-1831	132.0	UNKNOWN	2	202510.0	75000.0	571.4285714285714	634.2774604139968	CELL_LAST
11350-1831	138.0	UNKNOWN	4	202606.0	56000.0	402.06777713957496	520.4392313248363	CELL_LAST
11350-1831	147.0	UNKNOWN	3	202607.0	80500.0	552.9605715070751	556.3951092182991	CELL_LAST
11350-1831	177.0	UNKNOWN	1	202608.0	93000.0	521.5050748612123	521.5050748612123	CELL_LAST
11350-1831	180.0	UNKNOWN	0				574.9399720419607	COMPLEX_MEAN
11350-184	60.0	HIGH	8	202607.0	63700.0	1072.3905723905725	984.2171717171717	CELL_LAST
11350-184	60.0	LOW	12	202608.0	60000.0	1010.1010101010102	942.4803591470259	CELL_LAST
11350-184	60.0	MID	13	202604.0	60000.0	1010.1010101010102	946.5164465164465	CELL_LAST
11350-184	84.0	HIGH	0				894.7322389741909	COMPLEX_MEAN
11350-184	84.0	LOW	12	202607.0	68000.0	800.6593665371482	772.1064405981397	CELL_LAST
11350-184	84.0	MID	3	202604.0	74000.0	871.3057812316024	851.6817771498096	CELL_LAST
11350-184	114.0	HIGH	0				894.7322389741909	COMPLEX_MEAN
11350-184	114.0	LOW	1	202603.0	80500.0	700.9752699407871	700.9752699407871	CELL_LAST
11350-184	114.0	MID	1	202603.0	83500.0	727.0985719261581	727.0985719261581	CELL_LAST
11350-186	60.0	HIGH	3	202605.0	56500.0	941.9806602200734	877.5147271312661	CELL_LAST
11350-186	60.0	LOW	4	202601.0	49500.0	825.2750916972325	816.9389796598866	CELL_LAST
11350-186	60.0	MID	6	202608.0	57500.0	958.6528842947649	871.5405135045015	CELL_LAST
11350-186	84.0	HIGH	0				835.8023074269468	COMPLEX_MEAN
11350-186	84.0	LOW	2	202603.0	72700.0	855.6967984934088	839.8069679849341	CELL_LAST
11350-186	84.0	MID	2	202605.0	70500.0	829.8022598870057	699.7410546139361	CELL_LAST
11350-187	84.0	HIGH	18	202606.0	89000.0	1051.3880685174247	998.8578616927365	CELL_LAST
11350-187	84.0	LOW	6	202604.0	80800.0	954.5186060248079	953.3626896591559	CELL_LAST
11350-187	84.0	MID	12	202608.0	91000.0	1075.0147666863554	988.9742075211656	CELL_LAST
11350-188	72.0	HIGH	6	202608.0	74000.0	1011.2052473353374	916.2339437004645	CELL_LAST
11350-188	72.0	LOW	3	202608.0	77300.0	1056.2995353921835	996.4015669126353	CELL_LAST
11350-188	72.0	MID	3	202504.0	68000.0	929.2156326865263	931.4931219823266	CELL_LAST
11350-188	84.0	HIGH	3	202608.0	82500.0	974.4861800141744	935.1130010237026	CELL_LAST
11350-188	84.0	LOW	1	202410.0	77000.0	909.5204346798961	909.5204346798961	CELL_LAST
11350-188	84.0	MID	1	202604.0	79500.0	939.0503189227499	939.0503189227499	CELL_LAST
11350-189	60.0	HIGH	0				886.0177648701468	COMPLEX_MEAN
11350-189	60.0	LOW	2	202607.0	60000.0	1002.6737967914438	1011.0294117647059	CELL_LAST
11350-189	60.0	MID	0				886.0177648701468	COMPLEX_MEAN
11350-189	84.0	HIGH	2	202509.0	71600.0	844.8377581120944	853.0973451327434	CELL_LAST
11350-189	84.0	LOW	0				886.0177648701468	COMPLEX_MEAN
11350-189	84.0	MID	2	202608.0	77000.0	908.5545722713864	887.9056047197639	CELL_LAST
11350-189	126.0	HIGH	0				886.0177648701468	COMPLEX_MEAN
11350-189	126.0	LOW	1	202601.0	88500.0	698.059630856602	698.059630856602	CELL_LAST
11350-189	126.0	MID	0				886.0177648701468	COMPLEX_MEAN
11350-19	39.0	HIGH	14	202606.0	34500.0	869.2365835222979	841.9416998470787	CELL_LAST
11350-19	39.0	LOW	10	202606.0	32000.0	806.0453400503778	883.1453842848829	CELL_LAST
11350-19	39.0	MID	4	202608.0	35000.0	881.6120906801007	850.8105639867664	CELL_LAST
11350-19	51.0	HIGH	13	202606.0	47500.0	954.3901948965239	860.5740251309871	CELL_LAST
11350-19	51.0	LOW	9	202608.0	40500.0	813.7432188065098	816.9803317482642	CELL_LAST
11350-19	51.0	MID	13	202608.0	49500.0	994.5750452079566	858.8738968485803	CELL_LAST
11350-19	60.0	HIGH	21	202608.0	40000.0	667.2226855713094	853.7284127091943	CELL_LAST
11350-19	60.0	LOW	21	202608.0	55900.0	932.4437030859049	834.3824703772523	CELL_LAST
11350-19	60.0	MID	25	202608.0	57000.0	951.2683578104138	878.086522925758	CELL_LAST
11350-190	99.0	HIGH	7	202607.0	86000.0	860.7143929461453	903.6071367806708	CELL_LAST
11350-190	99.0	LOW	13	202606.0	95500.0	955.7933084460102	862.6390673489766	CELL_LAST
11350-190	99.0	MID	5	202607.0	97000.0	970.8057687880942	914.7592501776475	CELL_LAST
11350-190	135.0	HIGH	1	202603.0	113000.0	837.5706005307085	837.5706005307085	CELL_LAST
11350-190	135.0	LOW	1	202503.0	101500.0	752.3311146359904	752.3311146359904	CELL_LAST
11350-190	135.0	MID	5	202604.0	110000.0	815.3342129059995	862.7718398387121	CELL_LAST
11350-1902	69.0	UNKNOWN	2	202604.0	47500.0	702.9934199815889	669.6937316666715	CELL_LAST
11350-1902	75.0	UNKNOWN	0				669.6937316666715	COMPLEX_MEAN
11350-1902	84.0	UNKNOWN	0				669.6937316666715	COMPLEX_MEAN
11350-1914	12.0	UNKNOWN	11	202606.0	8300.0	635.5867307869023	613.28247234162	CELL_LAST
11350-1914	15.0	UNKNOWN	3	202601.0	9500.0	672.2046898659836	688.2352767506405	CELL_LAST
11350-193	81.0	UNKNOWN	4	202606.0	49800.0	615.1945645460161	575.2123037256189	CELL_LAST
11350-194	72.0	HIGH	0				893.4165208412915	COMPLEX_MEAN
11350-194	72.0	LOW	1	202605.0	69900.0	959.6375617792421	959.6375617792421	CELL_LAST
11350-194	72.0	MID	2	202604.0	71000.0	974.7391543108182	917.0409644783845	CELL_LAST
11350-194	84.0	HIGH	1	202410.0	74500.0	881.8655303030303	881.8655303030303	CELL_LAST
11350-194	84.0	LOW	1	202603.0	80000.0	946.9696969696969	946.9696969696969	CELL_LAST
11350-194	84.0	MID	4	202510.0	74500.0	881.8655303030303	854.5484923907213	CELL_LAST
11350-195	84.0	HIGH	1	202412.0	57000.0	672.6139903709998	672.6139903709998	CELL_LAST
11350-195	84.0	LOW	0				672.6139903709998	COMPLEX_MEAN
11350-195	84.0	MID	0				672.6139903709998	COMPLEX_MEAN
11350-196	66.0	HIGH	0				798.8008457539314	COMPLEX_MEAN
11350-196	66.0	LOW	2	202501.0	54000.0	821.0679965940883	794.4593115192799	CELL_LAST
11350-196	66.0	MID	0				798.8008457539314	COMPLEX_MEAN
11350-196	81.0	HIGH	3	202607.0	73300.0	903.5996055226824	810.7330703484549	CELL_LAST
11350-196	81.0	LOW	6	202608.0	69800.0	853.5824783241412	810.3958218664067	CELL_LAST
11350-196	81.0	MID	4	202603.0	69000.0	850.5917159763313	774.6299802566518	CELL_LAST
11350-197	60.0	HIGH	39	202608.0	107500.0	1815.2651131374537	1489.534893790213	CELL_LAST
11350-197	60.0	LOW	27	202607.0	119000.0	2009.4562647754137	1513.0961762167437	CELL_LAST
11350-197	60.0	MID	36	202608.0	118500.0	2001.0131712259372	1524.2598221321625	CELL_LAST
11350-198	60.0	HIGH	1	202605.0	57500.0	974.4111167598712	974.4111167598712	CELL_LAST
11350-198	60.0	LOW	8	202605.0	55800.0	941.6132298346271	889.9300316236026	CELL_LAST
11350-198	60.0	MID	5	202606.0	60000.0	1012.4873439082012	896.0080335806031	CELL_LAST
11350-198	84.0	HIGH	1	202506.0	72500.0	853.2423208191126	853.2423208191126	CELL_LAST
11350-198	84.0	LOW	3	202607.0	73500.0	865.0111804166177	854.4192067788631	CELL_LAST
11350-198	84.0	MID	9	202608.0	74500.0	876.7800400141226	838.2043335556341	CELL_LAST
11350-198	108.0	HIGH	2	202604.0	72500.0	662.7056672760511	664.9908592321755	CELL_LAST
11350-198	108.0	LOW	1	202503.0	76800.0	702.0109689213893	702.0109689213893	CELL_LAST
11350-198	108.0	MID	1	202602.0	80250.0	733.5466179159049	733.5466179159049	CELL_LAST
11350-199	60.0	HIGH	3	202605.0	51000.0	860.3238866396761	849.0778227620332	CELL_LAST
11350-199	60.0	LOW	1	202604.0	48500.0	818.1511470985155	818.1511470985155	CELL_LAST
11350-199	60.0	MID	2	202603.0	51000.0	860.3238866396761	844.0415419820454	CELL_LAST
11350-199	84.0	HIGH	0				834.0879465628528	COMPLEX_MEAN
11350-199	84.0	LOW	3	202608.0	65800.0	782.4949458913069	817.7746065723233	CELL_LAST
11350-199	84.0	MID	0				834.0879465628528	COMPLEX_MEAN
11350-2	84.0	UNKNOWN	18	202607.0	54000.0	638.7508871540099	637.5955388467105	CELL_LAST
11350-20	39.0	HIGH	13	202608.0	36500.0	919.3954659949621	904.1054414690014	CELL_LAST
11350-20	39.0	LOW	8	202607.0	32500.0	818.639798488665	852.9854800395763	CELL_LAST
11350-20	39.0	MID	6	202603.0	35700.0	899.4708994708996	866.5719358614484	CELL_LAST
11350-20	51.0	HIGH	14	202607.0	49000.0	984.5288326300983	894.8305060420792	CELL_LAST
11350-20	51.0	LOW	14	202608.0	48000.0	964.4364074743821	887.7981572375785	CELL_LAST
11350-20	51.0	MID	15	202607.0	46700.0	938.3162547719509	894.5817426830084	CELL_LAST
11350-20	60.0	HIGH	20	202607.0	55500.0	925.7714762301918	897.2106539606324	CELL_LAST
11350-20	60.0	LOW	21	202608.0	55000.0	917.4311926605504	868.1673662504372	CELL_LAST
11350-20	60.0	MID	21	202608.0	58000.0	967.4728940783987	887.4698812046468	CELL_LAST
11350-200	81.0	UNKNOWN	1	202508.0	50000.0	613.0456105934281	613.0456105934281	CELL_LAST
11350-201	93.0	HIGH	7	202607.0	97000.0	1041.5548158488136	915.6243857792232	CELL_LAST
11350-201	93.0	LOW	8	202604.0	99700.0	1063.4666666666667	928.1479222592076	CELL_LAST
11350-201	93.0	MID	7	202602.0	92000.0	987.8664232792871	886.7455200871287	CELL_LAST
11350-2019	12.0	HIGH	2	202511.0	13500.0	1086.9565217391305	1139.291465378422	CELL_LAST
11350-2019	12.0	LOW	0				940.4331239700449	COMPLEX_MEAN
11350-2019	12.0	MID	0				940.4331239700449	COMPLEX_MEAN
11350-2019	15.0	HIGH	8	202604.0	11000.0	807.6358296622615	873.759974840712	CELL_LAST
11350-2019	15.0	LOW	0				940.4331239700449	COMPLEX_MEAN
11350-2019	15.0	MID	6	202608.0	13200.0	969.1629955947137	963.0445423396965	CELL_LAST
11350-2019	21.0	HIGH	0				940.4331239700449	COMPLEX_MEAN
11350-2019	21.0	LOW	0				940.4331239700449	COMPLEX_MEAN
11350-2019	21.0	MID	0				940.4331239700449	COMPLEX_MEAN
11350-202	45.0	HIGH	16	202608.0	56700.0	1279.0435371080532	980.1488833746898	CELL_LAST
11350-202	45.0	LOW	15	202608.0	49000.0	1105.3462666365892	948.7931423415296	CELL_LAST
11350-202	45.0	MID	23	202607.0	46500.0	1048.951048951049	942.3395678655146	CELL_LAST
11350-202	54.0	HIGH	18	202607.0	59000.0	1080.7840263784576	948.0775884879199	CELL_LAST
11350-202	54.0	LOW	19	202608.0	60000.0	1099.102399706906	935.8760521013103	CELL_LAST
11350-202	54.0	MID	25	202608.0	62000.0	1135.7391463638028	952.77523355926	CELL_LAST
11350-202	69.0	HIGH	23	202608.0	78000.0	1130.5986374836934	877.3798345065762	CELL_LAST
11350-202	69.0	LOW	25	202606.0	67800.0	982.7511233512104	847.1952456877808	CELL_LAST
11350-202	69.0	MID	22	202605.0	65800.0	953.7614146977824	876.2798297513474	CELL_LAST
11350-202	78.0	HIGH	18	202606.0	74000.0	933.7539432176657	857.5534525061339	CELL_LAST
11350-202	78.0	LOW	22	202607.0	76500.0	965.2996845425868	849.0679667335819	CELL_LAST
11350-202	78.0	MID	7	202608.0	84000.0	1059.93690851735	904.5515998197386	CELL_LAST
11350-203	63.0	HIGH	0				863.0069951093468	COMPLEX_MEAN
11350-203	63.0	LOW	0				863.0069951093468	COMPLEX_MEAN
11350-203	63.0	MID	0				863.0069951093468	COMPLEX_MEAN
11350-203	72.0	HIGH	0				863.0069951093468	COMPLEX_MEAN
11350-203	72.0	LOW	1	202512.0	55000.0	765.0577270830436	765.0577270830436	CELL_LAST
11350-203	72.0	MID	0				863.0069951093468	COMPLEX_MEAN
11350-203	84.0	HIGH	0				863.0069951093468	COMPLEX_MEAN
11350-203	84.0	LOW	5	202608.0	75500.0	894.4437862812464	882.5968487146074	CELL_LAST
11350-203	84.0	MID	0				863.0069951093468	COMPLEX_MEAN
11350-204	63.0	HIGH	0				918.4895843483969	COMPLEX_MEAN
11350-204	63.0	LOW	1	202504.0	50900.0	818.7228566832878	818.7228566832878	CELL_LAST
11350-204	63.0	MID	0				918.4895843483969	COMPLEX_MEAN
11350-204	72.0	HIGH	0				918.4895843483969	COMPLEX_MEAN
11350-204	72.0	LOW	5	202607.0	73000.0	1015.440255946585	952.8446237306996	CELL_LAST
