apt_seq	area_type	floor_band	n_trades_24m	last_deal_ym	last_price_manwon	last_price_per_m2	mean_price_per_m2_24m	price_source
11110-14	66.0	UNKNOWN	0				1228.2776817396052	COMPLEX_MEAN
11110-14	111.0	UNKNOWN	1	202510.0	135000.0	1228.2776817396052	1228.2776817396052	CELL_LAST
11110-146	150.0	UNKNOWN	2	202606.0	160000.0	1060.0238505366372	1053.7804063397234	CELL_LAST
11110-146	153.0	UNKNOWN	0				1053.7804063397234	COMPLEX_MEAN
11110-146	156.0	UNKNOWN	0				1053.7804063397234	COMPLEX_MEAN
11110-146	186.0	UNKNOWN	0				1053.7804063397234	COMPLEX_MEAN
11110-15	81.0	HIGH	1	202410.0	79500.0	978.1003937007874	978.1003937007874	CELL_LAST
11110-15	81.0	LOW	0				978.1003937007874	COMPLEX_MEAN
11110-15	81.0	MID	0				978.1003937007874	COMPLEX_MEAN
11110-15	93.0	HIGH	0				978.1003937007874	COMPLEX_MEAN
11110-15	93.0	LOW	0				978.1003937007874	COMPLEX_MEAN
11110-15	93.0	MID	0				978.1003937007874	COMPLEX_MEAN
11110-150	81.0	UNKNOWN	2	202608.0	71500.0	882.716049382716	808.2795836454775	CELL_LAST
11110-152	84.0	HIGH	2	202504.0	98000.0	1153.619776339023	1253.678634490877	CELL_LAST
11110-152	84.0	LOW	2	202511.0	109500.0	1288.9935256032961	1262.5073572689817	CELL_LAST
11110-152	84.0	MID	1	202506.0	112000.0	1318.4226015303118	1318.4226015303118	CELL_LAST
11110-152	111.0	HIGH	1	202506.0	115000.0	1029.266982905218	1029.266982905218	CELL_LAST
11110-152	111.0	LOW	0				1155.065350593541	COMPLEX_MEAN
11110-152	111.0	MID	4	202605.0	126500.0	1132.1936811957396	1118.0971986037769	CELL_LAST
11110-152	114.0	HIGH	2	202605.0	123000.0	1092.9447307623955	1079.6161364848053	CELL_LAST
11110-152	114.0	LOW	0				1155.065350593541	COMPLEX_MEAN
11110-152	114.0	MID	2	202606.0	124000.0	1101.8304602807889	1079.6161364848053	CELL_LAST
11110-153	54.0	UNKNOWN	1	202504.0	45000.0	822.3684210526316	822.3684210526316	CELL_LAST
11110-16	51.0	HIGH	0				970.2044720122816	COMPLEX_MEAN
11110-16	51.0	LOW	0				970.2044720122816	COMPLEX_MEAN
11110-16	51.0	MID	0				970.2044720122816	COMPLEX_MEAN
11110-16	57.0	HIGH	0				970.2044720122816	COMPLEX_MEAN
11110-16	57.0	LOW	0				970.2044720122816	COMPLEX_MEAN
11110-16	57.0	MID	1	202603.0	58300.0	1019.5872682756209	1019.5872682756209	CELL_LAST
11110-16	78.0	HIGH	1	202502.0	70000.0	894.7973923047424	894.7973923047424	CELL_LAST
11110-16	78.0	LOW	0				970.2044720122816	COMPLEX_MEAN
11110-16	78.0	MID	0				970.2044720122816	COMPLEX_MEAN
11110-16	84.0	HIGH	2	202603.0	93000.0	1103.7265606456206	1040.6160774020707	CELL_LAST
11110-16	84.0	LOW	0				970.2044720122816	COMPLEX_MEAN
11110-16	84.0	MID	0				970.2044720122816	COMPLEX_MEAN
11110-16	96.0	HIGH	0				970.2044720122816	COMPLEX_MEAN
11110-16	96.0	LOW	0				970.2044720122816	COMPLEX_MEAN
11110-16	96.0	MID	1	202411.0	83000.0	855.405544676904	855.405544676904	CELL_LAST
11110-204	60.0	UNKNOWN	2	202412.0	22000.0	357.78175313059035	365.91315661083104	CELL_LAST
11110-205	30.0	UNKNOWN	3	202607.0	34000.0	1160.0136472193792	1114.522915955874	CELL_LAST
11110-205	36.0	UNKNOWN	4	202512.0	33000.0	895.2794357026587	963.1036353771026	CELL_LAST
11110-205	39.0	UNKNOWN	9	202603.0	36000.0	907.4867658179985	1027.6971624783848	CELL_LAST
11110-205	42.0	UNKNOWN	3	202509.0	39000.0	905.5026700719759	969.0421563260919	CELL_LAST
11110-205	45.0	UNKNOWN	0				1033.6773421884054	COMPLEX_MEAN
11110-205	84.0	UNKNOWN	1	202607.0	110000.0	1321.1626231083353	1321.1626231083353	CELL_LAST
11110-206	60.0	UNKNOWN	1	202410.0	61000.0	993.8090583251873	993.8090583251873	CELL_LAST
11110-206	108.0	UNKNOWN	1	202510.0	94800.0	869.2462864478268	869.2462864478268	CELL_LAST
11110-2073	102.0	UNKNOWN	2	202605.0	75000.0	727.6608130396818	858.6397593868246	CELL_LAST
11110-2082	183.0	UNKNOWN	1	202509.0	155000.0	847.7357252242398	847.7357252242398	CELL_LAST
11110-212	33.0	UNKNOWN	1	202510.0	19500.0	599.4466646172764	599.4466646172764	CELL_LAST
11110-212	57.0	UNKNOWN	0				599.4466646172764	COMPLEX_MEAN
11110-2128	84.0	UNKNOWN	2	202605.0	61500.0	725.4069355980184	769.6390658174098	CELL_LAST
11110-2132	102.0	UNKNOWN	1	202506.0	69000.0	685.2716257821035	685.2716257821035	CELL_LAST
11110-2150	84.0	HIGH	1	202604.0	95500.0	1126.0464567857564	1126.0464567857564	CELL_LAST
11110-2150	84.0	LOW	1	202604.0	81000.0	956.6552497933152	956.6552497933152	CELL_LAST
11110-2150	84.0	MID	2	202511.0	83000.0	978.6581771017568	1036.6367355403918	CELL_LAST
11110-2155	84.0	HIGH	4	202512.0	107000.0	1259.1197928924453	1015.5359167129728	CELL_LAST
11110-2155	84.0	LOW	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	84.0	MID	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	93.0	HIGH	2	202604.0	105000.0	1131.3436052149552	1093.63215170779	CELL_LAST
11110-2155	93.0	LOW	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	93.0	MID	1	202510.0	100000.0	1077.4701002047193	1077.4701002047193	CELL_LAST
11110-2155	99.0	HIGH	2	202608.0	130000.0	1321.272487041366	1367.0088423620286	CELL_LAST
11110-2155	99.0	LOW	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	99.0	MID	3	202604.0	104000.0	1057.0179896330928	1012.9755733983806	CELL_LAST
11110-2155	108.0	HIGH	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	108.0	LOW	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	108.0	MID	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	171.0	HIGH	1	202605.0	141000.0	830.0953726598375	830.0953726598375	CELL_LAST
11110-2155	171.0	LOW	0				1071.5321421577867	COMPLEX_MEAN
11110-2155	171.0	MID	0				1071.5321421577867	COMPLEX_MEAN
11110-2164	108.0	HIGH	0				1518.26382066625	COMPLEX_MEAN
11110-2164	108.0	LOW	0				1518.26382066625	COMPLEX_MEAN
11110-2164	108.0	MID	0				1518.26382066625	COMPLEX_MEAN
11110-2164	111.0	HIGH	1	202510.0	170000.0	1518.26382066625	1518.26382066625	CELL_LAST
11110-2164	111.0	LOW	0				1518.26382066625	COMPLEX_MEAN
11110-2164	111.0	MID	0				1518.26382066625	COMPLEX_MEAN
11110-217	45.0	UNKNOWN	1	202604.0	43000.0	954.7069271758437	954.7069271758437	CELL_LAST
11110-2175	60.0	UNKNOWN	1	202503.0	89000.0	1487.0509607351712	1487.0509607351712	CELL_LAST
11110-2175	84.0	UNKNOWN	1	202606.0	118500.0	1398.395090866179	1398.395090866179	CELL_LAST
11110-2203	72.0	HIGH	2	202510.0	140000.0	1977.4011299435028	1970.3389830508477	CELL_LAST
11110-2203	72.0	LOW	0				1568.078254136704	COMPLEX_MEAN
11110-2203	72.0	MID	0				1568.078254136704	COMPLEX_MEAN
11110-2203	87.0	HIGH	1	202506.0	149000.0	1715.6016119746691	1715.6016119746691	CELL_LAST
11110-2203	87.0	LOW	0				1568.078254136704	COMPLEX_MEAN
11110-2203	87.0	MID	0				1568.078254136704	COMPLEX_MEAN
11110-2203	90.0	HIGH	1	202409.0	148500.0	1625.6157635467982	1625.6157635467982	CELL_LAST
11110-2203	90.0	LOW	0				1568.078254136704	COMPLEX_MEAN
11110-2203	90.0	MID	0				1568.078254136704	COMPLEX_MEAN
11110-2203	93.0	HIGH	0				1568.078254136704	COMPLEX_MEAN
11110-2203	93.0	LOW	0				1568.078254136704	COMPLEX_MEAN
11110-2203	93.0	MID	2	202509.0	163000.0	1728.8926601612218	1702.375901569792	CELL_LAST
11110-2203	96.0	HIGH	3	202505.0	160000.0	1692.9425457623531	1662.9633548478114	CELL_LAST
11110-2203	96.0	LOW	1	202510.0	160000.0	1692.9425457623531	1692.9425457623531	CELL_LAST
11110-2203	96.0	MID	8	202605.0	170000.0	1798.7514548725	1740.292032589144	CELL_LAST
11110-2203	99.0	HIGH	0				1568.078254136704	COMPLEX_MEAN
11110-2203	99.0	LOW	1	202506.0	155000.0	1587.9520540928183	1587.9520540928183	CELL_LAST
11110-2203	99.0	MID	1	202506.0	150000.0	1536.7277942833725	1536.7277942833725	CELL_LAST
11110-2203	108.0	HIGH	4	202608.0	163000.0	1501.612160294795	1659.0805335112777	CELL_LAST
11110-2203	108.0	LOW	2	202507.0	169000.0	1563.801239937078	1560.3437337409941	CELL_LAST
11110-2203	108.0	MID	0				1568.078254136704	COMPLEX_MEAN
11110-2203	120.0	HIGH	1	202510.0	180000.0	1483.068303534646	1483.068303534646	CELL_LAST
11110-2203	120.0	LOW	0				1568.078254136704	COMPLEX_MEAN
11110-2203	120.0	MID	2	202508.0	168000.0	1384.197083299003	1408.9148883579137	CELL_LAST
11110-2203	126.0	HIGH	0				1568.078254136704	COMPLEX_MEAN
11110-2203	126.0	LOW	1	202606.0	210000.0	1662.1814152287477	1662.1814152287477	CELL_LAST
11110-2203	126.0	MID	0				1568.078254136704	COMPLEX_MEAN
11110-2203	132.0	HIGH	0				1568.078254136704	COMPLEX_MEAN
11110-2203	132.0	LOW	0				1568.078254136704	COMPLEX_MEAN
11110-2203	132.0	MID	0				1568.078254136704	COMPLEX_MEAN
11110-2203	135.0	HIGH	0				1568.078254136704	COMPLEX_MEAN
11110-2203	135.0	LOW	2	202507.0	200000.0	1466.275659824047	1462.6099706744867	CELL_LAST
11110-2203	135.0	MID	1	202504.0	203500.0	1491.9354838709676	1491.9354838709676	CELL_LAST
11110-2203	147.0	HIGH	7	202608.0	260000.0	1764.9854049283822	1593.471765494265	CELL_LAST
11110-2203	147.0	LOW	3	202602.0	208000.0	1415.736455213722	1514.062370617007	CELL_LAST
11110-2203	147.0	MID	4	202512.0	237000.0	1613.122787911789	1441.2605499591616	CELL_LAST
11110-2203	153.0	HIGH	2	202604.0	219000.0	1442.5927145774324	1412.9503985244714	CELL_LAST
11110-2203	153.0	LOW	0				1568.078254136704	COMPLEX_MEAN
11110-2203	153.0	MID	1	202506.0	205000.0	1350.3721757459982	1350.3721757459982	CELL_LAST
11110-2203	159.0	HIGH	1	202601.0	220000.0	1383.734826089691	1383.734826089691	CELL_LAST
11110-2203	159.0	LOW	1	202511.0	151000.0	949.7452669979243	949.7452669979243	CELL_LAST
11110-2203	159.0	MID	1	202504.0	225000.0	1415.1833448644568	1415.1833448644568	CELL_LAST
11110-2203	162.0	HIGH	1	202506.0	200000.0	1243.3944668946224	1243.3944668946224	CELL_LAST
11110-2203	162.0	LOW	1	202509.0	205000.0	1274.479328566988	1274.479328566988	CELL_LAST
11110-2203	162.0	MID	1	202602.0	218000.0	1355.2999689151384	1355.2999689151384	CELL_LAST
11110-2204	144.0	HIGH	0				1355.7490998338956	COMPLEX_MEAN
11110-2204	144.0	LOW	1	202505.0	197000.0	1363.1331303625795	1363.1331303625795	CELL_LAST
11110-2204	144.0	MID	0				1355.7490998338956	COMPLEX_MEAN
11110-2204	150.0	HIGH	0				1355.7490998338956	COMPLEX_MEAN
11110-2204	150.0	LOW	1	202502.0	209500.0	1392.9521276595744	1392.9521276595744	CELL_LAST
11110-2204	150.0	MID	1	202507.0	204000.0	1356.3829787234042	1356.3829787234042	CELL_LAST
11110-2204	153.0	HIGH	1	202410.0	208800.0	1360.969886585843	1360.969886585843	CELL_LAST
11110-2204	153.0	LOW	1	202410.0	209000.0	1362.2734975883197	1362.2734975883197	CELL_LAST
11110-2204	153.0	MID	1	202512.0	210000.0	1368.791552600704	1368.791552600704	CELL_LAST
11110-2204	162.0	HIGH	0				1355.7490998338956	COMPLEX_MEAN
11110-2204	162.0	LOW	0				1355.7490998338956	COMPLEX_MEAN
11110-2204	162.0	MID	1	202410.0	210000.0	1285.740525316843	1285.740525316843	CELL_LAST
11110-2212	60.0	HIGH	0				1565.4125840444506	COMPLEX_MEAN
11110-2212	60.0	LOW	4	202509.0	107000.0	1783.5414131648693	1846.0487056823297	CELL_LAST
11110-2212	60.0	MID	3	202607.0	148500.0	2475.2887836914306	2086.354519138344	CELL_LAST
11110-2212	84.0	HIGH	6	202604.0	158000.0	1861.9340545381694	1659.6353123256893	CELL_LAST
11110-2212	84.0	LOW	29	202607.0	160000.0	1885.5028400386527	1595.5661425456399	CELL_LAST
11110-2212	84.0	MID	30	202606.0	156900.0	1848.9712225129038	1599.3385027536197	CELL_LAST
11110-2212	114.0	HIGH	3	202603.0	183000.0	1592.259703648276	1454.4958859373594	CELL_LAST
11110-2212	114.0	LOW	9	202602.0	163500.0	1422.5926860464106	1306.581050079323	CELL_LAST
11110-2212	114.0	MID	5	202510.0	129000.0	1122.4125779815715	1271.0234836554107	CELL_LAST
11110-2212	156.0	HIGH	0				1565.4125840444506	COMPLEX_MEAN
11110-2212	156.0	LOW	2	202602.0	205000.0	1303.3333545257458	1223.8618085180783	CELL_LAST
11110-2212	156.0	MID	1	202504.0	195000.0	1239.7561177196117	1239.7561177196117	CELL_LAST
11110-2223	117.0	UNKNOWN	0				1051.4018691588785	COMPLEX_MEAN
11110-2223	150.0	UNKNOWN	1	202607.0	157500.0	1051.4018691588785	1051.4018691588785	CELL_LAST
11110-2224	60.0	HIGH	5	202602.0	101500.0	1693.9252336448599	1513.351134846462	CELL_LAST
11110-2224	60.0	LOW	6	202608.0	111500.0	1860.814419225634	1685.5807743658208	CELL_LAST
11110-2224	60.0	MID	14	202607.0	110000.0	1835.781041388518	1559.6986458134654	CELL_LAST
11110-2224	84.0	HIGH	3	202512.0	112500.0	1324.7762600094206	1285.5236300832155	CELL_LAST
11110-2224	84.0	LOW	3	202607.0	125000.0	1471.9736222326896	1401.3188883655205	CELL_LAST
11110-2224	84.0	MID	6	202604.0	116000.0	1365.991521431936	1303.972366148532	CELL_LAST
11110-2224	114.0	HIGH	1	202509.0	126500.0	1103.1656056509985	1103.1656056509985	CELL_LAST
11110-2224	114.0	LOW	0				1466.8749306027023	COMPLEX_MEAN
11110-2224	114.0	MID	2	202506.0	129000.0	1124.967297462283	1085.724252201971	CELL_LAST
11110-2234	60.0	HIGH	2	202607.0	85000.0	1418.0232422350716	1419.6915048729952	CELL_LAST
11110-2234	60.0	LOW	7	202608.0	105500.0	1760.0170830094123	1462.8280102250199	CELL_LAST
11110-2234	60.0	MID	8	202607.0	109500.0	1826.7475885263568	1468.6967198620014	CELL_LAST
11110-2234	84.0	HIGH	1	202512.0	114500.0	1347.8865844671668	1347.8865844671668	CELL_LAST
11110-2234	84.0	LOW	2	202603.0	112500.0	1324.3427139961248	1274.31198924516	CELL_LAST
11110-2234	84.0	MID	2	202601.0	110000.0	1294.912875907322	1274.31198924516	CELL_LAST
11110-2234	114.0	HIGH	0				1393.8831514315254	COMPLEX_MEAN
11110-2234	114.0	LOW	1	202602.0	130000.0	1133.240291399665	1133.240291399665	CELL_LAST
11110-2234	114.0	MID	1	202410.0	120000.0	1046.0679612919985	1046.0679612919985	CELL_LAST
11110-2246	192.0	HIGH	0				994.5064724427023	COMPLEX_MEAN
11110-2246	192.0	LOW	1	202604.0	172000.0	901.7368920484631	901.7368920484631	CELL_LAST
11110-2246	192.0	MID	1	202509.0	200000.0	1048.5312698237944	1048.5312698237944	CELL_LAST
11110-2246	201.0	HIGH	0				994.5064724427023	COMPLEX_MEAN
11110-2246	201.0	LOW	2	202606.0	201000.0	1003.3394731719005	1038.2816438793798	CELL_LAST
11110-2246	201.0	MID	0				994.5064724427023	COMPLEX_MEAN
11110-2246	219.0	HIGH	0				994.5064724427023	COMPLEX_MEAN
11110-2246	219.0	LOW	2	202509.0	225000.0	1023.7743146399727	1039.6996928677056	CELL_LAST
11110-2246	219.0	MID	1	202601.0	211540.0	962.529860084177	962.529860084177	CELL_LAST
11110-2246	225.0	HIGH	0				994.5064724427023	COMPLEX_MEAN
11110-2246	225.0	LOW	0				994.5064724427023	COMPLEX_MEAN
11110-2246	225.0	MID	2	202509.0	230000.0	1018.3434651128812	1007.2745144051324	CELL_LAST
11110-2246	240.0	HIGH	0				994.5064724427023	COMPLEX_MEAN
11110-2246	240.0	LOW	1	202409.0	227000.0	950.355441308225	950.355441308225	CELL_LAST
11110-2246	240.0	MID	1	202602.0	216950.0	905.9060313006297	905.9060313006297	CELL_LAST
11110-2261	201.0	UNKNOWN	1	202504.0	100000.0	499.52545082171935	499.52545082171935	CELL_LAST
11110-2261	207.0	UNKNOWN	1	202409.0	109000.0	528.5617301910581	528.5617301910581	CELL_LAST
11110-2261	213.0	UNKNOWN	2	202501.0	121000.0	567.8884873515747	596.0482470549584	CELL_LAST
11110-2261	237.0	UNKNOWN	1	202505.0	140000.0	593.044435972381	593.044435972381	CELL_LAST
11110-2291	21.0	HIGH	1	202502.0	17400.0	793.0720145852324	793.0720145852324	CELL_LAST
11110-2291	21.0	LOW	1	202508.0	14000.0	638.1039197812215	638.1039197812215	CELL_LAST
