osm_id	name	is_tunnel	geometry
310013695	시흥연결선	False	LINESTRING (126.89564 37.451965, 126.896176 37.45074)
311747047		False	LINESTRING (126.891533 37.461123, 126.891407 37.46148, 126.891247 37.461934)
311747050	경부선	False	LINESTRING (126.894641 37.45449, 126.895038 37.453576, 126.895271 37.453029, 126.895718 37.45202, 126.896126 37.451041, 126.896577 37.450121, 126.89691 37.449386, 126.897026 37.44913, 126.897492 37.448095, 126.897637 37.447742, 126.898267 37.446286, 126.898786 37.444986, 126.899478 37.443444, 126.900682 37.440716, 126.901316 37.439287, 126.90169 37.438369, 126.901875 37.437732, 126.902037 37.437166, 126.902193 37.436451, 126.902564 37.434541, 126.902646 37.434114, 126.902705 37.4337, 126.902819 37.433153, 126.903009 37.432119, 126.903331 37.43029, 126.903682 37.4285, 126.903789 37.428018, 126.903879 37.427676, 126.90406 37.427186, 126.904209 37.426818, 126.904723 37.425853, 126.905274 37.424866, 126.906063 37.42341, 126.907002 37.421674, 126.907209 37.421358, 126.907488 37.420977, 126.907734 37.420676, 126.909006 37.419121, 126.909308 37.41875, 126.909682 37.418256, 126.910185 37.417591, 126.911198 37.416331)
315014302		False	LINESTRING (126.894544 37.454023, 126.894278 37.454526, 126.894029 37.455019, 126.893561 37.456013, 126.893372 37.456457, 126.892911 37.457479, 126.892456 37.458547)
315014303		False	LINESTRING (126.892783 37.458611, 126.893018 37.458217, 126.893245 37.457701, 126.893669 37.456767, 126.893717 37.456664, 126.894616 37.454705, 126.89485 37.454193, 126.895205 37.453269, 126.895271 37.453029)
315014306		False	LINESTRING (126.892526 37.458282, 126.892456 37.458547, 126.892327 37.458834, 126.892144 37.459253, 126.891721 37.460225, 126.891211 37.461495, 126.891185 37.461576, 126.891138 37.461893)
315014308		False	LINESTRING (126.894278 37.454526, 126.893604 37.456029, 126.893411 37.456466, 126.892903 37.457614, 126.892392 37.458842, 126.89219 37.459315, 126.891981 37.459844, 126.891807 37.460247, 126.891302 37.461481, 126.891256 37.461597, 126.891138 37.461893, 126.891001 37.462246, 126.890681 37.463025, 126.889927 37.464715)
315014309		False	LINESTRING (126.8922 37.459765, 126.892548 37.459141)
315014310		False	LINESTRING (126.890681 37.463025, 126.890986 37.462449)
315014311		False	LINESTRING (126.895245 37.452734, 126.895516 37.452243)
315014312		False	LINESTRING (126.893522 37.457177, 126.893669 37.456767)
315014313		False	LINESTRING (126.89219 37.459315, 126.892327 37.458834)
315014314		False	LINESTRING (126.894626 37.453852, 126.895154 37.452941)
315014315		False	LINESTRING (126.894641 37.45449, 126.895 37.453501, 126.895198 37.452955)
315014316		False	LINESTRING (126.891205 37.461921, 126.891407 37.46148, 126.891565 37.461137)
315014318		False	LINESTRING (126.891981 37.459844, 126.891872 37.460293)
315014319		False	LINESTRING (126.89191 37.460481, 126.89165 37.460929)
315014321		False	LINESTRING (126.893522 37.457177, 126.893692 37.456782, 126.893828 37.45656, 126.894006 37.456322)
315014326		False	LINESTRING (126.896128 37.450621, 126.895674 37.451592, 126.895494 37.451933)
315014327		False	LINESTRING (126.893717 37.456664, 126.893927 37.456277, 126.89465 37.454714, 126.894875 37.454208, 126.895113 37.453596, 126.895205 37.453269)
347708183		True	LINESTRING (126.885986 37.419036, 126.886741 37.420449, 126.887554 37.421847, 126.888104 37.422531)
400477156	광명주박기지선	False	LINESTRING (126.892996 37.428958, 126.89274 37.428824, 126.892483 37.428671, 126.89225 37.42849, 126.892038 37.42828, 126.891842 37.428065)
400477157	광명주박기지선	False	LINESTRING (126.892966 37.428989, 126.894168 37.42954, 126.89472 37.429806, 126.895066 37.430015, 126.895347 37.430213, 126.895578 37.430425, 126.895782 37.430675, 126.895951 37.430938, 126.896078 37.431218, 126.896121 37.431358)
400477158	광명주박기지선	False	LINESTRING (126.896177 37.43131, 126.896092 37.431088, 126.895952 37.430829, 126.895777 37.430571, 126.895576 37.430347, 126.895299 37.430104, 126.894965 37.429887, 126.894643 37.429717, 126.892996 37.428958)
400477159	광명주박기지선	False	LINESTRING (126.896285 37.432026, 126.896307 37.432209, 126.896328 37.432389, 126.89635 37.432526, 126.896375 37.432693, 126.896389 37.432899, 126.896439 37.433272, 126.896472 37.433426, 126.896747 37.43439, 126.897313 37.436458, 126.897605 37.437432, 126.897803 37.438151)
400480599		False	LINESTRING (126.896328 37.432389, 126.89632 37.432697, 126.896324 37.43287, 126.896354 37.43321, 126.8964 37.433585, 126.89644 37.433905, 126.896485 37.434271, 126.896527 37.434442, 126.89668 37.435002, 126.896982 37.436109, 126.897373 37.437452, 126.897582 37.438189)
400480600		False	LINESTRING (126.89644 37.433905, 126.896524 37.434234, 126.896575 37.434425, 126.89705 37.43615, 126.897454 37.437526, 126.897582 37.438189)
400480601		False	LINESTRING (126.896375 37.432693, 126.89644 37.432946, 126.896525 37.433236, 126.896626 37.433598, 126.896736 37.43399, 126.896842 37.434379, 126.897408 37.436436, 126.897714 37.437462, 126.897888 37.438134)
400480602		False	LINESTRING (126.896389 37.432899, 126.896437 37.4331, 126.896479 37.433265, 126.896559 37.433543, 126.896793 37.434392, 126.897356 37.436437, 126.897658 37.437441, 126.897848 37.438141)
400480603		False	LINESTRING (126.896354 37.43321, 126.896438 37.433562, 126.896555 37.433971, 126.896683 37.434414, 126.896844 37.435008, 126.897145 37.436121, 126.897324 37.43677, 126.897551 37.437487, 126.897723 37.438165)
400480604		False	LINESTRING (126.8964 37.433585, 126.896461 37.433838, 126.89659 37.434283, 126.89668 37.43461, 126.896859 37.435261, 126.897049 37.435955, 126.897226 37.43659, 126.897351 37.437026, 126.8975 37.4375, 126.897674 37.438173)
400480605		False	LINESTRING (126.896525 37.433236, 126.896596 37.433437, 126.896647 37.433547, 126.896792 37.433862, 126.896851 37.434023, 126.896942 37.434361, 126.897173 37.435198, 126.897418 37.436087, 126.897654 37.436939, 126.897822 37.437484, 126.897981 37.438117)
400480606		False	LINESTRING (126.896647 37.433547, 126.896721 37.433745, 126.896764 37.433895, 126.896897 37.434381, 126.89725 37.435658, 126.897494 37.43654, 126.897761 37.437458, 126.897927 37.438127)
400480607	광명주박기지선	False	LINESTRING (126.896477 37.432248, 126.896631 37.432783, 126.896828 37.433516, 126.897058 37.434346, 126.897382 37.435516, 126.897648 37.436518, 126.897887 37.437313, 126.897958 37.437574, 126.898098 37.438096)
400480608		False	LINESTRING (126.898054 37.438104, 126.897867 37.43741, 126.897713 37.436889, 126.897607 37.43656, 126.897468 37.436028, 126.897258 37.43525, 126.89724 37.435185, 126.89691 37.433995, 126.896894 37.43391, 126.896878 37.433788, 126.89687 37.433718, 126.896828 37.433516)
400480609		False	LINESTRING (126.898149 37.438087, 126.897932 37.437289, 126.8977 37.436512, 126.897574 37.436013, 126.89734 37.435163, 126.897105 37.434335, 126.897036 37.434086, 126.896968 37.433827, 126.89691 37.433608, 126.896802 37.433227, 126.896695 37.432848, 126.896603 37.432537)
