aptSeq	apt_name	build_year	n_trades	n_dong	n_with_height	total_flats	osm_year_median	max_levels	mean_dist
11680-5100	개포자이르네	2022.0	5	38.0	35	1848	2020.0	35	162.53891425504366
11680-5114	펜트힐캐스케이드	2023.0	2	2.0	2	214	2004.5	18	42.51855411925482
11680-513	삼성리치빌1	2003.0	1	1.0	1	0	1992.0	9	77.89678101350127
11680-519	삼성동대성유니드	2004.0	1	2.0	2	77	2004.5	9	17.181414037770995
11680-522	LG선릉에클라트(B)	2004.0	12	2.0	2	334	2012.5	18	125.85538826579113
11680-5235	개포자이프레지던스	2023.0	79	9.0	9	0		32	140.8344148263978
11680-525	미켈란147	2004.0	5	1.0	1	67	2004.0	23	1.0506258064873313
11680-5251	대치푸르지오써밋	2023.0	5	13.0	11	284	2023.0	18	88.87162327623065
11680-526	아름빌(889-74)	2003.0	2	1.0	1	43	2003.0	12	0.7188013918900565
11680-5267	에테르노청담	2023.0	1	1.0	1	29	2023.0	20	1.9178319393069294
11680-5268	디에이치퍼스티어아이파크	2023.0	3	35.0	16	1		28	187.64858602958748
11680-527	대치동우정에쉐르2(890-42)	2004.0	2	1.0	1	18	2004.0	11	3.0533188577468793
11680-528	선릉역대우아이빌(890-49)	2004.0	3	2.0	2	367	2003.5	17	36.47105364011686
11680-529	테헤란로대우아이빌(891-6)	2004.0	10	4.0	4	551	2012.0	26	68.46363565299522
11680-5291	도곡월드메르디앙아파트	2023.0	2	3.0	3	77	2023.0	18	20.616492419751754
11680-530	대우아이빌명문가(891-23)	2004.0	7	1.0	1	210	2004.0	11	3.1839611570613737
11680-531	대우아이빌멤버스(891-26)	2003.0	8	2.0	2	214	2003.5	12	18.444091417388947
11680-532	포스코더샵	2004.0	5	2.0	2	116	2004.0	22	58.02043348458018
11680-534	동민맥스빌B동	2004.0	1						
11680-549	압구정하이츠파크	2004.0	2	3.0	3	113	2004.0	25	106.12625584604778
11680-551	마일스디오빌	2004.0	9	2.0	2	392	2012.5	15	47.52949448713855
11680-553	케이씨빌	2004.0	1						
11680-554	한진로즈힐	2004.0	2	3.0	2	81	2004.0	9	32.140140342163555
11680-556	제이빌	2004.0	1						
11680-558	두산위브1단지	2004.0	3	3.0	3	148	2004.0	14	55.286226504212
11680-559	두산위브2단지	2004.0	4	2.0	2	136	2004.0	14	35.735225888281796
11680-560	대우디오빌	2004.0	8	55.0	55	457	2009.5	15	197.9927174048032
11680-566	아카데미스위트1	2004.0	14	1.0	1	414	2004.0	51	0.9677661478667592
11680-567	현대아이리스1	2004.0	2	2.0	2	113	2022.5	20	125.22086636494387
11680-568	뉴현대	2004.0	1	3.0	0	0			45.47572922275066
11680-574	청담대우멤버스카운티9차	2004.0	1	8.0	2	0		17	42.61101349056062
11680-576	청담대우멤버스카운티12차	2004.0	1	5.0	2	0		17	52.814596148555495
11680-578	개포주공7단지	1983.0	16	4.0	4	464	1983.0	15	104.88587975093233
11680-581	리치타운	2004.0	1						
11680-582	힐타워	2001.0	1						
11680-584	토미	2004.0	1	1.0	1	55	2023.0	20	279.44933895781384
11680-592	우성아파트	2005.0	3	1.0	1	0		7	3.0184467025486277
11680-594	역삼엔스위트102동	2005.0	1						
11680-598	삼성월드타워	1997.0	1	2.0	2	58	1999.5	14	14.940372178710914
11680-599	우림루미아트	2005.0	1	2.0	2	203	2004.5	15	17.777981912884496
11680-601	동부센트레빌	2005.0	14	7.0	7	805	2005.0	29	164.54786134530875
11680-61	청담힐(에이동)진도(비동)	1997.0	1	1.0	0	0			28.324900871834405
11680-62	진흥아파트	1984.0	8	3.0	3	285	1984.0	15	68.76803595574029
11680-65	청담건영	1994.0	7	2.0	2	240	1994.0	19	28.383806894806632
11680-663	에벤에셀빌라트	2001.0	1	2.0	1	63	2014.0	13	254.42280295089375
11680-664	우림루미아트2	2003.0	3	1.0	1	42	2003.0	12	3.4983513531366652
11680-665	우림루미아트1	2003.0	1	2.0	2	42	2010.5	14	92.92463832479078
11680-666	진넥스빌2	2003.0	3	1.0	1	56	2003.0	11	2.5591587660531077
11680-6668	역삼센트럴아파트	2025.0	5						
11680-6669	아크로삼성	2025.0	1	4.0	4	0	2025.0	25	58.0080861782046
11680-668	대우디오빌플러스	2004.0	8	8.0	8	2179	2004.0	19	110.25478197899808
11680-67	청담로얄카운티	1999.0	1						
11680-670	새롬(1164-12)	2000.0	2						
11680-671	새롬(1164-13)	2000.0	3						
11680-672	새롬(1164-14)	2000.0	1						
11680-674	포이현대빌라트	1997.0	1	1.0	0	0			140.3496593307409
11680-682	대치한신휴플러스	2005.0	3	1.0	1	16	2019.0	9	88.44668303087707
11680-685	동양	1999.0	1						
11680-687	청원	2005.0	1	2.0	2	0		7	122.5022232418039
11680-689	대치하나빌	2003.0	2	4.0	1	0		8	101.63296382666037
11680-699	논현동한화꿈에그린	2005.0	6	3.0	3	320	2003.0	14	69.25440401036796
11680-705	그랜빌캐슬	2003.0	4	1.0	0	0			1.8612511339848947
11680-708	대명비발디	2003.0	2						
11680-713	하야트빌	2005.0	1	1.0	0	0			186.97135405996067
11680-717	논현동프라임	2004.0	1						
11680-73	청담우방아파트	1999.0	5	4.0	2	212	1999.0	18	74.44277415403695
11680-78	청담현대3차아파트	1999.0	9	6.0	6	317	1999.0	24	61.385932985005034
11680-83	현대아파트	1988.0	7	2.0	2	214	1988.0	13	80.7262536573602
11680-84	현대빌라(43-1)	1992.0	1	1.0	0	0			0.017205723615801354
11680-9	신성아파트101동	1996.0	4	2.0	1	55	1996.0	10	94.47255374956468
11680-97	청담매스터빌	1994.0	2	2.0	0	0			30.704079313582977
11680-98	청담대림이-편한세상	2002.0	13	4.0	4	271	2002.0	17	41.71298959902282
11680-99	이니그마빌2	2002.0	1						
