aptSeq	apt_name	build_year	n_trades	n_dong	n_with_height	total_flats	osm_year_median	max_levels	mean_dist
11680-3830	현대힐스테이트2단지	2008.0	23	12.0	12	926	2008.0	23	107.8821118525605
11680-3834	삼성동힐스테이트 1단지	2008.0	43	17.0	17	1149	2008.0	23	130.04043564531378
11680-384	한양7	1981.0	2	2.0	2	239	1981.0	12	36.9101287154148
11680-3840	네오블로썸	2009.0	1	4.0	3	76	2018.0	13	122.81412162583152
11680-3843	논현웰스톤	2009.0	2	2.0	0	0			24.19559955242971
11680-3844	로체샤르캐슬	2009.0	1						
11680-385	미성1차	1982.0	2	3.0	3	322	1982.0	14	61.74896294066064
11680-3871	래미안그레이튼	2009.0	5	8.0	6	338	2009.0	21	60.235878669513625
11680-3879	도곡지웰카운티101동	2010.0	2	1.0	1	19	2009.0	20	277.853688505646
11680-3899	마크힐스이스트윙	2010.0	1	4.0	4	76	2009.5	22	93.54077379598813
11680-3905	래미안그레이튼(진달래2차)	2010.0	9	7.0	6	542	2011.0	34	129.66883395228754
11680-391	개포주공5단지	1983.0	12	6.0	5	800	1983.0	14	92.15040838090455
11680-392	동부센트레빌	2003.0	9	4.0	4	160	2003.0	23	37.87187856141576
11680-3923	삼성동신도브래뉴	2010.0	1						
11680-394	풍림아이원아파트	2003.0	1	2.0	0	0			12.005960938042056
11680-3946	청담4차이-편한세상	2011.0	3	2.0	2	94	2011.0	15	27.59201717743979
11680-395	풍림아이원1차103동(910-5)	2003.0	1	1.0	0	0			1.7417647431053616
11680-3953	세곡리엔파크(3단지)	2011.0	1	7.0	7	363	2011.0	14	100.00170349115368
11680-3958	이산	2011.0	2	1.0	1	124	2013.0	19	148.90640418670975
11680-396	풍림아이원2차202동	2003.0	1	2.0	0	0			14.657304988270004
11680-3962	도곡쌍용예가	1978.0	7	5.0	5	384	1978.0	13	58.100911901431985
11680-3964	강남신동아파밀리에2단지	2011.0	2	9.0	9	487	2011.0	14	81.91253498284316
11680-3965	강남신동아파밀리에1단지	2011.0	2	9.0	9	573	2011.0	13	93.54654535934576
11680-399	롯데캐슬모닝	2003.0	2	1.0	1	46	2003.0	11	0.5053669116511725
11680-400	금호어울림	2003.0	1	2.0	2	109	2004.0	11	31.75859122578293
11680-4003	강남데시앙파크	2011.0	13	17.0	17	657	2011.0	13	101.06262411855614
11680-4004	청담자이	2011.0	19	5.0	5	708	2011.0	35	68.6384446948188
11680-401	미켈란107	2003.0	1						
11680-403	쌍용플래티넘	2003.0	1	3.0	3	161	2003.0	21	47.456863346032385
11680-4036	대명벨리온	2012.0	1	1.0	1	78	2023.0	14	102.82820754604862
11680-404	포스코트	2003.0	1	1.0	1	72	2003.0	22	4.0769658000046896
11680-4050	강남서해그랑블	2012.0	2	1.0	1	68	2012.0	10	9.991411769976603
11680-407	삼부아그레빌	2003.0	3	3.0	3	105	1992.0	14	76.09162325746462
11680-4082	상지리츠빌카일룸(65-4)	2012.0	1	1.0	1	13	2012.0	15	1.575102024039664
11680-4084	개나리SK뷰	2012.0	2	3.0	3	240	2012.0	25	88.753232303995
11680-4090	세곡푸르지오	2012.0	29	27.0	16	912	2012.0	15	141.96289172518038
11680-41	삼환(101동)	1999.0	11	1.0	1	184	1999.0	16	65.19360119628796
11680-410	역삼르비앙1	2003.0	1	3.0	2	101	2003.0	15	25.152496966305538
11680-411	금호어울림	2003.0	9	2.0	2	103	2002.5	15	32.06234689647137
11680-415	현대1차(12,13,21,22,31,32,33동)	1976.0	7						
11680-416	현대2차(10,11,20,23,24,25동)	1976.0	8	8.0	8	570	1976.0	15	116.92413471893413
11680-417	현대3차(61~64동)	1976.0	6	4.0	4	232	1976.0	12	67.28610725600588
11680-4173	래미안도곡카운티	2016.0	2	8.0	8	397	2016.0	21	147.35461449326328
11680-418	현대4차저층(51~56동)	1977.0	3	8.0	8	316	1977.0	15	79.05797937725275
11680-419	현대5차(71,72동)	1977.0	6	3.0	3	210	1976.0	15	85.5778611827999
11680-4197	삼성동라테라스	2013.0	1	1.0	1	18	2013.0	16	7.425336804426349
11680-4199	강남엘에이치1단지	2013.0	28	9.0	9	645	2013.0	15	94.45524764360434
11680-420	현대6차(78~81,83,84,86,87동)	1978.0	5	6.0	6	532	1978.5	14	158.16015142299293
11680-4202	한양수자인어반게이트	2013.0	2						
11680-421	현대7차(73~77,82,85동)	1979.0	4	7.0	7	588	1978.0	14	155.99792929656314
11680-422	현대8차(성수현대:91~95동)	1980.0	12	4.0	4	403	1980.0	13	77.82004746701108
11680-423	신현대9차	1982.0	14	8.0	8	611	1982.0	13	146.88741607924513
11680-425	신현대11차	1983.0	18	2.0	2	148	1982.0	13	155.6403894987306
11680-426	신현대12차	1982.0	22	10.0	10	724	1982.0	13	140.616693175879
11680-427	현대13차(208~211동)	1983.0	4	17.0	17	1118	1982.0	14	175.40162842860505
11680-428	현대14차(203,204,205,206동)	1987.0	9	5.0	5	329	1987.0	15	85.99046491088247
11680-4284	청담신원아침도시마인	2013.0	5	1.0	0	0			38.34328329992699
11680-4291	래미안청담로이뷰	1992.0	7	2.0	2	372	1991.5	16	66.73081926485244
11680-4292	청담아이파크	1992.0	4	1.0	1	108	1992.0	19	0.014062573406101777
11680-4293	래미안대치하이스턴	1989.0	3	4.0	4	264	1989.0	16	51.66251102890605
11680-4296	테헤란아이파크	2014.0	8	8.0	8	472	2014.0	25	136.44755829335895
11680-4297	래미안포레	2014.0	6	21.0	13	1569	2014.0	12	149.6146992049164
11680-4298	강남한양수자인(4단지)	2014.0	19	31.0	31	1646	2014.0	12	173.01544282886678
