apt_seq	area_type	deal_ym	n_trades	median_price_per_m2
11110-13	90.0	202506	1	962.1692543188279
11110-13	93.0	202509	1	632.6352530541012
11110-13	105.0	202503	1	956.9377990430622
11110-13	105.0	202512	1	1113.6493432324387
11110-131	48.0	202507	1	619.3575477640143
11110-131	48.0	202512	1	724.333403317237
11110-132	60.0	202607	1	916.6666666666666
11110-133	60.0	202201	1	747.0784641068448
11110-14	66.0	202405	1	1242.5328554360813
11110-14	111.0	202510	1	1228.2776817396052
11110-146	150.0	202410	1	1047.5369621428097
11110-146	150.0	202606	1	1060.0238505366372
11110-146	153.0	202203	1	1019.3344732342496
11110-146	156.0	202308	1	948.900429569789
11110-146	186.0	202307	1	872.1241305510969
11110-15	81.0	202308	1	799.7047244094488
11110-15	81.0	202410	1	978.1003937007874
11110-15	93.0	202408	1	961.433409810991
11110-150	81.0	202411	1	733.8431179082388
11110-150	81.0	202608	1	882.716049382716
11110-151	90.0	202408	1	658.1167735403308
11110-152	84.0	202308	1	1059.446733372572
11110-152	84.0	202309	1	1082.9899941141848
11110-152	84.0	202404	1	1247.7928193054738
11110-152	84.0	202411	1	1236.0211889346674
11110-152	84.0	202503	1	1353.737492642731
11110-152	84.0	202504	1	1153.619776339023
11110-152	84.0	202506	1	1318.4226015303118
11110-152	84.0	202511	1	1288.9935256032961
11110-152	111.0	202306	1	1074.0177212924013
11110-152	111.0	202311	1	1002.4165398729078
11110-152	111.0	202407	1	1074.0177212924013
11110-152	111.0	202409	1	1127.7186073570213
11110-152	111.0	202506	1	1029.266982905218
11110-152	111.0	202602	1	1129.5086368925088
11110-152	111.0	202603	1	1082.967868969838
11110-152	111.0	202605	1	1132.1936811957396
11110-152	114.0	202111	1	1141.8162431135595
11110-152	114.0	202506	1	1057.4018126888218
11110-152	114.0	202605	2	1079.6161364848053
11110-152	114.0	202606	1	1101.8304602807889
11110-153	54.0	202504	1	822.3684210526316
11110-16	51.0	202306	1	1282.051282051282
11110-16	57.0	202203	1	961.8747813920951
11110-16	57.0	202603	1	1019.5872682756209
11110-16	78.0	202502	1	894.7973923047424
11110-16	84.0	202211	1	771.4217896985521
11110-16	84.0	202504	1	977.5055941585208
11110-16	84.0	202603	1	1103.7265606456206
11110-16	96.0	202411	1	855.405544676904
11110-204	60.0	202410	1	374.04456009107173
11110-204	60.0	202412	1	357.78175313059035
11110-205	30.0	202109	2	1026.9532582736267
11110-205	30.0	202311	1	989.4234049812351
11110-205	30.0	202501	1	1057.6595018764926
11110-205	30.0	202503	1	1125.8955987717502
11110-205	30.0	202607	1	1160.0136472193792
11110-205	36.0	202405	1	841.0200759631036
11110-205	36.0	202505	1	868.1497558328812
11110-205	36.0	202510	1	1139.4465545306566
11110-205	36.0	202511	1	949.5387954422138
11110-205	36.0	202512	1	895.2794357026587
11110-205	39.0	202110	1	927.6531383917318
11110-205	39.0	202309	2	1091.0733541736797
11110-205	39.0	202310	1	848.5150985774894
11110-205	39.0	202404	1	873.4714250062391
11110-205	39.0	202405	1	873.4714250062391
11110-205	39.0	202408	1	897.1443012383119
11110-205	39.0	202502	1	1046.1305772624148
11110-205	39.0	202505	1	948.3404042924882
11110-205	39.0	202507	1	1209.982354423998
11110-205	39.0	202509	1	1134.358457272498
11110-205	39.0	202511	2	981.85026468364
11110-205	39.0	202602	1	1058.7345601209981
11110-205	39.0	202603	2	944.0137897828936
11110-205	42.0	202412	1	951.9387044346413
11110-205	42.0	202503	1	1049.6850944716587
11110-205	42.0	202509	1	905.5026700719759
11110-205	45.0	202403	1	1084.8340203948794
11110-205	84.0	202309	1	1141.0040835935622
11110-205	84.0	202310	1	1201.0569300984866
11110-205	84.0	202607	1	1321.1626231083353
11110-206	60.0	202410	1	993.8090583251873
11110-206	108.0	202510	1	869.2462864478268
11110-2073	102.0	202604	1	989.6187057339673
11110-2073	102.0	202605	1	727.6608130396818
11110-2082	183.0	202509	1	847.7357252242398
11110-210	30.0	202212	1	638.4408602150537
11110-2109	117.0	202306	1	722.7049815021938
11110-212	33.0	202204	1	568.7058100215186
11110-212	33.0	202510	1	599.4466646172764
11110-212	57.0	202408	1	280.21015761821366
11110-2128	84.0	202601	1	813.8711960368012
11110-2128	84.0	202605	1	725.4069355980184
11110-2132	102.0	202506	1	685.2716257821035
11110-2150	84.0	202307	1	980.2763670721625
11110-2150	84.0	202311	1	921.2235738750443
11110-2150	84.0	202412	1	1094.6152939790268
11110-2150	84.0	202511	1	978.6581771017568
11110-2150	84.0	202604	2	1041.3508532895357
11110-2155	84.0	202301	1	932.7036599763873
11110-2155	84.0	202309	3	979.9291617473435
11110-2155	84.0	202311	1	1062.573789846517
11110-2155	84.0	202408	1	1059.0727229936456
11110-2155	84.0	202411	1	1116.4933837429112
11110-2155	84.0	202501	1	741.3509060955519
11110-2155	84.0	202502	1	945.179584120983
11110-2155	84.0	202512	1	1259.1197928924453
11110-2155	93.0	202204	1	1163.6677082210967
11110-2155	93.0	202304	1	969.7230901842473
11110-2155	93.0	202404	1	1185.2171102251912
11110-2155	93.0	202408	1	1002.047193190389
11110-2155	93.0	202503	1	1055.9206982006249
11110-2155	93.0	202510	1	1077.4701002047193
11110-2155	93.0	202604	1	1131.3436052149552
11110-2155	99.0	202304	1	863.9089338347393
11110-2155	99.0	202503	1	1016.3634515702815
11110-2155	99.0	202507	1	965.5452789917674
11110-2155	99.0	202604	1	1057.0179896330928
11110-2155	99.0	202607	1	1412.7451976826912
11110-2155	99.0	202608	1	1321.272487041366
11110-2155	108.0	202311	1	1076.6782136504073
11110-2155	171.0	202605	1	830.0953726598375
11110-2164	108.0	202407	1	1312.528682882056
