aptSeq	apt_name	gu	confidence	n_dong	reg_dong	dong_diff	reg_units	build_year	reg_year	reg_name	n_deals	단지고유번호
11710-5714	올림픽선수기자촌1단지	송파구	MIXED	31.0	36.0	-5.0	1848.0	1988.0	1988.0	올림픽선수기자촌1단지	1132	11710120021805
11380-9862	은평뉴타운기자촌11단지	은평구	NAME	5.0	10.0	-5.0	426.0	2015.0	2015.0	은평뉴타운기자촌11단지	278	11380120311869
11560-103	남서울	영등포구	LOW	8.0	13.0	-5.0	518.0	1974.0	1974.0	남서울	68	11560100001049
11380-8556	박석고개1단지힐스테이트(101~111동)임대BL2-12	은평구	NAME	3.0	8.0	-5.0	357.0	2009.0	2009.0	박석고개1단지힐스테이트(101~111동)임대BL2-12	152	11380120127617
11410-85	홍은동벽산	서대문구	MIXED	11.0	16.0	-5.0	1329.0	1997.0	1997.0	홍은동벽산	559	11410100000543
11320-83	서원	도봉구	MIXED	11.0	16.0	-5.0	2450.0	1996.0	1996.0	서원	785	11320100000450
11380-8392	박석고개1단지힐스테이트(116~131동)BL2-1	은평구	NAME	7.0	12.0	-5.0	606.0	2009.0	2009.0	박석고개1단지힐스테이트(116~131동)BL2-1	363	11380120117538
11560-26	한양	영등포구	LOW	2.0	8.0	-6.0	588.0	1975.0	1975.0	한양	208	11560100000972
11380-8029	상림마을8단지롯데캐슬(821~830동)BL1-12	은평구	NAME	4.0	10.0	-6.0	551.0	2008.0	2008.0	상림마을8단지롯데캐슬(821~830동)BL1-12	230	11380120092728
11200-2879	대림e-편한세상(임대)	성동구	MIXED	8.0	15.0	-7.0	2399.0	2000.0	2000.0	대림e-편한세상	23	11200100000228
11380-8028	상림마을8단지롯데캐슬(810~820동)BL1-1	은평구	NAME	4.0	11.0	-7.0	707.0	2008.0	2008.0	상림마을8단지롯데캐슬(810~820동)BL1-1	220	11380120092727
11680-4988	디에이치자이개포	강남구	NAME	8.0	15.0	-7.0	1996.0	2021.0	2021.0	디에이치자이개포	829	11680120427822
11710-6030	송파파인타운10단지	송파구	NAME	2.0	9.0	-7.0	545.0	2007.0	2007.0	송파파인타운10단지	328	11710120071755
11740-4214	래미안힐스테이트고덕	강동구	NAME	44.0	51.0	-7.0	3658.0	2016.0	2016.0	래미안힐스테이트고덕	2886	11740120348253
11560-2	영등포푸르지오	영등포구	MIXED	23.0	31.0	-8.0	2462.0	2002.0	2002.0	영등포푸르지오	1582	11560100000948
11620-5	관악드림(삼성)	관악구	MIXED	8.0	16.0	-8.0	1360.0	2003.0	2003.0	관악드림(삼성)	876	11620100002113
11590-3773	흑석한강센트레빌	동작구	HIGH	2.0	10.0	-8.0	655.0	2011.0	2011.0	흑석한강센트레빌	442	11590120136192
11500-6919	강서힐스테이트	강서구	NAME	29.0	37.0	-8.0	2603.0	2015.0	2015.0	강서힐스테이트	1480	11500120294948
11440-17	우성	마포구	MIXED	7.0	15.0	-8.0	1222.0	1991.0	1991.0	우성	967	11440100000698
11710-8245	파크하비오	송파구	MIXED	2.0	10.0	-8.0	999.0	2016.0	2016.0	파크하비오	824	11710120342785
11470-120	목동신시가지11	양천구	NAME	10.0	19.0	-9.0	1595.0	1988.0	1988.0	목동신시가지11	1394	11470100003276
11620-28	현대(관악)	관악구	LOW	13.0	22.0	-9.0	1729.0	1992.0	1992.0	현대(관악)	1195	11620100002136
11380-8622	구파발9단지래미안(901~915동)임대BL3-3	은평구	NAME	6.0	15.0	-9.0	1022.0	2010.0	2010.0	구파발9단지래미안(901~915동)임대BL3-3	679	11380120130576
11530-53	산업인	구로구	NAME	1.0	10.0	-9.0	342.0	1976.0	1976.0	산업인	167	11530100002022
11410-37	홍연	서대문구	LEVEL_MISMATCH	1.0	11.0	-10.0	176.0	1981.0	1981.0	홍연	31	11410100000493
11650-4440	아크로리버파크	서초구	MIXED	4.0	15.0	-11.0	1612.0	2016.0	2016.0	아크로리버파크	1104	11650120345416
11290-3807	길음뉴타운8단지(래미안)	성북구	NAME	11.0	24.0	-13.0	1497.0	2010.0	2010.0	길음뉴타운8단지(래미안)	977	11290120130223
11710-9347	송파시그니처롯데캐슬	송파구	NAME	4.0	17.0	-13.0	1945.0	2021.0	2021.0	송파시그니처롯데캐슬	1305	11710120431588
11710-8544	위례포레샤인23단지	송파구	MIXED	8.0	23.0	-15.0	2200.0	2017.0	2017.0	위례포레샤인23단지	1718	11710120357731
11500-477	우장산힐스테이트	강서구	MIXED	22.0	40.0	-18.0	2198.0	2005.0	2005.0	우장산힐스테이트	1128	11500100448399
11620-11	두산	관악구	LEVEL_MISMATCH	5.0	25.0	-20.0	2001.0	2000.0	2000.0	두산	1211	11620100002119
11710-5715	올림픽선수기자촌2단지	송파구	NAME	28.0	58.0	-30.0	2188.0	1988.0	1988.0	올림픽선수기자촌2단지	1129	11710120021806
