aptSeq	apt_name	gu	confidence	n_dong	reg_dong	dong_diff	reg_units	build_year	reg_year	reg_name	n_deals	단지고유번호
11530-24	우성(23)	구로구	NAME	2.0	3.0	-1.0	344.0	1985.0	1985.0	우성(23)	195	11530100001992
11530-171	삼성래미안	구로구	NAME	15.0	16.0	-1.0	1244.0	2004.0	2004.0	삼성래미안	508	11530100249073
11500-78	미성아파트(연립)	강서구	HIGH	2.0	3.0	-1.0	228.0	1987.0	1987.0	미성아파트(연립)	80	11500100001820
11500-6	동아	강서구	LOW	4.0	5.0	-1.0	778.0	1998.0	1998.0	동아	439	11500100001747
11500-376	마곡 한진해모로	강서구	LOW	5.0	6.0	-1.0	354.0	2004.0	2004.0	한진로즈힐	198	11500100249059
11500-274	한백E타운아파트	강서구	LOW	1.0	2.0	-1.0	32.0	2003.0	2003.0	한백E타운아파트	4	11500100052589
11500-233	방화동동부센트레빌(875번지)	강서구	MIXED	6.0	7.0	-1.0	407.0	2003.0	2003.0	방화동동부센트레빌(875번지)	146	11500100050588
11470-4206	방주기픈샘2	양천구	LOW	1.0	2.0	-1.0	88.0	2007.0	2007.0	방주기픈샘2	26	11470120086175
11470-35	성원2	양천구	MIXED	3.0	4.0	-1.0	423.0	2000.0	2000.0	성원2	251	11470100003190
11470-336	대성유니드	양천구	LOW	4.0	5.0	-1.0	283.0	2004.0	2004.0	대성유니드	77	11470100248958
11470-206	롯데캐슬위너	양천구	NAME	12.0	13.0	-1.0	1067.0	2005.0	2005.0	롯데캐슬위너	490	11470100080665
11470-132	목동삼성	양천구	NAME	3.0	4.0	-1.0	420.0	1996.0	1996.0	목동삼성	194	11470100003288
11470-123	목동신시가지14	양천구	NAME	33.0	34.0	-1.0	3100.0	1987.0	1987.0	목동신시가지14	1817	11470100003279
11410-4762	DMC센트럴아이파크	서대문구	NAME	12.0	13.0	-1.0	1061.0	2018.0	2018.0	DMC2차아이파크	785	11410120381219
11410-3906	돈의문센트레빌	서대문구	NAME	13.0	14.0	-1.0	561.0	2011.0	2011.0	돈의문센트레빌	327	11410120126822
11410-3619	인왕산어울림	서대문구	NAME	1.0	2.0	-1.0	123.0	2006.0	2006.0	인왕산어울림	52	11410120054067
11410-27	대림	서대문구	HIGH	2.0	3.0	-1.0	220.0	1993.0	1993.0	대림	66	11410100000483
11410-173	한인트윈빌	서대문구	LOW	1.0	2.0	-1.0	36.0	2002.0	2002.0	한인트윈빌	6	11410100248715
11410-137	홍은그린	서대문구	LOW	1.0	2.0	-1.0	24.0	2003.0	2003.0	홍은그린	1	11410100053109
11410-12	경남(2차)	서대문구	LOW	1.0	2.0	-1.0	38.0	1999.0	1999.0	경남(2차)	31	11410100000468
