apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11350-129	LOW			5.085		79.19999999999999	85.6				
11350-129	MID			6.04		66.69999999999999	90.95				
11350-130	HIGH			7.67		31.9	92.6				
11350-130	LOW			4.08		84.7	79.2				
11350-130	MID			5.67		76.4	86.1				
11350-131	HIGH			6.08		22.2	97.2				
11350-131	LOW			4.5		43.1	89.6				
11350-131	MID			4.83		33.3	92.6				
11350-132	HIGH			8.08		6.9	108.75				
11350-132	LOW			6.415		65.3	77.6				
11350-132	MID			7.625		46.55	84.65				
11350-133	HIGH			6.42		34.7	92.7				
11350-133	LOW			1.17		79.2	56.2				
11350-133	MID			3.58		75.0	67.9				
11350-134	HIGH			8.08		9.05	98.6				
11350-134	LOW			6.79		23.6	91.3				
11350-134	MID			7.21		15.95	94.25				
11350-135	HIGH			7.375		24.3	88.6				
11350-135	LOW			3.875		75.7	64.85				
11350-135	MID			4.96		69.45	74.0				
11350-136	HIGH			7.58		20.8	114.9				
11350-136	LOW			5.17		55.6	75.3				
11350-136	MID			5.83		48.6	85.8				
11350-137	HIGH			7.5		31.9	88.7				
11350-137	LOW			6.42		72.2	78.2				
11350-137	MID			6.75		59.7	83.3				
11350-139	HIGH			7.83		0.0	86.6				
11350-139	LOW			3.5		79.2	71.7				
11350-139	MID			6.08		68.1	78.0				
11350-14	HIGH			8.08		20.8	117.7				
11350-14	LOW			6.92		58.3	100.2				
11350-14	MID			6.92		55.6	106.0				
11350-140	HIGH			7.67		0.0	88.15				
11350-140	LOW			4.5		63.9	77.45				
11350-140	MID			6.25		54.2	81.95				
11350-141	HIGH			7.58		8.3	89.3				
11350-141	LOW			2.83		76.4	73.7				
11350-141	MID			5.83		61.1	81.2				
11350-143	HIGH			7.83		4.2	87.3				
11350-143	LOW			3.33		58.3	75.7				
11350-143	MID			6.25		47.2	80.3				
11350-144	HIGH			7.875		0.0	89.44999999999999				
11350-144	LOW			5.0		58.35	75.5				
11350-144	MID			5.79		50.7	81.7				
11350-145	HIGH			3.0		59.7	70.7				
11350-145	LOW			2.75		62.5	67.1				
11350-145	MID			2.92		62.5	68.2				
11350-146	HIGH			8.08		4.85	89.25				
11350-146	LOW			4.0		59.7	74.35				
11350-146	MID			6.085		45.150000000000006	80.65				
11350-147	HIGH			7.04		9.7	112.75				
11350-147	LOW			6.83		13.9	102.0				
11350-147	MID			7.0		10.4	104.2				
11350-148	HIGH			8.08		0.0	142.0				
11350-148	LOW			7.25		33.3	88.3				
11350-148	MID			7.58		11.1	92.9				
11350-149	HIGH			7.835		4.85	90.25				
11350-149	LOW			2.915		69.45	71.45				
11350-149	MID			5.875		60.4	79.5				
11350-15	HIGH			7.835		7.649999999999999	105.2				
11350-15	LOW			4.835		78.44999999999999	70.85				
11350-15	MID			6.125		43.05	79.55000000000001				
11350-150	HIGH			8.04		7.649999999999999	97.75				
11350-150	LOW			5.75		52.1	83.15				
11350-150	MID			6.96		47.900000000000006	89.1				
11350-151	HIGH			8.0		9.05	91.25				
11350-151	LOW			4.665		56.25	76.3				
11350-151	MID			7.415		47.95	83.75				
11350-152	HIGH			7.79		0.0	89.75				
11350-152	LOW			5.5		58.35	75.69999999999999				
11350-152	MID			7.125		41.650000000000006	81.75				
11350-153	HIGH			7.83		16.7	98.7				
11350-153	LOW			4.58		59.7	71.9				
11350-153	MID			5.75		59.7	81.2				
11350-154	HIGH			7.92		0.0	107.4				
11350-154	LOW			4.08		50.0	73.8				
11350-154	MID			6.33		38.9	80.5				
11350-155	HIGH			7.92		0.0	99.1				
11350-155	LOW			4.75		47.2	75.8				
11350-155	MID			7.75		37.5	81.2				
11350-156	HIGH			7.75		22.2	119.3				
11350-156	LOW			3.33		61.1	68.1				
11350-156	MID			5.92		47.2	77.3				
11350-157	HIGH			6.0		35.4	91.55				
11350-157	LOW			5.955		61.1	72.85				
11350-157	MID			6.0		50.7	78.7				
11350-158	HIGH			8.08		0.0	100.5				
11350-158	LOW			7.83		23.6	82.6				
11350-158	MID			8.0		19.4	86.0				
11350-159	HIGH			4.795		23.6	126.9				
11350-159	LOW			2.835		47.900000000000006	86.25				
11350-159	MID			3.835		29.85	94.05				
11350-16	HIGH			7.33		30.6	94.1				
11350-16	LOW			1.75		79.2	58.5				
11350-16	MID			3.58		58.3	70.8				
11350-160	HIGH			7.75		15.25	87.2				
11350-160	LOW			2.04		59.05	74.0				
11350-160	MID			6.04		45.150000000000006	80.0				
11350-161	HIGH			7.75		5.6	88.7				
11350-161	LOW			7.5		43.1	81.3				
11350-161	MID			7.75		31.9	84.3				
11350-162	HIGH			7.25		18.75	99.15				
11350-162	LOW			5.045		70.85	67.1				
11350-162	MID			6.545		52.05	76.0				
11350-164	HIGH			8.08		0.0	111.2				
11350-164	LOW			8.0		20.8	85.9				
11350-164	MID			8.08		1.4	91.6				
11350-165	HIGH			8.08		0.0	89.4				
11350-165	LOW			7.92		27.8	85.7				
11350-165	MID			8.08		4.2	87.4				
11350-166	HIGH			7.415		34.0	94.15				
11350-166	LOW			3.955		65.3	78.15				
11350-166	MID			5.29		61.1	84.3				
11350-1662	HIGH			7.83		13.9	92.4				
11350-1662	LOW			4.33		33.3	81.5				
11350-1662	MID			7.42		13.9	84.9				
11350-1663	HIGH			7.92		9.05	86.30000000000001				
11350-1663	LOW			4.375		77.1	71.85				
11350-1663	MID			5.875		56.25	78.35				
11350-1664	HIGH			7.0		18.1	96.0				
11350-1664	LOW			5.83		52.8	82.8				
11350-1664	MID			6.5		47.2	86.8				
11350-1665	HIGH			7.875		38.900000000000006	95.2				
11350-1665	LOW			3.5		80.55000000000001	60.65				
11350-1665	MID			4.705		76.4	73.75				
11350-1668	HIGH			8.08		13.9	93.8				
11350-1668	LOW			7.92		40.3	87.9				
11350-1668	MID			8.0		29.2	90.2				
11350-167	HIGH			7.83		31.25	113.0				
11350-167	LOW			4.0		66.0	77.2				
11350-167	MID			4.79		54.2	87.05000000000001				
11350-1674	HIGH			7.75		45.8	81.6				
11350-1674	LOW			6.5		77.8	73.0				
11350-1674	MID			7.0		75.0	76.5				
11350-168	HIGH			8.08		27.8	110.5				
11350-168	LOW			2.75		56.9	62.6				
11350-168	MID			3.42		45.8	72.6				
11350-1683	HIGH			6.25		52.05	77.65				
11350-1683	LOW			5.83		61.1	74.15				
11350-1683	MID			6.08		56.900000000000006	75.9				
11350-1684	HIGH			8.08		34.7	83.4				
11350-1684	LOW			6.92		80.6	72.1				
11350-1684	MID			7.5		45.8	77.5				
11350-169	HIGH			7.83		6.9	89.1				
11350-169	LOW			4.17		75.0	69.3				
11350-169	MID			6.08		63.9	78.5				
11350-1693	HIGH			8.08		28.5	96.2				
11350-1693	LOW			4.58		42.35	86.44999999999999				
11350-1693	MID			6.71		38.2	91.1				
11350-1695	HIGH			7.085		26.4	99.75				
11350-1695	LOW			3.21		76.4	68.65				
11350-1695	MID			4.83		54.900000000000006	76.19999999999999				
11350-17	HIGH			7.54		45.8	97.5				
11350-17	LOW			1.79		86.1	62.5				
11350-17	MID			3.665		71.55	73.05000000000001				
11350-170	HIGH			7.58		4.2	107.0				
11350-170	LOW			6.08		45.8	88.0				
11350-170	MID			7.42		27.8	94.0				
11350-1701	HIGH			7.25		37.5	81.1				
11350-1701	LOW			5.5		87.5	71.7				
11350-1701	MID			6.42		75.0	74.9				
11350-1704	HIGH			7.705		44.45	99.85				
11350-1704	LOW			2.79		82.6	63.8				
11350-1704	MID			5.165		69.44999999999999	72.9				
11350-1706	HIGH			7.79		9.0	85.5				
11350-1706	LOW			1.71		79.19999999999999	67.6				
11350-1706	MID			5.17		63.900000000000006	75.65				
11350-1708	HIGH			8.08		3.5	103.45				
11350-1708	LOW			4.625		75.0	77.0				
11350-1708	MID			6.75		54.150000000000006	85.1				
11350-1709	HIGH			8.0		5.6	112.1				
11350-1709	LOW			4.25		56.9	102.1				
11350-1709	MID			6.17		41.7	107.3				
11350-171	HIGH			7.545		2.1	103.4				
11350-171	LOW			3.79		52.75	90.0				
11350-171	MID			5.79		36.1	95.0				
11350-1712	HIGH			6.92		19.4	104.7				
11350-1712	LOW			3.67		87.5	60.8				
11350-1712	MID			4.25		66.7	70.9				
11350-1713	HIGH			7.705		27.1	130.7				
11350-1713	LOW			2.75		63.2	90.45				
11350-1713	MID			3.96		52.8	97.95				
11350-1715	HIGH			7.58		6.9	127.7				
11350-1715	LOW			2.0		47.2	110.8				
11350-1715	MID			5.67		44.4	116.1				
11350-1719	HIGH			7.665		13.9	93.45				
11350-1719	LOW			4.665		61.1	77.55				
11350-1719	MID			6.835		48.6	85.45				
11350-172	HIGH			6.165		38.2	103.7				
11350-172	LOW			1.96		66.65	77.2				
11350-172	MID			4.085		59.7	85.6				
11350-1723	HIGH			7.42		13.9	94.7				
11350-1723	LOW			7.17		45.8	87.3				
11350-1723	MID			7.25		38.9	89.6				
11350-1724	HIGH			8.08		19.4	86.7				
11350-1724	LOW			7.92		50.0	76.9				
11350-1724	MID			8.0		33.3	81.7				
11350-1727	HIGH			3.58		25.0	83.6				
11350-1727	LOW			3.58		30.6	81.1				
11350-1727	MID			3.58		27.8	81.9				
11350-1728	HIGH			8.0		0.0	93.1				
11350-1728	LOW			7.83		27.8	83.5				
11350-1728	MID			7.92		2.8	86.9				
11350-1729	HIGH			5.5		47.2	91.6				
11350-1729	LOW			1.75		66.7	73.7				
11350-1729	MID			3.0		63.9	79.5				
11350-173	HIGH			7.71		18.1	85.65				
11350-173	LOW			4.875		63.9	71.35				
11350-173	MID			6.875		62.5	78.15				
11350-1733	HIGH			8.0		1.4	92.4				
11350-1733	LOW			6.83		19.4	84.5				
11350-1733	MID			7.33		2.8	86.8				
11350-1734	HIGH			7.75		15.3	84.2				
11350-1734	LOW			3.58		73.6	66.1				
11350-1734	MID			5.75		66.7	74.6				
11350-174	HIGH			7.545		13.9	104.0				
11350-174	LOW			2.295		82.65	66.30000000000001				
11350-174	MID			5.04		50.65	75.6				
11350-175	HIGH			6.83		9.7	91.6				
11350-175	LOW			5.58		30.6	83.4				
11350-175	MID			5.83		26.4	87.0				
11350-1757	HIGH			4.17		58.3	75.5				
11350-1757	LOW			3.83		90.3	64.6				
11350-1757	MID			3.83		84.7	69.1				
11350-1759	HIGH			4.83		54.2	75.9				
11350-1759	LOW			3.75		83.3	62.9				
11350-1759	MID			4.08		76.4	68.9				
11350-176	HIGH			7.75		16.7	90.3				
11350-176	LOW			5.92		58.3	80.2				
11350-176	MID			6.42		45.8	85.4				
11350-1767	HIGH			7.5		15.3	82.1				
11350-1767	LOW			4.835		86.8	69.0				
11350-1767	MID			6.29		67.35	74.25				
11350-177	HIGH			7.67		2.8	90.8				
11350-177	LOW			2.08		79.2	72.8				
11350-177	MID			7.08		68.1	82.5				
11350-178	HIGH			7.42		40.3	80.3				
11350-178	LOW			2.75		95.8	68.0				
11350-178	MID			6.25		84.7	74.6				
11350-179	HIGH			7.25		41.7	81.9				
11350-179	LOW			6.75		48.6	74.5				
11350-179	MID			6.92		47.2	78.0				
11350-18	HIGH			7.33		12.5	104.0				
11350-18	LOW			2.92		40.3	74.1				
11350-18	MID			5.58		25.0	82.0				
11350-180	HIGH			7.665		17.35	93.1				
11350-180	LOW			4.5		73.6	70.65				
11350-180	MID			6.125		50.0	78.5				
11350-181	HIGH			7.96		13.2	93.05				
11350-181	LOW			7.585		35.45	78.6				
11350-181	MID			7.83		31.950000000000003	83.1				
11350-1817	HIGH			8.08		33.3	84.4				
11350-1817	LOW			7.42		59.7	73.6				
11350-1817	MID			7.75		45.8	78.3				
11350-182	HIGH			8.0		19.4	84.6				
11350-182	LOW			2.42		91.7	62.7				
11350-182	MID			5.5		77.8	72.8				
11350-1825	HIGH			8.08		9.7	114.6				
11350-1825	LOW			4.08		62.5	100.9				
11350-1825	MID			6.17		51.4	105.9				
11350-1826	HIGH			8.08		8.3	103.1				
11350-1826	LOW			5.5		51.4	84.3				
11350-1826	MID			6.17		50.0	91.6				
11350-1828	HIGH			6.67		36.1	105.3				
11350-1828	LOW			2.0		38.9	97.2				
11350-1828	MID			4.0		36.1	99.8				
11350-183	HIGH			7.5		20.8	105.2				
11350-183	LOW			3.58		76.4	67.6				
11350-183	MID			4.5		59.7	75.9				
11350-184	HIGH			7.42		20.8	96.1				
11350-184	LOW			2.67		77.8	72.7				
11350-184	MID			5.92		61.1	82.4				
11350-1858	HIGH			4.0		63.9	60.3				
11350-1858	LOW			2.17		66.7	50.5				
11350-1858	MID			2.17		63.9	54.3				
11350-186	HIGH			8.08		0.0	117.6				
11350-186	LOW			7.75		9.7	89.6				
11350-186	MID			8.0		2.8	92.7				
11350-187	HIGH			8.0		16.7	98.7				
11350-187	LOW			4.42		66.7	82.6				
11350-187	MID			6.75		61.1	89.3				
11350-188	HIGH			7.42		4.2	85.6				
11350-188	LOW			4.42		66.7	76.0				
11350-188	MID			5.58		61.1	79.3				
11350-189	HIGH			8.08		16.7	108.1				
11350-189	LOW			5.17		65.3	67.9				
11350-189	MID			5.92		45.8	78.2				
11350-19	HIGH			7.5		15.3	91.65				
11350-19	LOW			2.335		63.900000000000006	77.15				
11350-19	MID			6.33		54.900000000000006	83.8				
11350-190	HIGH			7.75		1.4	108.6				
11350-190	LOW			0.5		69.4	90.5				
11350-190	MID			5.58		66.7	98.8				
11350-191	HIGH			8.08		15.3	86.7				
11350-191	LOW			7.0		51.4	79.7				
11350-191	MID			7.0		37.5	83.3				
11350-194	HIGH			8.08		0.0	100.8				
11350-194	LOW			7.58		37.5	85.1				
11350-194	MID			8.08		8.3	89.1				
11350-195	HIGH			6.0		29.2	83.9				
11350-195	LOW			4.5		37.5	78.3				
11350-195	MID			5.0		36.1	81.0				
11350-1957	HIGH			5.17		45.8	85.2				
11350-1957	LOW			1.08		62.5	74.5				
11350-1957	MID			1.42		55.6	78.7				
11350-196	HIGH			7.25		0.0	104.1				
11350-196	LOW			6.42		20.8	86.4				
11350-196	MID			7.08		5.6	89.8				
11350-197	HIGH			7.915		0.0	87.2				
11350-197	LOW			1.125		72.94999999999999	73.65				
11350-197	MID			6.795		63.85	79.35				
11350-198	HIGH			8.08		19.4	117.0				
11350-198	LOW			6.08		58.3	72.8				
11350-198	MID			7.0		37.5	84.1				
11350-199	HIGH			8.0		6.9	86.9				
11350-199	LOW			7.08		26.4	82.1				
11350-199	MID			7.67		18.1	83.9				
11350-20	HIGH			7.75		20.8	85.7				
11350-20	LOW			4.17		75.0	68.9				
11350-20	MID			6.75		58.3	76.0				
11350-201	HIGH			7.75		0.0	84.6				
11350-201	LOW			1.335		74.3	67.3				
11350-201	MID			5.5		68.75	75.35				
11350-2019	HIGH			7.5		22.2	107.2				
11350-2019	LOW			6.75		51.4	80.8				
11350-2019	MID			6.92		34.7	89.0				
11350-202	HIGH			7.915		12.5	84.0				
11350-202	LOW			2.21		72.2	67.3				
11350-202	MID			6.71		61.1	75.4				
11350-203	HIGH			7.21		25.700000000000003	80.75				
11350-203	LOW			4.96		68.75	71.0				
11350-203	MID			6.25		63.9	75.7				
11350-204	HIGH			7.5		51.4	79.8				
11350-204	LOW			5.17		86.1	72.8				
11350-204	MID			6.08		75.0	76.5				
11350-205	HIGH			7.75		4.2	85.6				
11350-205	LOW			6.0		77.8	69.5				
11350-205	MID			7.33		59.7	77.0				
11350-206	HIGH			7.375		18.75	82.9				
11350-206	LOW			4.21		75.0	72.19999999999999				
11350-206	MID			6.545		52.1	77.80000000000001				
11350-207	HIGH			7.92		4.2	85.5				
11350-207	LOW			4.17		70.8	68.5				
11350-207	MID			6.5		61.1	77.0				
11350-2072	HIGH			7.665		16.0	114.8				
11350-2072	LOW			5.165		66.0	67.35				
11350-2072	MID			6.5		38.900000000000006	76.69999999999999				
11350-209	HIGH			7.17		11.1	87.8				
11350-209	LOW			5.17		73.6	73.3				
11350-209	MID			5.58		38.9	80.5				
11350-212	HIGH			7.0		47.2	80.9				
11350-212	LOW			3.415		65.25	69.25				
11350-212	MID			4.125		55.55	74.44999999999999				
11350-213	HIGH			8.08		0.0	122.9				
11350-213	LOW			7.17		34.7	107.9				
11350-213	MID			8.0		11.1	112.6				
11350-2139	HIGH			7.915		19.450000000000003	142.05				
11350-2139	LOW			6.375		66.65	58.9				
11350-2139	MID			6.875		29.15	89.8				
11350-214	HIGH			7.58		30.6	111.5				
11350-214	LOW			3.25		62.5	63.6				
11350-214	MID			5.0		51.4	73.1				
11350-2140	HIGH			6.5		40.3	89.15				
11350-2140	LOW			3.375		47.900000000000006	71.6				
11350-2140	MID			4.83		44.45	76.75				
11350-2141	HIGH			2.67		44.4	79.1				
11350-2141	LOW			0.0		65.3	52.3				
11350-2141	MID			0.0		56.9	57.9				
11350-215	HIGH			6.33		62.5	77.5				
11350-215	LOW			5.08		90.3	67.1				
11350-215	MID			5.17		86.1	72.0				
11350-2151	HIGH			6.75		37.5	82.6				
11350-2151	LOW			1.67		43.1	72.3				
11350-2151	MID			5.0		41.7	77.1				
11350-216	HIGH			7.75		23.6	103.6				
11350-216	LOW			0.0		72.2	73.2				
11350-216	MID			1.5		58.3	80.9				
11350-217	HIGH			8.0		23.6	106.4				
11350-217	LOW			6.58		50.0	94.9				
11350-217	MID			6.58		34.7	98.0				
11350-2194	HIGH			7.875		18.05	94.15				
11350-2194	LOW			4.295		64.6	82.85				
11350-2194	MID			6.25		61.1	88.55				
11350-22	HIGH			7.705		4.15	120.25				
11350-22	LOW			4.335		47.900000000000006	99.4				
11350-22	MID			5.835		25.700000000000003	104.2				
11350-221	HIGH			6.83		29.2	84.2				
11350-221	LOW			6.42		47.2	80.8				
11350-221	MID			6.75		43.1	82.5				
11350-223	HIGH			7.54		40.95	87.45				
11350-223	LOW			5.25		60.4	71.7				
11350-223	MID			6.665		54.85	77.25				
11350-2231	HIGH			8.0		48.6	65.1				
11350-2231	LOW			6.0		76.4	49.6				
11350-2231	MID			7.42		70.8	54.2				
11350-224	HIGH			7.915		34.0	89.35				
11350-224	LOW			2.75		74.3	69.4				
11350-224	MID			5.29		49.3	77.25				
11350-225	HIGH			8.08		23.6	111.6				
11350-225	LOW			7.08		47.2	70.7				
11350-225	MID			7.75		33.3	76.6				
11350-2260	HIGH			4.67		58.3	84.9				
11350-2260	LOW			4.33		69.4	69.1				
11350-2260	MID			4.5		68.1	74.4				
11350-2275	HIGH			8.08		16.7	120.2				
11350-2275	LOW			2.83		68.1	76.0				
11350-2275	MID			5.83		51.4	88.5				
11350-2280	HIGH			7.17		25.0	118.9				
11350-2280	LOW			3.08		59.7	75.3				
11350-2280	MID			4.92		45.8	86.6				
11350-229	HIGH			8.08		19.4	85.9				
11350-229	LOW			6.0		40.3	80.1				
11350-229	MID			6.67		30.6	82.4				
11350-23	HIGH			7.915		4.85	119.4				
11350-23	LOW			6.705		33.3	113.85				
11350-23	MID			7.42		30.55	116.5				
11350-2301	HIGH			8.08		0.0	107.2				
11350-2301	LOW			7.75		37.5	85.0				
11350-2301	MID			8.08		27.8	94.4				
11350-2302	HIGH			8.08		26.4	124.6				
11350-2302	LOW			2.0		80.6	62.8				
11350-2302	MID			5.08		55.6	72.4				
11350-231	HIGH			6.5		29.2	80.0				
11350-231	LOW			6.33		37.5	75.6				
11350-231	MID			6.42		31.9	77.7				
11350-2313	HIGH			7.5		31.9	107.5				
11350-2313	LOW			1.0		84.7	60.8				
11350-2313	MID			4.33		58.3	72.4				
11350-2328	HIGH			7.25		31.9	100.2				
11350-2328	LOW			7.25		51.4	94.3				
11350-2328	MID			7.25		43.1	97.2				
11350-234	HIGH			7.08		25.0	86.0				
11350-234	LOW			5.58		30.6	81.0				
11350-234	MID			6.08		26.4	83.5				
11350-235	HIGH			7.25		13.9	87.4				
11350-235	LOW			5.79		65.94999999999999	70.25				
11350-235	MID			6.79		46.55	77.35				
11350-236	HIGH			4.58		31.9	81.2				
11350-236	LOW			3.17		47.2	73.0				
11350-236	MID			3.58		31.9	76.9				
11350-237	HIGH			8.08		15.25	90.2				
11350-237	LOW			4.125		66.0	72.7				
11350-237	MID			7.29		51.400000000000006	79.0				
11350-240	HIGH			6.33		61.1	88.2				
11350-240	LOW			3.58		70.8	77.1				
11350-240	MID			4.58		66.7	81.5				
11350-244	HIGH			7.75		9.75	89.25				
11350-244	LOW			4.21		50.0	73.1				
11350-244	MID			6.0		46.5	79.85				
11350-245	HIGH			8.08		4.2	101.3				
11350-245	LOW			7.25		25.0	84.9				
11350-245	MID			7.67		15.3	88.8				
11350-246	HIGH			5.75		38.900000000000006	98.2				
11350-246	LOW			4.08		61.8	88.4				
11350-246	MID			4.665		47.95	93.7				
11350-249	HIGH			6.5		41.7	86.2				
11350-249	LOW			1.42		88.9	56.9				
11350-249	MID			3.25		76.4	68.1				
11350-25	HIGH			7.42		28.450000000000003	86.85				
11350-25	LOW			4.415		57.65	73.75				
11350-25	MID			5.545		50.0	79.55000000000001				
11350-250	HIGH			7.25		22.2	85.2				
11350-250	LOW			6.33		51.4	78.0				
11350-250	MID			6.83		51.4	81.0				
11350-2515	HIGH			6.665		29.85	121.75				
11350-2515	LOW			2.79		68.75	78.0				
11350-2515	MID			4.165		52.8	86.55				
11350-252	HIGH			7.875		0.0	85.6				
11350-252	LOW			3.58		77.8	70.19999999999999				
11350-252	MID			6.46		53.5	77.5				
11350-2524	HIGH			7.17		20.8	99.8				
11350-2524	LOW			6.75		47.2	92.1				
11350-2524	MID			7.0		27.8	94.8				
11350-254	HIGH			4.58		20.8	81.2				
11350-254	LOW			4.0		38.9	79.2				
11350-254	MID			4.33		30.6	80.2				
11350-26	HIGH			7.75		19.4	84.9				
11350-26	LOW			6.92		37.5	80.1				
11350-26	MID			7.42		27.8	82.4				
11350-27	HIGH			7.835		0.0	86.30000000000001				
11350-27	LOW			2.585		69.44999999999999	73.1				
11350-27	MID			6.25		49.3	79.45				
11350-28	HIGH			7.75		22.2	86.4				
11350-28	LOW			2.75		68.1	64.0				
11350-28	MID			5.17		55.6	72.7				
11350-29	HIGH			7.67		29.9	88.5				
11350-29	LOW			4.625		68.75	72.25				
11350-29	MID			6.545		54.900000000000006	79.94999999999999				
11350-3	HIGH			7.375		37.5	86.05				
11350-3	LOW			3.67		72.9	66.35				
11350-3	MID			5.875		52.75	76.1				
11350-30	HIGH			7.21		36.150000000000006	80.6				
11350-30	LOW			4.795		83.30000000000001	70.05				
11350-30	MID			6.165		70.15	75.35				
11350-3090	HIGH			7.08		16.7	86.9				
11350-3090	LOW			4.75		54.2	75.1				
11350-3090	MID			5.92		45.8	80.4				
11350-3093	HIGH			7.92		5.6	85.5				
11350-3093	LOW			7.0		72.2	71.7				
11350-3093	MID			7.33		48.6	78.6				
11350-31	HIGH			7.875		0.0	85.85				
11350-31	LOW			3.75		64.6	70.6				
11350-31	MID			6.915		50.0	78.05				
11350-32	HIGH			7.33		6.9	85.3				
11350-32	LOW			1.5		72.2	69.3				
11350-32	MID			5.67		61.1	76.5				
11350-33	HIGH			7.75		8.3	100.8				
11350-33	LOW			4.83		52.8	88.1				
11350-33	MID			5.17		40.3	93.9				
11350-34	HIGH			7.71		36.8	87.5				
11350-34	LOW			5.54		73.6	75.75				
11350-34	MID			6.375		62.5	81.4				
11350-35	HIGH			7.92		0.0	85.15				
11350-35	LOW			0.7949999999999999		77.8	67.55				
11350-35	MID			6.21		62.5	75.75				
11350-36	HIGH			8.08		2.8	87.1				
11350-36	LOW			3.67		50.0	73.8				
11350-36	MID			7.75		43.1	80.9				
11350-37	HIGH			7.25		43.1	78.7				
11350-37	LOW			3.42		80.6	69.7				
11350-37	MID			5.58		63.9	73.9				
11350-38	HIGH			6.42		41.7	78.4				
11350-38	LOW			3.83		61.1	70.2				
11350-38	MID			4.75		52.8	74.6				
11350-39	HIGH			7.08		51.4	77.5				
11350-39	LOW			5.83		88.9	70.8				
11350-39	MID			6.58		83.3	73.7				
11350-4	HIGH			6.33		27.8	102.1				
11350-4	LOW			4.33		48.6	72.1				
11350-4	MID			5.58		34.7	77.7				
11350-40	HIGH			7.67		13.9	84.80000000000001				
11350-40	LOW			3.375		72.19999999999999	69.45				
11350-40	MID			6.67		56.25	76.55000000000001				
11350-41	HIGH			7.83		6.9	84.7				
11350-41	LOW			3.0		76.4	68.9				
11350-41	MID			6.33		58.3	76.4				
11350-423	HIGH			7.5		18.1	91.8				
11350-423	LOW			2.5		56.9	80.1				
11350-423	MID			3.67		43.1	84.2				
11350-428	HIGH			8.08		11.1	112.4				
11350-428	LOW			8.08		23.6	106.6				
11350-428	MID			8.08		16.7	108.9				
11350-429	HIGH			7.625		27.1	91.75				
11350-429	LOW			2.835		88.2	62.2				
11350-429	MID			5.375		71.5	72.15				
11350-43	HIGH			7.83		15.3	83.1				
11350-43	LOW			1.17		91.7	64.7				
11350-43	MID			5.25		76.4	72.4				
11350-44	HIGH			8.0		0.0	87.0				
11350-44	LOW			4.17		80.6	73.4				
11350-44	MID			6.42		52.8	80.2				
11350-45	HIGH			6.33		44.4	81.5				
11350-45	LOW			4.42		70.8	65.4				
11350-45	MID			5.42		62.5	72.3				
11350-47	HIGH			7.25		20.8	91.4				
11350-47	LOW			3.58		59.7	74.0				
11350-47	MID			5.58		45.8	81.6				
11350-48	HIGH			7.5		23.6	85.3				
11350-48	LOW			3.58		94.4	61.1				
11350-48	MID			3.58		79.2	72.2				
11350-49	HIGH			8.08		9.7	95.7				
11350-49	LOW			6.17		48.6	84.7				
11350-49	MID			6.58		41.7	89.2				
11350-5	HIGH			7.375		6.949999999999999	83.0				
11350-5	LOW			4.625		91.0	65.5				
11350-5	MID			6.29		75.65	73.85				
11350-50	HIGH			6.92		26.4	81.9				
11350-50	LOW			0.92		90.3	68.3				
11350-50	MID			5.0		77.8	74.8				
11350-51	HIGH			8.0		11.1	86.2				
11350-51	LOW			3.58		65.25	67.65				
11350-51	MID			5.545		56.25	75.5				
11350-52	HIGH			7.83		5.550000000000001	85.65				
11350-52	LOW			3.955		66.0	70.6				
11350-52	MID			6.125		40.95	77.65				
11350-53	HIGH			8.08		0.0	86.7				
11350-53	LOW			5.795		77.8	68.30000000000001				
11350-53	MID			7.25		59.0	76.75				
11350-54	HIGH			8.08		0.0	87.1				
11350-54	LOW			4.42		56.9	76.7				
11350-54	MID			5.5		15.3	81.8				
11350-55	HIGH			7.08		36.1	81.2				
11350-55	LOW			4.75		65.3	69.1				
11350-55	MID			6.33		58.3	74.8				
11350-56	HIGH			8.08		0.0	88.3				
11350-56	LOW			6.67		69.4	73.3				
11350-56	MID			7.5		34.7	80.2				
11350-57	HIGH			6.08		50.0	91.6				
11350-57	LOW			5.92		50.0	87.2				
11350-57	MID			6.0		50.0	89.3				
11350-59	HIGH			6.79		50.0	77.55000000000001				
11350-59	LOW			5.0		70.85	69.94999999999999				
11350-59	MID			5.625		63.2	73.65				
11350-6	HIGH			8.0		27.8	114.9				
11350-6	LOW			3.5		63.9	89.8				
11350-6	MID			5.17		59.7	97.7				
11350-60	HIGH			7.58		37.5	105.5				
11350-60	LOW			3.83		65.3	91.0				
11350-60	MID			5.17		51.4	96.5				
11350-61	HIGH			7.33		31.9	112.8				
11350-61	LOW			6.58		62.5	85.8				
11350-61	MID			6.58		59.7	95.7				
11350-62	HIGH			7.75		43.1	102.3				
11350-62	LOW			3.67		77.8	66.6				
11350-62	MID			4.83		70.8	77.2				
11350-63	HIGH			8.08		2.8	91.5				
11350-63	LOW			6.875		31.9	83.8				
11350-63	MID			7.085		15.95	87.05000000000001				
11350-64	HIGH			5.08		19.4	84.4				
11350-64	LOW			4.5		41.7	77.7				
11350-64	MID			4.5		30.6	80.5				
11350-65	HIGH			7.67		73.6	75.1				
11350-65	LOW			5.5		80.6	65.9				
11350-65	MID			7.25		80.6	70.3				
