apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11110-2334	HIGH			5.25		75.0	66.6				
11110-2334	LOW			1.5		91.7	48.7				
11110-2334	MID			2.92		83.3	57.6				
11110-2336	HIGH			0.0		95.8	53.6				
11110-2336	LOW			0.0		100.0	29.6				
11110-2336	MID			0.0		100.0	38.2				
11110-2339	HIGH			4.83		61.1	81.7				
11110-2339	LOW			4.5		87.5	57.5				
11110-2339	MID			4.5		86.1	65.3				
11110-2340	HIGH			7.0		51.4	75.4				
11110-2340	LOW			4.42		84.7	58.3				
11110-2340	MID			5.08		79.2	65.5				
11110-2343	HIGH			0.42		97.2	51.5				
11110-2343	LOW			0.0		100.0	22.6				
11110-2343	MID			0.0		100.0	30.6				
11110-2344	HIGH			0.33		80.6	54.4				
11110-2344	LOW			0.0		93.1	34.9				
11110-2344	MID			0.0		87.5	42.0				
11110-2348	HIGH			1.17		77.8	61.9				
11110-2348	LOW			0.42		90.3	39.8				
11110-2348	MID			0.42		86.1	48.0				
11110-2359	HIGH			5.42		62.5	89.0				
11110-2359	LOW			3.67		70.8	79.1				
11110-2359	MID			4.08		62.5	83.7				
11110-2366	HIGH			0.0		86.1	59.5				
11110-2366	LOW			0.0		100.0	25.2				
11110-2366	MID			0.0		100.0	35.5				
11110-2368	HIGH			8.0		30.6	92.1				
11110-2368	LOW			7.5		50.0	73.3				
11110-2368	MID			7.83		36.1	79.4				
11110-2411	HIGH			4.92		55.6	73.3				
11110-2411	LOW			3.33		73.6	61.3				
11110-2411	MID			4.75		59.7	65.8				
11110-2417	HIGH			4.25		68.1	85.6				
11110-2417	LOW			0.67		86.1	65.1				
11110-2417	MID			1.92		75.0	73.9				
11110-2440	HIGH			8.08		13.9	91.0				
11110-2440	LOW			5.75		58.3	80.6				
11110-2440	MID			6.92		44.4	84.9				
11110-2445	HIGH			6.375		36.1	92.65				
11110-2445	LOW			3.33		66.0	64.35				
11110-2445	MID			4.25		59.7	72.75				
11110-2446	HIGH			5.125		36.1	86.35				
11110-2446	LOW			3.415		60.4	73.15				
11110-2446	MID			3.875		55.6	78.4				
11110-2450	HIGH			6.33		43.1	82.1				
11110-2450	LOW			5.58		63.9	77.9				
11110-2450	MID			6.0		52.8	80.0				
11110-2464	HIGH			5.75		13.9	107.2				
11110-2464	LOW			5.5		51.4	74.7				
11110-2464	MID			5.58		30.6	88.6				
11110-25	HIGH			7.75		13.9	147.7				
11110-25	LOW			5.92		41.7	122.8				
11110-25	MID			6.58		19.4	141.7				
11110-2502	HIGH			8.08		0.0	165.9				
11110-2502	LOW			8.08		0.0	165.8				
11110-2502	MID			8.08		0.0	165.8				
11110-2519	HIGH			6.375		36.1	94.9				
11110-2519	LOW			5.17		56.95	81.95				
11110-2519	MID			5.17		47.9	86.5				
11110-2539	HIGH			5.08		50.0	75.1				
11110-2539	LOW			4.08		75.0	57.1				
11110-2539	MID			4.25		69.4	64.8				
11110-2561	HIGH			7.915		6.25	101.75				
11110-2561	LOW			7.085		46.55	90.0				
11110-2561	MID			7.21		27.8	94.4				
11110-2584	HIGH			8.08		8.3	104.3				
11110-2584	LOW			7.42		30.6	95.5				
11110-2584	MID			7.75		19.4	99.9				
11110-26	HIGH			7.25		22.2	124.2				
11110-26	LOW			4.92		30.6	119.0				
11110-26	MID			6.92		30.6	120.5				
11110-2663	HIGH			7.665		14.55	125.1				
11110-2663	LOW			5.165		68.05	85.44999999999999				
11110-2663	MID			5.96		53.5	93.45				
11110-2703	HIGH			7.58		61.1	76.0				
11110-2703	LOW			5.17		83.3	63.8				
11110-2703	MID			6.83		76.4	69.3				
11110-2704	HIGH			7.75		15.3	86.5				
11110-2704	LOW			7.67		43.1	82.5				
11110-2704	MID			7.75		31.9	84.6				
11110-2708	HIGH			1.17		81.9	55.4				
11110-2708	LOW			0.42		90.3	33.4				
11110-2708	MID			0.92		90.3	39.9				
11110-30	HIGH			3.33		84.7	64.0				
11110-30	LOW			3.33		87.5	59.8				
11110-30	MID			3.33		86.1	61.2				
11110-31	HIGH			8.0		2.8	100.1				
11110-31	LOW			7.92		16.7	96.9				
11110-31	MID			8.0		9.7	97.8				
11110-32	HIGH			6.42		37.5	87.2				
11110-32	LOW			5.75		41.7	84.0				
11110-32	MID			6.0		40.3	85.0				
11110-34	HIGH			7.58		22.2	113.6				
11110-34	LOW			5.58		47.2	81.5				
11110-34	MID			5.58		41.7	91.0				
11110-3414	HIGH			3.5		54.2	75.4				
11110-3414	LOW			1.58		79.2	52.5				
11110-3414	MID			1.92		65.3	59.3				
11110-37	HIGH			8.08		4.2	89.5				
11110-37	LOW			3.25		73.6	74.5				
11110-37	MID			5.83		52.8	81.5				
11110-42	HIGH			8.08		0.0	123.6				
11110-42	LOW			5.33		11.1	92.9				
11110-42	MID			6.92		11.1	95.9				
11110-45	HIGH			8.08		0.0	92.9				
11110-45	LOW			7.92		15.3	91.2				
11110-45	MID			8.0		12.5	92.0				
11110-47	HIGH			7.83		43.1	84.7				
11110-47	LOW			7.58		43.1	80.6				
11110-47	MID			7.67		43.1	82.2				
11110-48	HIGH			4.83		56.9	82.0				
11110-48	LOW			3.83		66.7	78.0				
11110-48	MID			4.33		56.9	79.6				
11110-51	HIGH			2.67		58.3	79.6				
11110-51	LOW			2.67		68.1	64.4				
11110-51	MID			2.67		66.7	69.1				
11110-52	HIGH			5.375		43.75	95.85				
11110-52	LOW			2.665		54.85	87.5				
11110-52	MID			3.79		45.8	91.1				
11110-68	HIGH			8.08		0.0	171.1				
11110-68	LOW			8.08		0.0	171.0				
11110-68	MID			8.08		0.0	171.1				
11110-7	HIGH			8.08		0.0	160.8				
11110-7	LOW			8.08		0.0	154.4				
11110-7	MID			8.08		0.0	154.5				
11110-71	HIGH			8.08		0.0	164.4				
11110-71	LOW			8.08		26.4	145.0				
11110-71	MID			8.08		23.6	147.8				
11110-73	HIGH			8.08		0.0	175.6				
11110-73	LOW			7.955		2.8	170.45				
11110-73	MID			8.08		0.0	170.85				
11110-80	HIGH			8.08		0.0	173.6				
11110-80	LOW			8.08		0.0	173.6				
11110-80	MID			8.08		0.0	173.6				
11110-90	HIGH			7.83		22.2	100.85				
11110-90	LOW			4.46		65.25	78.5				
11110-90	MID			5.0		55.6	86.25				
11110-91	HIGH			7.5		0.0	95.5				
11110-91	LOW			2.67		58.3	78.9				
11110-91	MID			5.92		54.2	85.2				
11110-92	HIGH			8.08		23.6	112.9				
11110-92	LOW			8.08		40.3	107.9				
11110-92	MID			8.08		36.1	110.3				
11140-1000	HIGH			4.5		29.2	107.5				
11140-1000	LOW			2.75		75.0	54.7				
11140-1000	MID			3.92		55.6	65.9				
11140-1010	HIGH			5.42		66.7	69.4				
11140-1010	LOW			2.5		93.1	56.1				
11140-1010	MID			3.83		80.6	62.5				
11140-1012	HIGH			7.42		19.4	88.9				
11140-1012	LOW			2.67		81.9	66.6				
11140-1012	MID			5.75		45.8	74.3				
11140-1026	HIGH			6.0		43.05	81.2				
11140-1026	LOW			3.295		70.15	63.05				
11140-1026	MID			4.295		61.8	69.75				
11140-1039	HIGH			8.08		31.950000000000003	113.65				
11140-1039	LOW			6.25		84.75	61.7				
11140-1039	MID			7.375		42.35	79.85				
11140-1053	HIGH			8.0		4.2	92.2				
11140-1053	LOW			7.92		30.6	87.5				
11140-1053	MID			8.0		18.1	89.9				
11140-1097	HIGH			6.92		13.9	123.4				
11140-1097	LOW			6.33		61.1	76.2				
11140-1097	MID			6.92		19.4	97.5				
11140-1099	HIGH			6.08		40.3	96.3				
11140-1099	LOW			5.58		62.5	80.1				
11140-1099	MID			5.58		55.6	89.9				
11140-1106	HIGH			6.58		38.9	85.2				
11140-1106	LOW			2.75		79.2	59.6				
11140-1106	MID			5.08		65.3	67.2				
11140-1119	HIGH			8.08		20.8	117.4				
11140-1119	LOW			7.5		37.5	99.8				
11140-1119	MID			7.92		37.5	108.2				
11140-1123	HIGH			8.08		26.4	115.4				
11140-1123	LOW			5.83		51.4	94.6				
11140-1123	MID			6.42		38.9	103.4				
11140-1124	HIGH			6.17		44.4	83.5				
11140-1124	LOW			2.58		94.4	61.7				
11140-1124	MID			3.42		73.6	72.9				
11140-1131	HIGH			7.25		38.9	103.7				
11140-1131	LOW			6.75		58.3	93.8				
11140-1131	MID			6.75		52.8	96.8				
