aptSeq	apt_name	umd_name	jibun	road_nm	road_bon	road_bub	build_year	n_trades	addr_road	addr_jibun	lon	lat	geocode_source	cluster_id	n_dong	cluster_year
11680-15	신사동씨티빌	신사동	523-4	강남대로162길	00027	00026	2002.0	1	서울 강남구 강남대로162길 27-26	서울 강남구 신사동 523-4	127.020677682939	37.5210462547671	road	49.0	1.0	2008.0
11680-158	논현베르빌	논현동	214-2	학동로30길	00021	00000	2002.0	3	서울 강남구 학동로30길 21	서울 강남구 논현동 214-2	127.03279727648	37.5127654513792	road	124.0	1.0	2002.0
11680-160	논현한가람빌라트	논현동	105-3	도산대로50길	00054	00000	2002.0	1	서울 강남구 도산대로50길 54	서울 강남구 논현동 105-3	127.037505945479	37.518761220597	road	130.0	16.0	1986.0
11680-161	우민	논현동	107-44	언주로136길	00021	00000	2002.0	4	서울 강남구 언주로136길 21	서울 강남구 논현동 107-44	127.03738750871	37.5178497131317	road	130.0	16.0	1986.0
11680-164	테크노빌라트	논현동	271-6	선릉로111길	00038	00016	2002.0	1	서울 강남구 선릉로111길 38-16	서울 강남구 논현동 271-6	127.040213912386	37.511241182858	road	162.0	4.0	2014.0
11680-168	삼성동롯데아파트	삼성동	17	학동로	00432	00000	2000.0	9	서울 강남구 학동로 432	서울 강남구 삼성동 17	127.048697131099	37.5182040108372	road	167.0	93.0	2007.0
11680-172	강변삼부아파트	삼성동	99-12	봉은사로113길	00025	00000	2000.0	4	서울 강남구 봉은사로113길 25	서울 강남구 삼성동 99-12	127.065557711337	37.5170723048327	road	247.0	27.0	2005.0
11680-177	서광아파트	삼성동	2	선릉로130길	00019	00000	1998.0	11	서울 강남구 선릉로130길 19	서울 강남구 삼성동 2	127.042937103599	37.5170321477204	road	167.0	93.0	2007.0
11680-178	석탑아파트101동	삼성동	3-3	학동로	00412	00000	1996.0	2	서울 강남구 학동로 412	서울 강남구 삼성동 3-3	127.044965038614	37.51741540077	road	167.0	93.0	2007.0
11680-179	세방타운하우스	삼성동	64-7	삼성로120길	00021	00000	1998.0	1	서울 강남구 삼성로120길 21	서울 강남구 삼성동 64-7	127.052944962847	37.517487417186	road	209.0	3.0	1984.0
11680-18	알파임하우스1	신사동	649-5	언주로164길	00020	00000	2002.0	3	서울 강남구 언주로164길 20	서울 강남구 신사동 649-5	127.035152314718	37.5253009717156	road	135.0	1.0	2002.0
11680-180	삼성파크	삼성동	126	삼성로99길	00014	00000	2001.0	3	서울 강남구 삼성로99길 14	서울 강남구 삼성동 126	127.053570300116	37.5093032260179	road	203.0	11.0	2005.0
11680-187	진흥아파트	삼성동	53-2	학동로88길	00005	00000	1984.0	8	서울 강남구 학동로88길 5	서울 강남구 삼성동 53-2	127.052194167171	37.5187223060133	road	209.0	3.0	1984.0
11680-189	청구아파트	삼성동	78-4	영동대로128길	00005	00000	1992.0	3	서울 강남구 영동대로128길 5	서울 강남구 삼성동 78-4	127.058156132905	37.520148872145	road	227.0	8.0	2023.0
11680-190	푸른솔아파트1동	삼성동	4-3	학동로	00420	00000	1996.0	1	서울 강남구 학동로 420	서울 강남구 삼성동 4-3	127.046054815285	37.517813134256	road	167.0	93.0	2007.0
11680-191	풍림(1차)	삼성동	106	영동대로112길	00015	00000	1998.0	10	서울 강남구 영동대로112길 15	서울 강남구 삼성동 106	127.061858870437	37.5156029612101	road	247.0	27.0	2005.0
11680-192	삼성풍림2차아파트	삼성동	104	봉은사로105길	00012	00007	1998.0	1	서울 강남구 봉은사로105길 12-7	서울 강남구 삼성동 104	127.06244887977	37.5160235996074	road	247.0	27.0	2005.0
11680-193	풍림	삼성동	129-20	테헤란로77길	00022	00000	1997.0	1	서울 강남구 테헤란로77길 22	서울 강남구 삼성동 129-20	127.054316533577	37.5080208456519	road	203.0	11.0	2005.0
11680-194	삼성동한솔아파트	삼성동	4-6	학동로64길	00007	00000	1998.0	11	서울 강남구 학동로64길 7	서울 강남구 삼성동 4-6	127.045436419638	37.517646688144	road	167.0	93.0	2007.0
11680-195	한일	삼성동	48	봉은사로73길	00023	00000	2001.0	10	서울 강남구 봉은사로73길 23	서울 강남구 삼성동 48	127.049973533688	37.5139474971867	road	205.0	16.0	2008.0
11680-197	현대아파트101동	삼성동	6	학동로64길	00014	00000	1999.0	2	서울 강남구 학동로64길 14	서울 강남구 삼성동 6	127.044423026678	37.5167185896008	road	167.0	93.0	2007.0
11680-2	압구정대원칸타빌아파트	신사동	659	압구정로48길	00015	00000	2001.0	6	서울 강남구 압구정로48길 15	서울 강남구 신사동 659	127.037181017018	37.5275431247454	road	137.0	3.0	2001.0
11680-20	미성2차	압구정동	397	압구정로	00113	00000	1987.0	8	서울 강남구 압구정로 113	서울 강남구 압구정동 397	127.018267084178	37.524367117229	road	50.0	11.0	1987.0
11680-205	대치삼성	대치동	1014-3	도곡로78길	00022	00000	2000.0	19	서울 강남구 도곡로78길 22	서울 강남구 대치동 1014-3	127.0588476129	37.4966357303128	road	218.0	43.0	2015.0
11680-206	대치현대	대치동	974	삼성로64길	00005	00000	1999.0	13	서울 강남구 삼성로64길 5	서울 강남구 대치동 974	127.060513822972	37.5004474963781	road	242.0	38.0	2021.0
11680-207	대치효성	대치동	988-4	삼성로64길	00012	00000	1999.0	1	서울 강남구 삼성로64길 12	서울 강남구 대치동 988-4	127.06117530222	37.4999104264275	road	242.0	38.0	2021.0
11680-21	한양6	압구정동	484	압구정로	00313	00000	1980.0	4	서울 강남구 압구정로 313	서울 강남구 압구정동 484	127.03599584345	37.5298739327833	road	138.0	38.0	1978.0
11680-211	선경1차(1동-7동)	대치동	506	삼성로	00151	00000	1983.0	7	서울 강남구 삼성로 151	서울 강남구 대치동 506	127.062999980103	37.493154981993	road	239.0	7.0	1983.0
11680-212	선경3차	대치동	602	남부순환로395길	00010	00000	1990.0	5	서울 강남구 남부순환로395길 10	서울 강남구 대치동 602	127.060909637101	37.4941797122137	road	218.0	43.0	2015.0
11680-213	세영팔레스타운	대치동	975-20	영동대로65길	00057	00000	2002.0	2	서울 강남구 영동대로65길 57	서울 강남구 대치동 975-20	127.062122466182	37.5007773305534	road	242.0	38.0	2021.0
11680-214	쌍용대치2	대치동	65	영동대로	00220	00000	1983.0	4	서울 강남구 영동대로 220	서울 강남구 대치동 65	127.070627671886	37.4999239843615	road	263.0	10.0	1984.0
11680-216	개포우성2	대치동	500	선릉로	00120	00000	1984.0	6	서울 강남구 선릉로 120	서울 강남구 대치동 500	127.057979748729	37.4915930435874	road	217.0	4.0	1983.5
11680-217	대치우성아파트1동,2동,3동,5동,6동,7동	대치동	63	영동대로	00230	00000	1984.0	11	서울 강남구 영동대로 230	서울 강남구 대치동 63	127.068471209933	37.5009601493207	road	263.0	10.0	1984.0
11680-218	은마	대치동	316	삼성로	00212	00000	1979.0	42	서울 강남구 삼성로 212	서울 강남구 대치동 316	127.065915414443	37.4996157705058	road	240.0	29.0	1979.0
11680-222	한보미도맨션1	대치동	511	삼성로	00150	00000	1983.0	20	서울 강남구 삼성로 150	서울 강남구 대치동 511	127.068564672209	37.4956953356085	road	261.0	2.0	1985.0
11680-225	현대1	대치동	992	영동대로57길	00028	00000	1990.0	10	서울 강남구 영동대로57길 28	서울 강남구 대치동 992	127.065316086082	37.4999253286579	road	240.0	29.0	1979.0
11680-228	롯데캐슬	대치동	893	삼성로85길	00011	00000	2002.0	4	서울 강남구 삼성로85길 11	서울 강남구 대치동 893	127.056186481052	37.5045993053356	road	223.0	7.0	2004.0
11680-233	거평빌라트	역삼동	794-28	도곡로17길	00012	00000	1996.0	1	서울 강남구 도곡로17길 12	서울 강남구 역삼동 794-28	127.037531200857	37.4921626368811	road	148.0	2.0	2008.5
11680-236	대림역삼	역삼동	761-10	언주로	00316	00000	1997.0	5	서울 강남구 언주로 316	서울 강남구 역삼동 761-10	127.046284915927	37.496232263246	road	154.0	108.0	2006.0
11680-24	구산	청담동	128-1	도산대로101길	00034	00000	1993.0	1	서울 강남구 도산대로101길 34	서울 강남구 청담동 128-1	127.053906620413	37.5266882014069	road	190.0	41.0	1999.0
11680-249	한화진넥스빌	역삼동	706-20	언주로86길	00011	00000	2001.0	13	서울 강남구 언주로86길 11	서울 강남구 역삼동 706-20	127.044267604323	37.5019668595977	road	154.0	108.0	2006.0
11680-25	골든아트빌	청담동	28-13	삼성로135길	00028	00000	2000.0	1	서울 강남구 삼성로135길 28	서울 강남구 청담동 28-13	127.047028261189	37.5199209178755	road	167.0	93.0	2007.0
11680-251	한스빌(836)	역삼동	836	도곡로3길	00026	00000	1996.0	7	서울 강남구 도곡로3길 26	서울 강남구 역삼동 836	127.032955994209	37.4919829893777	road	88.0	15.0	2006.0
11680-252	현대까르띠에710	역삼동	710	언주로86길	00012	00000	2001.0	5	서울 강남구 언주로86길 12	서울 강남구 역삼동 710	127.044956522424	37.5017083711733	road	154.0	108.0	2006.0
11680-259	현대휴먼터치빌	역삼동	606-18	논현로	00565	00000	1999.0	2	서울 강남구 논현로 565	서울 강남구 역삼동 606-18	127.033785182489	37.5065208505908	road	120.0	4.0	2012.0
11680-260	풍림지오빌	역삼동	635-5	테헤란로5길	00036	00000	2002.0	1	서울 강남구 테헤란로5길 36	서울 강남구 역삼동 635-5	127.029069791037	37.500852167416	road			
11680-266	로얄빌리지	역삼동	644-6	테헤란로21길	00018	00000	2002.0	1	서울 강남구 테헤란로21길 18	서울 강남구 역삼동 644-6	127.034532736226	37.5015369028773	road			
11680-267	역삼동하나빌	역삼동	681-26	봉은사로	00312	00000	2002.0	4	서울 강남구 봉은사로 312	서울 강남구 역삼동 681-26	127.04129206423	37.5092242727112	road	161.0	4.0	2011.0
11680-269	세방하이빌1	역삼동	771-4	역삼로	00240	00000	2003.0	3	서울 강남구 역삼로 240	서울 강남구 역삼동 771-4	127.042803926344	37.4973509140032	road	153.0	8.0	2003.0
11680-274	트레벨	역삼동	766-8	도곡로57길	00009	00007	2002.0	4	서울 강남구 도곡로57길 9-7	서울 강남구 역삼동 766-8	127.050404610923	37.4961346201522	road	154.0	108.0	2006.0
11680-275	대우디오빌	역삼동	720-25	언주로	00427	00000	2002.0	36	서울 강남구 언주로 427	서울 강남구 역삼동 720-25	127.042690475293	37.5014764820153	road	154.0	108.0	2006.0
11680-276	경남아너스빌	역삼동	722	언주로85길	00013	00000	2002.0	8	서울 강남구 언주로85길 13	서울 강남구 역삼동 722	127.042381786191	37.5005673881078	road	154.0	108.0	2006.0
11680-277	경남1	개포동	649	언주로	00110	00000	1984.0	5	서울 강남구 언주로 110	서울 강남구 개포동 649	127.054710026842	37.4854059409863	road	195.0	121.0	2019.0
11680-278	경남2차	개포동	649	언주로	00110	00000	1984.0	1	서울 강남구 언주로 110	서울 강남구 개포동 649	127.054710026842	37.4854059409863	road	195.0	121.0	2019.0
11680-279	삼익대청아파트	개포동	12	개포로109길	00021	00000	1992.0	31	서울 강남구 개포로109길 21	서울 강남구 개포동 12	127.077191033018	37.4956264931259	road	277.0	29.0	1992.0
11680-280	성원대치2단지아파트	개포동	12	개포로109길	00009	00000	1992.0	79	서울 강남구 개포로109길 9	서울 강남구 개포동 12	127.075101271591	37.4957518185981	road	277.0	29.0	1992.0
11680-283	개포우성3차	개포동	652	개포로	00307	00000	1984.0	3	서울 강남구 개포로 307	서울 강남구 개포동 652	127.056092038196	37.4846310565134	road	195.0	121.0	2019.0
11680-285	우성8	개포동	179	개포로	00411	00000	1987.0	3	서울 강남구 개포로 411	서울 강남구 개포동 179	127.062319621466	37.4885748916117	road	237.0	10.0	1986.5
11680-290	개포주공6단지	개포동	185	개포로	00516	00000	1983.0	16	서울 강남구 개포로 516	서울 강남구 개포동 185	127.070871480537	37.4891406792843	road	258.0	16.0	1983.0
11680-292	현대1차101동~106동	개포동	653	개포로	00303	00000	1984.0	9	서울 강남구 개포로 303	서울 강남구 개포동 653	127.054393140278	37.4832803381496	road	195.0	121.0	2019.0
11680-293	현대2	개포동	654	언주로	00107	00000	1986.0	7	서울 강남구 언주로 107	서울 강남구 개포동 654	127.0519554575	37.4835863365345	road	194.0	56.0	2020.0
11680-294	현대아파트3	개포동	177	개포로	00409	00000	1986.0	2	서울 강남구 개포로 409	서울 강남구 개포동 177	127.061169470744	37.4883239313325	road	237.0	10.0	1986.5
11680-298	개포현대6차	개포동	1242-2	개포로15길	00032	00008	1993.0	1	서울 강남구 개포로15길 32-8	서울 강남구 개포동 1242-2	127.045994391496	37.4797992543532	road			
11680-299	가람	일원동	735	일원로	00127	00000	1993.0	5	서울 강남구 일원로 127	서울 강남구 일원동 735	127.085383839812	37.4831592916235	road	273.0	67.0	1993.0
11680-3	로데오현대	신사동	658	압구정로50길	00028	00000	1998.0	10	서울 강남구 압구정로50길 28	서울 강남구 신사동 658	127.037303318538	37.5266478506594	road	137.0	3.0	2001.0
11680-30	목화	청담동	105-6	도산대로85길	00053	00000	1995.0	2	서울 강남구 도산대로85길 53	서울 강남구 청담동 105-6	127.04990289151	37.5281231846199	road	190.0	41.0	1999.0
11680-301	목련타운	일원동	716	광평로19길	00015	00000	1993.0	6	서울 강남구 광평로19길 15	서울 강남구 일원동 716	127.084797907539	37.485530536641	road	287.0	47.0	1994.0
11680-302	삼성	일원동	626	개포로124길	00027	00000	1986.0	2	서울 강남구 개포로124길 27	서울 강남구 일원동 626	127.083543364194	37.4932977545865	road	295.0	4.0	1986.0
11680-303	상록수	일원동	734	광평로10길	00015	00000	1993.0	9	서울 강남구 광평로10길 15	서울 강남구 일원동 734	127.083445404216	37.482899384108	road	273.0	67.0	1993.0
11680-304	샘터마을	일원동	718	일원로	00120	00000	1994.0	10	서울 강남구 일원로 120	서울 강남구 일원동 718	127.082672775781	37.4852019134102	road	287.0	47.0	1994.0
11680-305	수서	일원동	711	양재대로55길	00012	00000	1992.0	27	서울 강남구 양재대로55길 12	서울 강남구 일원동 711	127.089707610517	37.4936295805412	road	313.0	21.0	1992.0
11680-306	우성7	일원동	615	개포로110길	00015	00000	1987.0	5	서울 강남구 개포로110길 15	서울 강남구 일원동 615	127.079114775367	37.4932437695434	road	275.0	36.0	1987.0
11680-308	푸른마을아파트101동~111동	일원동	719	일원로14길	00025	00000	1994.0	32	서울 강남구 일원로14길 25	서울 강남구 일원동 719	127.080874756987	37.484761123247	road	287.0	47.0	1994.0
11680-309	한솔마을	일원동	731	광평로10길	00006	00000	1994.0	13	서울 강남구 광평로10길 6	서울 강남구 일원동 731	127.076537962414	37.4826441196652	road	273.0	67.0	1993.0
11680-310	개포한신	일원동	615-1	개포로110길	00043	00000	1984.0	9	서울 강남구 개포로110길 43	서울 강남구 일원동 615-1	127.079681552221	37.4915621995587	road	275.0	36.0	1987.0
11680-311	현대4	일원동	614	개포로110길	00021	00000	1987.0	4	서울 강남구 개포로110길 21	서울 강남구 일원동 614	127.07732395408	37.490957027851	road	275.0	36.0	1987.0
11680-314	까치마을	수서동	746	광평로19길	00010	00000	1993.0	92	서울 강남구 광평로19길 10	서울 강남구 수서동 746	127.086601738647	37.485485349127	road	287.0	47.0	1994.0
11680-315	동익	수서동	738	광평로39길	00003	00000	1993.0	4	서울 강남구 광평로39길 3	서울 강남구 수서동 738	127.097263256365	37.4857662768639	road	324.0	12.0	1992.0
11680-316	삼성	수서동	747	광평로31길	00027	00000	1997.0	11	서울 강남구 광평로31길 27	서울 강남구 수서동 747	127.089778957788	37.484837855733	road	287.0	47.0	1994.0
11680-317	삼익	수서동	708	광평로51길	00027	00000	1992.0	20	서울 강남구 광평로51길 27	서울 강남구 수서동 708	127.100730117136	37.4896147291453	road	340.0	36.0	1992.0
11680-3176	학동	논현동	217-34	논현로124길	00028	00000	2005.0	1	서울 강남구 논현로124길 28	서울 강남구 논현동 217-34	127.0338146219	37.5126127146173	road	126.0	1.0	2007.0
11680-318	수서한아름	수서동	712	광평로51길	00022	00000	1993.0	7	서울 강남구 광평로51길 22	서울 강남구 수서동 712	127.103957177072	37.4902172303572	road	340.0	36.0	1992.0
11680-319	신동아	수서동	736	광평로47길	00017	00000	1992.0	46	서울 강남구 광평로47길 17	서울 강남구 수서동 736	127.098186321626	37.4879086504963	road	324.0	12.0	1992.0
11680-32	청담동삼성1차(101동)	청담동	33	삼성로133길	00020	00000	1997.0	3	서울 강남구 삼성로133길 20	서울 강남구 청담동 33	127.047832809734	37.5194542356183	road	167.0	93.0	2007.0
11680-320	경남	도곡동	967	논현로	00209	00000	2005.0	4	서울 강남구 논현로 209	서울 강남구 도곡동 967	127.041198352091	37.4891441210876	road	106.0	46.0	1995.0
11680-322	대림	도곡동	960	논현로41길	00010	00000	1992.0	1	서울 강남구 논현로41길 10	서울 강남구 도곡동 960	127.039371908356	37.4866129116061	road	106.0	46.0	1995.0
11680-323	대림아크로빌	도곡동	467-6	언주로30길	00013	00000	1999.0	6	서울 강남구 언주로30길 13	서울 강남구 도곡동 467-6	127.050686658826	37.4881276085659	road	196.0	8.0	1999.0
11680-327	럭키(963)	도곡동	963	논현로	00213	00000	1995.0	21	서울 강남구 논현로 213	서울 강남구 도곡동 963	127.040954182934	37.4915488149067	road	106.0	46.0	1995.0
11680-328	매봉삼성	도곡동	966	언주로	00203	00000	1999.0	8	서울 강남구 언주로 203	서울 강남구 도곡동 966	127.048827759811	37.4891697762307	road	177.0	3.0	2002.0
11680-33	삼성청담아파트	청담동	42	학동로	00405	00000	1999.0	5	서울 강남구 학동로 405	서울 강남구 청담동 42	127.04223600519	37.5178177150652	road	167.0	93.0	2007.0
11680-330	삼성	도곡동	161	남부순환로379길	00014	00000	1994.0	3	서울 강남구 남부순환로379길 14	서울 강남구 도곡동 161	127.046311637478	37.4893275646597	road	146.0	12.0	1994.0
11680-331	삼성래미안	도곡동	91-5	남부순환로	02803	00000	2001.0	9	서울 강남구 남부순환로 2803	서울 강남구 도곡동 91-5	127.050628550219	37.4898181942659	jibun	178.0	10.0	2001.0
11680-332	삼익	도곡동	869	논현로	00218	00000	1983.0	3	서울 강남구 논현로 218	서울 강남구 도곡동 869	127.042160561585	37.4912791695502	road	147.0	7.0	2007.0
11680-337	우성4	도곡동	465	언주로	00117	00000	1985.0	3	서울 강남구 언주로 117	서울 강남구 도곡동 465	127.050396079152	37.4864661840624	road	176.0	24.0	1985.0
11680-338	우성사원5	도곡동	463-1	언주로29길	00034	00000	1986.0	4	서울 강남구 언주로29길 34	서울 강남구 도곡동 463-1	127.047594324939	37.486268493442	road	176.0	24.0	1985.0
11680-339	도곡우성아파트	도곡동	934-10	남부순환로363길	00049	00000	1986.0	3	서울 강남구 남부순환로363길 49	서울 강남구 도곡동 934-10	127.037169086447	37.4879756789698	road	106.0	46.0	1995.0
11680-34	삼성청담공원아파트	청담동	60	도산대로96길	00039	00000	1999.0	8	서울 강남구 도산대로96길 39	서울 강남구 청담동 60	127.050463180352	37.5230042633715	road	187.0	21.0	2003.0
11680-340	우성캐릭터199	도곡동	467-24	언주로	00118	00000	1998.0	3	서울 강남구 언주로 118	서울 강남구 도곡동 467-24	127.051843550843	37.4868987624516	road	196.0	8.0	1999.0
11680-344	중명하니빌	도곡동	965	남부순환로365길	00005	00000	1997.0	3	서울 강남구 남부순환로365길 5	서울 강남구 도곡동 965	127.038984502447	37.4859023248252	road	106.0	46.0	1995.0
11680-348	포스코트	도곡동	164-6	남부순환로381길	00015	00000	2002.0	3	서울 강남구 남부순환로381길 15	서울 강남구 도곡동 164-6	127.047665600395	37.487936320647	road	177.0	3.0	2002.0
11680-349	한신(개포)	도곡동	464	언주로	00123	00000	1985.0	19	서울 강남구 언주로 123	서울 강남구 도곡동 464	127.049755052514	37.4876033476735	road	176.0	24.0	1985.0
11680-350	한신엠비씨	도곡동	895-8	논현로	00205	00000	1988.0	6	서울 강남구 논현로 205	서울 강남구 도곡동 895-8	127.040618203989	37.487947873686	road	106.0	46.0	1995.0
11680-351	현대아파트1동~3동	도곡동	961	도곡로18길	00035	00000	1994.0	2	서울 강남구 도곡로18길 35	서울 강남구 도곡동 961	127.039009100155	37.4892830788045	road	106.0	46.0	1995.0
11680-352	현대그린1	도곡동	964	논현로51길	00025	00000	2006.0	5	서울 강남구 논현로51길 25	서울 강남구 도곡동 964	127.039533410678	37.4890474712049	road	106.0	46.0	1995.0
11680-354	현대비젼21	도곡동	467-19	언주로30길	00010	00000	1999.0	13	서울 강남구 언주로30길 10	서울 강남구 도곡동 467-19	127.05155394203	37.4873386711834	road	196.0	8.0	1999.0
11680-355	도곡현대힐스테이트103동	도곡동	183-8	남부순환로379길	00019	00000	1996.0	2	서울 강남구 남부순환로379길 19	서울 강남구 도곡동 183-8	127.045609052035	37.487927581772	road	146.0	12.0	1994.0
11680-3559	선경2차(8동-12동)	대치동	506	삼성로	00151	00000	1985.0	5	서울 강남구 삼성로 151	서울 강남구 대치동 506	127.062999980103	37.493154981993	road	239.0	7.0	1983.0
11680-3570	역삼동월드메르디앙	역삼동	795-41	도곡로21길	00015	00000	2005.0	1	서울 강남구 도곡로21길 15	서울 강남구 역삼동 795-41	127.038718694165	37.4927234910716	road	148.0	2.0	2008.5
11680-3574	휴먼스타빌	청담동	5-25	도산대로	00454	00000	2005.0	1	서울 강남구 도산대로 454	서울 강남구 청담동 5-25	127.046056275002	37.5236847892354	road	188.0	1.0	2005.0
11680-3578	대우멤버스카운티301	삼성동	33-24	봉은사로57길	00033	00000	2005.0	1	서울 강남구 봉은사로57길 33	서울 강남구 삼성동 33-24	127.044321882918	37.5128609798545	road	166.0	4.0	
11680-3583	삼성웰피아	삼성동	130-2	테헤란로77길	00031	00000	2005.0	1	서울 강남구 테헤란로77길 31	서울 강남구 삼성동 130-2	127.053657215622	37.5084276803336	road	203.0	11.0	2005.0
11680-3592	e-편한세상	논현동	195-1	봉은사로11길	00012	00000	2005.0	5	서울 강남구 봉은사로11길 12	서울 강남구 논현동 195-1	127.029135069693	37.5067377896607	road	94.0	6.0	2005.0
11680-3600	파크힐	도곡동	550-1	도곡로14길	00014	00001	2005.0	4	서울 강남구 도곡로14길 14-1	서울 강남구 도곡동 550-1	127.037027984474	37.4898310784833	road	106.0	46.0	1995.0
11680-3621	역삼래미안	역삼동	757	선릉로69길	00019	00000	2005.0	17	서울 강남구 선릉로69길 19	서울 강남구 역삼동 757	127.050691041401	37.4981263526043	road	154.0	108.0	2006.0
11680-3622	e-편한세상	역삼동	755-4	선릉로69길	00020	00000	2005.0	15	서울 강남구 선릉로69길 20	서울 강남구 역삼동 755-4	127.050923517096	37.498747226144	road	154.0	108.0	2006.0
11680-3623	도곡렉슬	도곡동	527	선릉로	00221	00000	2006.0	67	서울 강남구 선릉로 221	서울 강남구 도곡동 527	127.049734781209	37.4942068396456	road	179.0	44.0	2006.0
11680-3624	래미안삼성1차(105-0)	삼성동	105	영동대로114길	00056	00000	2005.0	5	서울 강남구 영동대로114길 56	서울 강남구 삼성동 105	127.064134113929	37.5166283511236	road	247.0	27.0	2005.0
11680-3626	강남한솔	역삼동	794-19	도곡로19길	00017	00000	2006.0	1	서울 강남구 도곡로19길 17	서울 강남구 역삼동 794-19	127.03780571252	37.4927538803987	road	148.0	2.0	2008.5
11680-3628	블루밍하우스	삼성동	64-4	학동로82길	00025	00000	2006.0	1	서울 강남구 학동로82길 25	서울 강남구 삼성동 64-4	127.052247311775	37.5173945641031	road	208.0	2.0	2005.0
11680-3633	청담2차이-편한세상(204동)	청담동	15	도산대로70길	00043	00000	2005.0	5	서울 강남구 도산대로70길 43	서울 강남구 청담동 15	127.04505655428	37.5206217657868	road	167.0	93.0	2007.0
11680-364	타워팰리스1	도곡동	467	언주로30길	00056	00000	2002.0	14	서울 강남구 언주로30길 56	서울 강남구 도곡동 467	127.053483219997	37.4880695220981	road	197.0	6.0	2002.0
11680-3641	삼성동롯데캐슬킹덤	삼성동	43	선릉로112길	00053	00000	2005.0	3	서울 강남구 선릉로112길 53	서울 강남구 삼성동 43	127.047692784414	37.513436129267	road	186.0	4.0	2005.0
11680-3643	역삼푸르지오	역삼동	754-1	언주로	00332	00000	2006.0	19	서울 강남구 언주로 332	서울 강남구 역삼동 754-1	127.047395413884	37.4982223264358	road	154.0	108.0	2006.0
11680-3645	삼성동신영지웰	삼성동	114-11	봉은사로	00448	00000	2005.0	2	서울 강남구 봉은사로 448	서울 강남구 삼성동 114-11	127.048835713889	37.511456156165	road	185.0	1.0	2016.0
11680-3647	SK허브프리모	도곡동	953-1	강남대로	00240	00000	2006.0	11	서울 강남구 강남대로 240	서울 강남구 도곡동 953-1	127.034429700831	37.4852596091178	road	104.0	2.0	2013.5
11680-365	타워팰리스2	도곡동	467-17	언주로30길	00057	00000	2003.0	9	서울 강남구 언주로30길 57	서울 강남구 도곡동 467-17	127.053964659634	37.4894573055974	road	215.0	2.0	2003.0
11680-3651	래미안삼성1차(103-22)	삼성동	103-22	영동대로114길	00056	00000	2006.0	3	서울 강남구 영동대로114길 56	서울 강남구 삼성동 103-22	127.064134113929	37.5166283511236	road	247.0	27.0	2005.0
11680-3660	우찬현대(1260-2)	개포동	1260-2	개포로31길	00009	00009	2006.0	2	서울 강남구 개포로31길 9-9	서울 강남구 개포동 1260-2	127.048777724877	37.479517473746	road			
11680-3665	영무예다음	삼성동	122-7	봉은사로72길	00033	00000	2006.0	1	서울 강남구 봉은사로72길 33	서울 강남구 삼성동 122-7	127.052237648763	37.5105094570158	road	204.0	2.0	2006.0
11680-3667	동양파라곤	청담동	69-18	학동로97길	00031	00000	2006.0	3	서울 강남구 학동로97길 31	서울 강남구 청담동 69-18	127.054548840417	37.5213802819212	road	229.0	2.0	2006.0
11680-3672	신성미소시티	대치동	904-10	역삼로	00451	00000	2006.0	1	서울 강남구 역삼로 451	서울 강남구 대치동 904-10	127.056405832481	37.5025707671992	road	222.0	1.0	2006.0
11680-3678	개나리푸르지오	역삼동	755-1	역삼로	00314	00000	2006.0	7	서울 강남구 역삼로 314	서울 강남구 역삼동 755-1	127.049302635975	37.4996151321623	road	154.0	108.0	2006.0
11680-3679	역삼I'PARK	역삼동	713-11	역삼로	00307	00000	2006.0	21	서울 강남구 역삼로 307	서울 강남구 역삼동 713-11	127.044876444798	37.4990489022234	road	154.0	108.0	2006.0
11680-368	삼호빌라B동	청담동	113-23	도산대로83길	00049	00000	1997.0	1	서울 강남구 도산대로83길 49	서울 강남구 청담동 113-23	127.048926625022	37.527700212364	road	190.0	41.0	1999.0
11680-3680	개나리래미안	역삼동	754	역삼로	00306	00000	2006.0	4	서울 강남구 역삼로 306	서울 강남구 역삼동 754	127.046959597261	37.4989772734253	road	154.0	108.0	2006.0
11680-3683	역삼디오슈페리움	역삼동	832-5	강남대로	00324	00000	2006.0	1	서울 강남구 강남대로 324	서울 강남구 역삼동 832-5	127.030953005686	37.4921449015471	road	88.0	15.0	2006.0
11680-3686	래미안삼성1차(201동)	삼성동	102	영동대로114길	00056	00000	2006.0	1	서울 강남구 영동대로114길 56	서울 강남구 삼성동 102	127.064134113929	37.5166283511236	road	247.0	27.0	2005.0
11680-3690	논현프라임아파트	논현동	196-4	봉은사로11길	00011	00000	2006.0	1	서울 강남구 봉은사로11길 11	서울 강남구 논현동 196-4	127.028404953937	37.5065882204399	road	94.0	6.0	2005.0
11680-3697	선릉역풍림아이원레몬	대치동	890-54	테헤란로64길	00013	00000	2006.0	1	서울 강남구 테헤란로64길 13	서울 강남구 대치동 890-54	127.0515006041	37.5041813924961	road	200.0	7.0	2004.0
11680-3698	삼환SOGOOD	대치동	938-16	도곡로	00413	00000	2006.0	1	서울 강남구 도곡로 413	서울 강남구 대치동 938-16	127.055719026391	37.4975626710697	road	219.0	1.0	2006.0
11680-3704	청담2차이-편한세상(205동)	청담동	15-21	도산대로78길	00051	00000	2006.0	1	서울 강남구 도산대로78길 51	서울 강남구 청담동 15-21	127.046196893999	37.5207560251981	road	167.0	93.0	2007.0
