model	term	coefficient_log_price	cluster_robust_se	coefficient_ci95_low	coefficient_ci95_high	p_value	price_change_pct_per_unit	price_change_pct_ci95_low	price_change_pct_ci95_high	physical_feature	interpretation
F_M3_all_physical (train only)	parking_per_hh	0.056878068	0.023519545	0.01077976	0.10297638	0.015591844	5.8526734	1.0838071	10.846522	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	miss_parking_per_hh	0.10742835	0.02874647	0.051085266	0.16377143	0.00018615713	11.341108	5.2412625	17.794504	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	sun_hours_winter	0.0059150809	0.0049591402	-0.0038048339	0.015634996	0.23296205	0.59326095	-0.37976047	1.5757862	True	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	miss_sun_hours_winter	-0.1216369	0.034333011	-0.1889296	-0.054344202	0.00039581923	-11.453018	-17.215522	-5.2893945	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	open_angle_mean	-0.00032096952	0.00077254951	-0.0018351666	0.0011932275	0.67779941	-0.032091802	-0.18334837	0.11939397	True	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	view_block_pct	0.00015849714	0.0007838522	-0.0013778532	0.0016948475	0.83975816	0.01585097	-0.13769044	0.16962845	True	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	open_span_max	-0.00053216013	0.00020436627	-0.00093271803	-0.00013160224	0.0092155438	-0.053201856	-0.093228318	-0.013159358	True	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	river_view	0.26911725	0.022809942	0.22440977	0.31382474	3.9854399e-32	30.880859	25.158377	36.864985	True	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	park_view	-0.022310128	0.018133127	-0.057851057	0.013230801	0.21856535	-2.2063097	-5.6209492	1.3318716	True	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	mountain_view	-0.11350896	0.026104944	-0.16467466	-0.062343273	1.3727273e-05	-10.730381	-15.183039	-6.0439694	True	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	miss_mountain_view	0.084228329	0.019804886	0.045410752	0.12304591	2.1101369e-05	8.7877259	4.6457606	13.093634	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	floor_band_HIGH	0.11015698	0.02367806	0.063747987	0.15656598	3.2828359e-06	11.645332	6.5823763	16.948792	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	floor_band_MID	0.027552554	0.0087970467	0.010310342	0.044794765	0.0017360621	2.7935635	1.0363677	4.58132	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202601	0.026960839	0.0089120907	0.0094931416	0.044428537	0.0024847037	2.7327571	0.95383444	4.5430264	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202512	0.025769691	0.012346503	0.0015705455	0.049968836	0.036869544	2.61046	0.15717795	5.1238335	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202511	0.073147527	0.012483646	0.048679581	0.097615472	4.6435128e-09	7.5889248	4.9883894	10.253875	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202510	0.047222053	0.011526206	0.02463069	0.069813417	4.1866624e-05	4.8354774	2.4936531	7.2308088	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202509	0.047168655	0.010340486	0.026901302	0.067436008	5.0777143e-06	4.8298795	2.7266409	6.9761801	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202508	-0.0053716412	0.015560773	-0.035870756	0.025127474	0.729941	-0.53572397	-3.5235025	2.5445829	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202507	0.039852042	0.011653739	0.017010713	0.062693372	0.00062695178	4.065679	1.7156219	6.4700322	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202506	0.037139863	0.010045462	0.017450758	0.056828967	0.00021800922	3.7838166	1.7603912	5.8474761	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202505	0.0026170071	0.011136112	-0.019209772	0.024443786	0.81420728	0.26204344	-1.902644	2.4744984	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	deal_ym_202504	-0.018605402	0.01121927	-0.040595171	0.0033843676	0.097248187	-1.8433389	-3.9782224	0.3390101	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
