osm_id	floor_band	repr_floor	n_candidates	sun_hours_winter	view_block_pct	open_angle_mean
1431826919	HIGH	10	288	6.08	34.7	84.6
1428800770	LOW	3	136	6.08	30.6	124.0
1428800770	MID	7	136	6.08	8.3	125.5
1428800770	HIGH	12	136	6.08	0.0	127.3
601252644	LOW	8	48	6.08	33.3	112.4
601252644	MID	24	48	6.08	30.6	133.8
601252644	HIGH	40	48	6.08	30.6	140.3
636223049	LOW	4	330	2.5	90.3	55.0
636223049	MID	10	330	3.42	76.4	63.4
636223049	HIGH	16	330	5.67	61.1	76.8
471694810	LOW	2	208	6.08	1.4	111.2
471694810	MID	4	208	6.08	0.0	111.6
471694810	HIGH	6	208	6.08	0.0	112.1
769718619	LOW	4	224	5.92	54.2	92.5
769718619	MID	10	224	5.92	54.2	101.3
769718619	HIGH	17	224	5.92	38.9	111.6
1428794660	LOW	2	140	4.5	45.8	96.5
1428794660	MID	5	140	4.75	45.8	99.2
1428794660	HIGH	9	140	6.08	38.9	103.5
468748456	LOW	3	270	4.33	93.1	68.3
468748456	MID	8	270	5.75	75.0	75.6
468748456	HIGH	13	270	6.08	29.2	82.5
362625961	LOW	3	228	3.5	70.8	74.9
362625961	MID	7	228	5.17	55.6	80.8
362625961	HIGH	11	228	6.08	25.0	104.5
925265512	LOW	3	286	4.0	36.1	91.9
925265512	MID	8	286	4.67	27.8	94.4
925265512	HIGH	13	286	6.08	16.7	103.2
1134966045	LOW	2	212	6.08	55.6	82.3
1134966045	MID	6	212	6.08	30.6	87.2
1134966045	HIGH	10	212	6.08	12.5	92.7
700870378	LOW	3	226	6.08	56.9	103.3
700870378	MID	8	226	6.08	43.1	111.6
700870378	HIGH	14	226	6.08	43.1	120.5
358738793	LOW	5	243	6.08	4.2	94.6
358738793	MID	14	243	6.08	0.0	118.3
358738793	HIGH	23	243	6.08	0.0	144.3
498017594	LOW	4	235	3.5	94.4	42.5
498017594	MID	10	235	3.5	88.9	45.8
498017594	HIGH	17	235	3.5	73.6	52.4
691174960	LOW	3	172	0.67	87.5	53.3
691174960	MID	9	172	0.67	87.5	62.1
691174960	HIGH	15	172	0.67	68.1	82.0
636205482	LOW	3	372	0.33	91.7	59.9
636205482	MID	9	372	4.08	75.0	67.6
636205482	HIGH	15	372	5.75	54.2	78.9
979503358	LOW	3	309	0.33	83.3	70.4
979503358	MID	7	309	5.92	81.9	78.1
979503358	HIGH	12	309	6.08	13.9	103.8
561726116	LOW	2	224	0.92	52.8	74.8
561726116	MID	6	224	1.25	52.8	80.2
561726116	HIGH	10	224	3.5	44.4	88.7
899375450	LOW	3	328	1.92	84.7	69.2
899375450	MID	8	328	4.92	66.7	77.3
899375450	HIGH	13	328	6.08	6.9	87.2
1144354116	LOW	2	225	5.25	58.3	71.4
1144354116	MID	6	225	5.25	38.9	75.7
1144354116	HIGH	10	225	5.33	29.2	81.2
469158753	LOW	3	242	3.5	61.1	79.9
469158753	MID	8	242	4.33	48.6	85.6
469158753	HIGH	13	242	6.08	9.7	94.6
878647278	LOW	2	41	6.08	31.9	105.9
878647278	MID	6	41	6.08	12.5	121.1
878647278	HIGH	10	41	6.08	0.0	129.2
701101149	LOW	2	92	3.67	54.2	103.9
701101149	MID	4	92	5.33	47.2	108.3
701101149	HIGH	6	92	6.08	30.6	113.1
1046181856	LOW	3	360	0.0	84.7	47.4
1046181856	MID	9	360	0.0	81.9	56.3
1046181856	HIGH	15	360	3.83	81.9	68.8
993724756	LOW	3	175	3.0	75.0	86.5
993724756	MID	8	175	4.25	63.9	93.6
993724756	HIGH	13	175	6.08	0.0	102.9
701115065	LOW	2	78	6.08	55.6	110.5
701115065	MID	5	78	6.08	54.2	114.0
701115065	HIGH	9	78	6.08	38.9	119.6
1229028239	LOW	2	109	3.67	58.3	97.8
1229028239	MID	5	109	3.83	36.1	110.7
1229028239	HIGH	8	109	4.17	36.1	112.9
605797179	LOW	5	162	1.75	75.0	57.4
605797179	MID	15	162	3.25	54.2	74.5
605797179	HIGH	25	162	5.25	47.2	102.0
431800085	LOW	3	121	3.0	91.7	60.3
431800085	MID	8	121	3.5	91.7	67.1
431800085	HIGH	13	121	3.5	69.4	76.0
220545880	LOW	3	174	0.0	61.1	82.2
220545880	MID	7	174	4.92	59.7	88.5
220545880	HIGH	11	174	6.08	8.3	95.7
664687906	LOW	5	290	0.0	95.8	48.6
