osm_id	floor_band	repr_floor	n_candidates	sun_hours_winter	view_block_pct	open_angle_mean
939568521	HIGH	13	115	5.33	18.1	96.0
633181639	LOW	2	151	4.92	29.2	102.4
633181639	MID	5	151	4.92	26.4	104.7
633181639	HIGH	9	151	4.92	26.4	109.1
1079940856	LOW	3	130	4.92	58.3	90.6
1079940856	MID	8	130	5.42	45.8	95.1
1079940856	HIGH	13	130	6.08	4.2	102.8
664696235	LOW	6	297	2.25	86.1	57.6
664696235	MID	17	297	2.25	68.1	76.2
664696235	HIGH	28	297	5.58	37.5	93.4
1078142381	LOW	2	200	6.08	12.5	109.6
1078142381	MID	6	200	6.08	0.0	110.5
1078142381	HIGH	10	200	6.08	0.0	115.1
676730674	LOW	2	282	6.08	58.3	92.3
676730674	MID	2	282	6.08	58.3	92.3
676730674	HIGH	4	282	6.08	51.4	99.3
1312584731	LOW	3	112	5.33	19.4	108.2
1312584731	MID	7	112	6.08	9.7	112.2
1312584731	HIGH	12	112	6.08	5.6	116.3
472434692	LOW	5	292	1.08	79.2	59.4
472434692	MID	15	292	1.08	66.7	68.7
472434692	HIGH	25	292	3.0	48.6	93.9
1235155520	LOW	3	140	4.83	55.6	82.2
1235155520	MID	7	140	5.25	51.4	86.3
1235155520	HIGH	11	140	6.08	37.5	91.4
192760523	LOW	2	135	5.5	87.5	72.4
192760523	MID	3	135	5.83	63.9	74.5
192760523	HIGH	5	135	6.08	56.9	78.0
887930253	LOW	2	194	0.33	97.2	55.7
887930253	MID	6	194	1.42	94.4	62.1
887930253	HIGH	10	194	2.08	91.7	69.3
1455441006	LOW	2	90	4.33	77.8	84.7
1455441006	MID	5	90	5.42	62.5	90.4
1455441006	HIGH	9	90	6.08	6.9	98.0
468748458	LOW	3	271	2.58	95.8	68.6
468748458	MID	8	271	5.25	80.6	75.8
468748458	HIGH	13	271	6.08	22.2	83.2
