osm_id	amenity	name	lon	lat
9782073071	bar	Groovin' High	126.9981989	37.4975892
9784132907	pub	공방	126.9989061	37.4978507
9787291688	bar	Le Moulin	126.9978353	37.4987947
9787551379	pub	Thirsty Monk	126.9969615	37.4985931
9787551400	bar		126.996922	37.4979536
9787551731	bar	Teum	126.9981062	37.496339
9789225514	pub	Dublin Irish Pub	127.0264578	37.5020349
9796016379	bar	The House	126.9984445	37.4979087
9796019041	bar	Patio 949	126.9980431	37.4988176
9797826019	pub	Devil's Door Brewery	127.0091323	37.5049638
9798211588	bar	Classic Bar Noy	126.9989993	37.4993331
9798211606	pub	생활맥주	126.9985544	37.4993895
9798453675	pub	Vista Pub	126.9950464	37.5117258
9800866262	bar	Pinet	126.9990925	37.497877
9800885079	bar	Golden Slumber	126.9986892	37.4986633
9800996948	pub	휴락담	126.9983596	37.4994943
9802794909	bar		126.9972076	37.4986394
9802796432	bar	J's Bar	126.9987439	37.4990139
9821576998	pub		126.9988644	37.4999913
11273397569	bar		127.0276391	37.5004629
11419947963	bar	봉구비어	126.977857	37.4758013
11481575987	bar	Liquid Soul	126.9985673	37.499024
11581282060	bar	블루밍 재즈바	127.0335485	37.5058375
11877749681	bar	Jane's Music Bar	127.0131068	37.4871186
11923947239	bar	우이	126.9791368	37.4786511
12074426727	bar	리꼬카페	127.0587558	37.5052257
12074459878	bar	헤비스모커	127.0254968	37.5085681
12074540686	bar	STOPOVER (스탑오버)	127.0266474	37.4955143
12074547631	bar	Abrazo 812	127.0268639	37.5029867
12074561454	bar	이구펍5호점(29PUB)	127.0249293	37.5004266
12074581446	bar	밍글몰트(MINGLE MALT)	127.0289246	37.4991783
12074587819	bar	이월유일	127.019452	37.5179286
12074600472	bar	브루라운지	127.0446471	37.5046034
12074612677	bar	제니스	127.0370643	37.4842598
12074634449	bar	스프라우트 발아	127.0377863	37.4841306
12074635574	bar	펀 비어킹	127.0381537	37.4832763
12074645500	bar	아쿠아	127.0312522	37.5160836
12074680960	bar	THE BAR	127.0277785	37.4940519
12074698464	bar	플랫나인	127.0249623	37.5004146
12074730888	bar	홀스래빗	127.0215851	37.5070876
12074737050	bar	이자카야 코노미	127.0431969	37.4688603
12074738644	bar	위스키오크통	127.0204763	37.5045754
12074739105	bar	노작가의 아지트	127.019278	37.5148254
12074750101	bar	라그랑주점	127.0180089	37.5142029
12074759859	bar	미각담다 다이닝	127.0388073	37.4844243
12074769473	bar	브롱스 양재점	127.0390006	37.4789599
12074770611	bar	뮌헨호프	127.0355921	37.4840221
12074770612	bar	인생한잔	127.0381858	37.4829846
12074779382	bar	이층한우	127.037558	37.4840882
12074785270	bar	멤버	127.0304563	37.4976653
