osm_id	name	isced_level_raw	is_elementary	is_middle	is_high	level_source	lon	lat
415026010			False	False	False	none	127.1300143	37.5221646
416587477			False	False	False	none	127.0620929	37.5869302
416600481	서울은석초등학교	1	True	False	False	isced_tag	127.0752997	37.578448
416600482	동국대학교 사범대학부속 중고등학교	2;3	False	True	True	isced_tag	127.0753196	37.5777128
416602237	서울동답초등학교	1	True	False	False	isced_tag	127.0645451	37.571865
416628847			False	False	False	none	127.0705646	37.5663335
416631526	군자초등학교	1	True	False	False	isced_tag	127.0613935	37.5641666
416631907	서울장평초등학교	1	True	False	False	isced_tag	127.0733096	37.5735373
416753694	서울배봉초등학교	1	True	False	False	isced_tag	127.0662421	37.5798228
416753754	휘봉고등학교	3	False	False	True	isced_tag	127.0685259	37.5864252
416820406			False	False	False	none	127.0837724	37.5742546
416821185	서울중마초등학교	1	True	False	False	isced_tag	127.0797344	37.5658569
416822236	서울용곡초등학교	1	True	False	False	isced_tag	127.0886114	37.5667877
416822237			False	False	False	none	127.089214	37.5633266
416822316	서울중광초등학교	1	True	False	False	isced_tag	127.082482	37.5651153
417059447	서울용마초등학교	1	True	False	False	isced_tag	127.0842186	37.5580303
417065445	서울동의초등학교	1	True	False	False	isced_tag	127.0985247	37.5534024
417140743	서울광장초등학교	1	True	False	False	isced_tag	127.1012737	37.5483219
417140753	광장중학교	2	False	True	False	isced_tag	127.1014943	37.5470165
417323978	광진중학교	2	False	True	False	isced_tag	127.0896541	37.5317383
417323998			False	False	False	none	127.0982234	37.5446173
417362134	서울화양초등학교	1	True	False	False	isced_tag	127.0711553	37.5441516
418851260	풍납중학교	2	False	True	False	isced_tag	127.1163615	37.5254404
418851264	풍성중학교	2	False	True	False	isced_tag	127.1124683	37.5253946
418994893	서울성내초등학교	1	True	False	False	isced_tag	127.1224715	37.5312933
418995544	서울성일초등학교	1	True	False	False	isced_tag	127.1283418	37.5291283
418995545			False	False	False	none	127.1296385	37.5287644
419001643	서울위례초등학교		True	False	False	name	127.1392862	37.5220085
419001644	서울둔촌초등학교		True	False	False	name	127.1372999	37.5258197
419001645	서울한산초등학교	1	True	False	False	isced_tag	127.1415031	37.5280848
419001647	풍납초등학교	1	True	False	False	isced_tag	127.1179951	37.5347486
419132759	동신중학교	2	False	True	False	isced_tag	127.1341531	37.5365293
419330605	서울천일초등학교	1	True	False	False	isced_tag	127.1330852	37.5439932
419351521	서울길동초등학교		True	False	False	name	127.1446581	37.538187
419352612	서울강동초등학교	1	True	False	False	isced_tag	127.1299985	37.545914
419352613	천일중학교		False	True	False	name	127.1278173	37.5456803
419352616	서울신암초등학교	1	True	False	False	isced_tag	127.12433	37.5492965
419353531	서울천호초등학교	1	True	False	False	isced_tag	127.1364765	37.5473239
419364550	신명중학교	2	False	True	False	isced_tag	127.1495217	37.541937
419366224			False	False	False	none	127.1396118	37.5463718
