# 서비스 가격 셀 route OOT metrics
# 주 검증은 ROLLING_1M이며, complex_equal_MAPE_pct는 단지 내 월별 APE 평균 뒤 단지를 동일가중합니다.
# CELL_LAST/AREA_LAST/COMPLEX_MEAN만 MAPE denominator에 포함하며 MODEL_REQUIRED/NO_CELL_CANDIDATE는 route coverage에 포함합니다.
# complex block bootstrap: 200회, seed=20260914; MAPE에는 사후 cutoff를 적용하지 않았습니다.
evaluation_mode	origin_ym	route	household_bin	n_target_rows	n_target_complexes	n_scored_rows	n_scored_complexes	route_share_pct	prediction_coverage_pct	transaction_weighted_MAPE_pct	complex_equal_MAPE_pct	MAE_manwon_per_m2	complex_bootstrap_ci95_low	complex_bootstrap_ci95_high	small_n_status
FROZEN_6M	2026-02	ALL	101+	32156	2868	31833	2852	100	98.9955218310735	9.22345164237152	10.1141019604043	154.077665145109	9.88448262228211	10.3320057890362	OK
FROZEN_6M	2026-02	CELL_LAST	101+	30484	2785	30484	2785	94.8003483020276	100	9.15637228236506	9.98526761347374	154.652443133937	9.76945154457756	10.2184966209642	OK
FROZEN_6M	2026-02	AREA_LAST	101+	1189	672	1189	672	3.69759920388108	100	9.89039414889141	10.1767015572025	133.621502862328	9.64080398280728	10.8718170243471	OK
FROZEN_6M	2026-02	COMPLEX_MEAN	101+	160	108	160	108	0.497574325164821	100	17.0475302060264	16.7343002736532	196.582944787685	14.9376180316583	18.9631174662255	OK
FROZEN_6M	2026-02	MODEL_REQUIRED	101+	10	5	0	0	0.0310983953228013	0						SUPPRESSED
FROZEN_6M	2026-02	NO_CELL_CANDIDATE	101+	313	180	0	0	0.973379773603682	0						OK
FROZEN_6M	2026-02	ALL	UNKNOWN	1416	59	466	29	100	32.909604519774	11.596535777832	10.6227167507189	352.039977124872	8.03215521976082	13.2498819243324	LOW_N
FROZEN_6M	2026-02	CELL_LAST	UNKNOWN	429	27	429	27	30.2966101694915	100	11.8145760777655	10.6769511562849	367.035815723902			SUPPRESSED
FROZEN_6M	2026-02	AREA_LAST	UNKNOWN	37	11	37	11	2.61299435028249	100	9.06844689481973	9.06685839658057	178.169307963146			SUPPRESSED
FROZEN_6M	2026-02	COMPLEX_MEAN	UNKNOWN	0	0	0	0	0							SUPPRESSED
FROZEN_6M	2026-02	MODEL_REQUIRED	UNKNOWN	867	27	0	0	61.228813559322	0						SUPPRESSED
FROZEN_6M	2026-02	NO_CELL_CANDIDATE	UNKNOWN	83	11	0	0	5.86158192090396	0						SUPPRESSED
