aptSeq	floor_band	n_obs	repr_floor	obs_height	winter_sunlight_hours	winter_continuous_hours	winter_total_hours_8_16	sun_hours_spring	open_span_max	view_block_pct	open_angle_mean	assign_confidence
11350-95	HIGH	5	13.0	35.1	6.08	6.08	7.92	8.08	335.0	6.9	101.3	MIXED
11350-95	LOW	5	3.0	7.1	1.83	1.67	2.08	6.0	110.0	61.1	85.6	MIXED
11350-95	MID	5	8.0	21.1	4.5	4.42	5.5	8.08	200.0	43.1	91.5	MIXED
11350-96	HIGH	5	13.0	35.1	6.08	6.08	8.0	8.08	360.0	0.0	85.6	HIGH
11350-96	LOW	5	3.0	7.1	5.17	4.83	5.5	7.83	35.0	87.5	68.9	HIGH
11350-96	MID	5	8.0	21.1	6.08	6.08	6.92	8.08	55.0	73.6	76.9	HIGH
11350-97	HIGH	7	15.0	40.7	6.08	6.08	7.42	8.08	270.0	19.4	113.0	LOW
11350-97	LOW	7	3.0	7.1	3.5	3.5	4.5	6.25	110.0	61.1	85.1	LOW
11350-97	MID	7	9.0	23.9	4.58	4.58	5.58	6.67	125.0	41.7	96.0	LOW
11350-98	HIGH	1	16.0	43.5	6.08	6.08	8.08	8.08	160.0	16.7	108.4	LOW
11350-98	LOW	1	4.0	9.9	5.92	5.92	7.17	8.08	50.0	56.9	78.5	LOW
11350-98	MID	1	10.0	26.7	6.08	6.08	8.08	8.08	70.0	36.1	83.5	LOW
11350-99	HIGH	4	13.0	35.1	6.08	6.08	7.58	8.08	352.5	2.1	90.45	HIGH
11350-99	LOW	4	3.0	7.1	0.79	0.625	0.79	7.125	32.5	86.8	67.65	HIGH
11350-99	MID	4	8.0	21.1	4.875	4.665	5.625	8.08	32.5	81.25	78.95	HIGH
11380-1	HIGH	2	13.5	36.5	6.08	6.08	8.08	8.08	350.0	2.8	111.9	LOW
11380-1	LOW	2	3.0	7.1	6.08	6.08	7.75	7.915	207.5	18.75	96.3	LOW
11380-1	MID	2	8.0	21.1	6.08	6.08	7.835	8.08	327.5	9.0	99.6	LOW
11380-10	HIGH	1	15.0	40.7	5.75	5.75	6.75	8.08	265.0	26.4	99.9	LOW
11380-10	LOW	1	3.0	7.1	2.42	2.25	3.42	4.42	195.0	45.8	76.5	LOW
11380-10	MID	1	9.0	23.9	2.42	2.25	3.42	5.75	195.0	36.1	84.6	LOW
11380-100	HIGH	15	13.0	35.1	6.08	6.08	7.33	8.08	185.0	18.1	88.9	NAME
11380-100	LOW	15	3.0	7.1	2.25	2.25	2.5	6.42	85.0	76.4	71.1	NAME
11380-100	MID	15	8.0	21.1	4.58	4.25	4.83	7.67	95.0	72.2	78.5	NAME
11380-10020	HIGH	22	15.0	40.7	5.705	5.705	7.045	8.08	130.0	36.1	96.0	HIGH
11380-10020	LOW	22	3.0	7.1	1.875	1.75	2.875	6.29	120.0	63.9	68.9	HIGH
11380-10020	MID	22	9.0	23.9	2.335	2.085	3.58	7.79	122.5	62.5	77.4	HIGH
11380-10035	HIGH	1	11.0	29.5	2.25	1.58	3.5	8.0	30.0	83.3	64.7	LOW
11380-10035	LOW	1	3.0	7.1	0.25	0.25	0.25	1.58	20.0	94.4	33.1	LOW
11380-10035	MID	1	7.0	18.3	0.33	0.33	0.5	4.75	20.0	93.1	44.5	LOW
11380-10081	HIGH	1	12.0	32.3	5.58	5.58	5.58	5.42	55.0	63.9	78.1	LOW
11380-10081	LOW	1	3.0	7.1	3.42	3.42	3.42	3.67	50.0	73.6	57.4	LOW
11380-10081	MID	1	7.0	18.3	4.75	4.75	4.75	4.08	50.0	70.8	63.3	LOW
11380-10114	HIGH	1	12.0	32.3	4.25	3.5	6.0	8.08	250.0	19.4	121.6	LOW
11380-10114	LOW	1	3.0	7.1	2.0	1.25	3.67	6.83	150.0	31.9	109.6	LOW
11380-10114	MID	1	7.0	18.3	3.0	2.25	4.75	8.08	250.0	27.8	114.7	LOW
11380-10123	HIGH	1	12.0	32.3	4.17	4.17	4.42	6.25	65.0	58.3	75.4	LOW
11380-10123	LOW	1	3.0	7.1	3.25	3.25	3.25	4.25	30.0	75.0	52.6	LOW
11380-10123	MID	1	7.0	18.3	4.17	4.17	4.17	4.75	50.0	70.8	59.2	LOW
11380-102	HIGH	3	13.0	35.1	5.75	5.75	6.75	8.08	45.0	73.6	74.7	NAME
11380-102	LOW	3	3.0	7.1	1.25	0.83	1.42	6.17	45.0	81.9	61.2	NAME
11380-102	MID	3	8.0	21.1	1.75	0.83	2.75	7.58	45.0	80.6	67.8	NAME
11380-10229	HIGH	1	10.0	26.7	5.5	5.5	5.83	8.08	140.0	37.5	93.3	LOW
11380-10229	LOW	1	2.0	4.3	1.08	1.08	1.08	4.58	90.0	56.9	68.9	LOW
11380-10229	MID	1	6.0	15.5	1.08	1.08	1.08	6.67	95.0	52.8	77.7	LOW
11380-10230	HIGH	1	12.0	32.3	2.58	2.25	4.25	7.58	160.0	45.8	96.4	LOW
11380-10230	LOW	1	3.0	7.1	0.33	0.33	1.17	4.17	150.0	56.9	73.1	LOW
11380-10230	MID	1	7.0	18.3	0.67	0.33	1.5	6.83	150.0	56.9	78.2	LOW
11380-10284	HIGH	1	7.0	18.3	5.75	5.75	6.75	6.92	285.0	16.7	130.0	LOW
11380-10284	LOW	1	2.0	4.3	5.75	5.75	6.75	6.33	260.0	23.6	128.0	LOW
11380-10284	MID	1	4.0	9.9	5.75	5.75	6.75	6.75	265.0	22.2	128.8	LOW
11380-10357	HIGH	1	11.0	29.5	6.0	6.0	7.0	8.08	100.0	55.6	81.1	LOW
11380-10357	LOW	1	3.0	7.1	3.17	2.58	4.17	7.67	35.0	79.2	70.7	LOW
11380-10357	MID	1	7.0	18.3	5.33	5.08	6.33	8.08	55.0	69.4	75.6	LOW
11380-10359	HIGH	1	11.0	29.5	2.75	2.0	2.75	7.17	235.0	26.4	85.2	LOW
11380-10359	LOW	1	3.0	7.1	2.17	1.42	2.17	4.25	85.0	51.4	70.7	LOW
11380-10359	MID	1	7.0	18.3	2.17	1.42	2.17	5.17	85.0	43.1	75.6	LOW
11380-10398	HIGH	1	10.0	26.7	6.08	6.08	7.67	7.33	180.0	44.4	81.4	LOW
11380-10398	LOW	1	2.0	4.3	4.17	4.17	5.17	4.42	125.0	62.5	63.7	LOW
11380-10398	MID	1	6.0	15.5	4.17	4.17	5.17	6.08	125.0	62.5	70.4	LOW
11380-10431	HIGH	1	13.0	35.1	5.83	5.83	6.25	8.08	215.0	29.2	85.6	LOW
11380-10431	LOW	1	3.0	7.1	2.92	2.92	2.92	3.5	40.0	77.8	63.5	LOW
11380-10431	MID	1	8.0	21.1	3.0	3.0	3.0	6.25	45.0	66.7	73.3	LOW
11380-105	HIGH	3	16.0	43.5	6.08	6.08	8.08	8.08	360.0	0.0	136.1	NAME
11380-105	LOW	3	4.0	9.9	4.17	4.17	5.17	6.75	130.0	63.9	91.1	NAME
11380-105	MID	3	10.0	26.7	4.58	4.58	5.58	8.0	130.0	44.4	100.3	NAME
11380-10502	HIGH	1	12.0	32.3	1.75	1.75	1.75	5.08	195.0	43.1	89.1	LOW
11380-10502	LOW	1	3.0	7.1	0.75	0.75	0.75	1.17	170.0	45.8	76.6	LOW
11380-10502	MID	1	7.0	18.3	0.75	0.75	0.75	1.67	170.0	45.8	80.2	LOW
11380-10515	HIGH	1	10.0	26.7	5.33	5.33	6.33	8.08	205.0	29.2	82.6	LOW
11380-10515	LOW	1	2.0	4.3	2.92	2.33	2.92	8.08	30.0	80.6	70.3	LOW
11380-10515	MID	1	6.0	15.5	4.75	3.0	5.42	8.08	40.0	68.1	76.5	LOW
11380-10527	HIGH	3	17.0	46.3	6.08	6.08	8.08	8.08	170.0	22.2	119.3	NAME
11380-10527	LOW	3	4.0	9.9	1.25	0.75	2.67	5.92	50.0	70.8	65.8	NAME
11380-10527	MID	3	10.0	26.7	5.92	5.92	6.92	7.92	75.0	58.3	78.3	NAME
11380-10570	HIGH	1	12.0	32.3	3.5	3.17	4.5	6.83	65.0	52.8	92.3	LOW
11380-10570	LOW	1	3.0	7.1	2.25	1.92	3.25	4.17	65.0	68.1	69.3	LOW
11380-10570	MID	1	7.0	18.3	2.25	1.92	3.25	5.83	65.0	66.7	78.6	LOW
11380-106	HIGH	1	10.0	26.7	6.08	6.08	8.08	8.08	195.0	11.1	94.8	LEVEL_MISMATCH
11380-106	LOW	1	2.0	4.3	3.25	3.25	3.25	7.67	65.0	66.7	73.8	LEVEL_MISMATCH
11380-106	MID	1	6.0	15.5	6.08	6.08	7.75	8.08	100.0	33.3	85.3	LEVEL_MISMATCH
11380-10656	HIGH	1	12.0	32.3	6.08	6.08	7.5	8.08	360.0	0.0	98.3	LOW
11380-10656	LOW	1	3.0	7.1	5.83	5.83	6.83	8.08	150.0	26.4	91.9	LOW
11380-10656	MID	1	7.0	18.3	6.08	6.08	7.17	8.08	220.0	13.9	95.0	LOW
11380-10698	HIGH	1	12.0	32.3	6.08	6.08	7.33	6.5	155.0	44.4	94.2	LOW
11380-10698	LOW	1	3.0	7.1	3.83	3.83	4.83	4.25	115.0	65.3	69.7	LOW
11380-10698	MID	1	7.0	18.3	3.83	3.83	4.83	5.25	115.0	65.3	79.0	LOW
11380-10714	HIGH	3	17.0	46.3	5.75	5.75	6.75	7.08	175.0	37.5	110.3	NAME
11380-10714	LOW	3	4.0	9.9	5.75	5.75	6.75	5.5	85.0	65.3	70.7	NAME
11380-10714	MID	3	10.0	26.7	5.75	5.75	6.75	5.5	160.0	48.6	76.7	NAME
11380-10719	HIGH	13	15.0	40.7	6.08	6.08	7.92	8.08	175.0	37.5	90.2	NAME
11380-10719	LOW	13	3.0	7.1	1.42	1.42	1.42	6.58	60.0	76.4	62.6	NAME
11380-10719	MID	13	9.0	23.9	3.08	2.92	3.33	7.33	60.0	70.8	72.4	NAME
11380-10762	HIGH	1	12.0	32.3	6.08	6.08	8.08	8.08	355.0	1.4	117.0	LOW
11380-10762	LOW	1	3.0	7.1	5.17	5.17	6.0	8.08	90.0	36.1	103.4	LOW
11380-10762	MID	1	7.0	18.3	6.08	6.08	7.67	8.08	180.0	22.2	107.0	LOW
11380-10798	HIGH	1	17.0	46.3	6.08	6.08	8.08	8.08	140.0	26.4	121.7	LEVEL_MISMATCH
11380-10798	LOW	1	4.0	9.9	4.92	4.92	5.92	6.92	50.0	61.1	81.6	LEVEL_MISMATCH
11380-10798	MID	1	10.0	26.7	5.58	5.58	6.58	7.83	95.0	41.7	88.1	LEVEL_MISMATCH
11380-10851	HIGH	1	12.0	32.3	4.58	4.58	5.92	7.67	155.0	25.0	103.1	LOW
11380-10851	LOW	1	3.0	7.1	4.17	4.17	5.5	6.33	105.0	38.9	89.6	LOW
11380-10851	MID	1	7.0	18.3	4.17	4.17	5.5	6.75	110.0	33.3	93.0	LOW
11380-10853	HIGH	1	10.0	26.7	6.08	6.08	8.08	8.08	360.0	0.0	126.2	LOW
11380-10853	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	345.0	4.2	123.8	LOW
11380-10853	MID	1	6.0	15.5	6.08	6.08	8.08	8.08	360.0	0.0	124.4	LOW
11380-10878	HIGH	1	11.0	29.5	6.08	6.08	7.08	7.67	155.0	44.4	78.3	LOW
11380-10878	LOW	1	3.0	7.1	5.08	5.08	5.75	7.33	70.0	61.1	67.2	LOW
11380-10878	MID	1	7.0	18.3	5.75	5.75	6.42	7.33	70.0	55.6	71.9	LOW
11380-10881	HIGH	1	11.0	29.5	6.08	6.08	7.75	8.08	295.0	15.3	92.3	LOW
11380-10881	LOW	1	3.0	7.1	6.08	6.08	7.33	8.08	195.0	43.1	81.6	LOW
11380-10881	MID	1	7.0	18.3	6.08	6.08	7.42	8.08	195.0	34.7	85.9	LOW
11380-109	HIGH	2	13.0	35.1	6.08	6.08	8.08	8.08	350.0	2.8	104.55000000000001	NAME
11380-109	LOW	2	3.0	7.1	4.08	4.04	5.455	7.375	180.0	47.9	89.15	NAME
11380-109	MID	2	8.0	21.1	5.915	5.915	7.415	8.08	200.0	38.900000000000006	95.9	NAME
11380-10900	HIGH	1	10.0	26.7	6.08	6.08	8.08	8.08	360.0	0.0	90.8	LOW
11380-10900	LOW	1	2.0	4.3	6.08	6.08	7.83	8.08	105.0	34.7	80.0	LOW
11380-10900	MID	1	6.0	15.5	6.08	6.08	8.0	8.08	200.0	22.2	84.8	LOW
11380-10903	HIGH	8	15.0	40.7	6.08	6.08	7.295	7.915	217.5	38.2	92.05	NAME
11380-10903	LOW	8	3.0	7.1	1.625	1.625	2.125	6.165	22.5	89.6	61.400000000000006	NAME
11380-10903	MID	8	9.0	23.9	5.375	5.375	6.0	6.5	95.0	63.85	72.44999999999999	NAME
11380-10906	HIGH	1	12.0	32.3	6.08	6.08	8.08	8.08	270.0	15.3	108.1	LOW
11380-10906	LOW	1	3.0	7.1	6.08	6.08	8.08	8.08	110.0	55.6	87.3	LOW
11380-10906	MID	1	7.0	18.3	6.08	6.08	8.08	8.08	110.0	51.4	92.6	LOW
11380-10925	HIGH	2	12.0	32.3	5.54	5.455	7.165	7.915	315.0	12.5	100.5	LOW
11380-10925	LOW	2	3.0	7.1	5.455	5.455	6.835	6.915	225.0	20.85	80.4	LOW
11380-10925	MID	2	7.0	18.3	5.455	5.455	6.875	6.915	225.0	20.85	86.45	LOW
11380-10927	HIGH	1	12.0	32.3	6.08	6.08	7.25	6.92	110.0	55.6	79.5	LOW
11380-10927	LOW	1	3.0	7.1	6.08	6.08	7.25	6.17	40.0	68.1	61.3	LOW
11380-10927	MID	1	7.0	18.3	6.08	6.08	7.25	6.25	40.0	68.1	66.5	LOW
11380-10928	HIGH	1	10.0	26.7	5.92	5.92	6.92	7.08	185.0	37.5	83.0	LOW
11380-10928	LOW	1	2.0	4.3	4.33	3.17	4.75	5.5	105.0	59.7	61.4	LOW
11380-10928	MID	1	6.0	15.5	5.75	5.75	6.75	5.83	110.0	55.6	69.6	LOW
11380-10932	HIGH	1	13.0	35.1	4.58	4.58	5.58	5.25	250.0	22.2	98.5	LOW
11380-10932	LOW	1	3.0	7.1	4.17	4.17	5.17	4.67	185.0	40.3	76.7	LOW
11380-10932	MID	1	8.0	21.1	4.58	4.58	5.58	4.67	245.0	25.0	87.7	LOW
11380-10938	HIGH	3	28.0	77.1	6.08	6.08	8.08	8.08	360.0	0.0	157.9	NAME
11380-10938	LOW	3	6.0	15.5	5.33	5.33	5.58	8.08	140.0	31.9	121.2	NAME
11380-10938	MID	3	17.0	46.3	6.08	6.08	7.58	8.08	220.0	18.1	131.1	NAME
11380-10944	HIGH	6	12.0	32.3	6.0	5.915	7.165	7.955	130.0	38.15	86.4	NAME
11380-10944	LOW	6	3.0	7.1	0.835	0.75	1.0	6.0	25.0	86.8	58.2	NAME
11380-10944	MID	6	7.0	18.3	2.42	1.54	2.71	7.5	30.0	84.7	67.44999999999999	NAME
11380-10961	HIGH	9	15.0	40.7	6.08	6.08	7.83	8.08	230.0	18.1	87.9	NAME
11380-10961	LOW	9	3.0	7.1	1.25	0.92	1.75	6.25	50.0	81.9	63.2	NAME
11380-10961	MID	9	9.0	23.9	3.17	2.58	3.5	7.67	50.0	68.1	71.3	NAME
11380-10967	HIGH	13	16.0	43.5	5.92	5.92	6.92	8.08	135.0	40.3	95.6	NAME
11380-10967	LOW	11	4.0	9.9	2.5	2.25	2.83	6.5	70.0	70.8	71.4	NAME
11380-10967	MID	13	10.0	26.7	2.58	2.58	3.42	6.83	75.0	68.1	77.6	NAME
11380-10994	HIGH	1	11.0	29.5	6.08	6.08	7.58	8.08	95.0	45.8	87.1	LOW
11380-10994	LOW	1	3.0	7.1	5.17	5.17	5.67	7.33	45.0	72.2	75.2	LOW
11380-10994	MID	1	7.0	18.3	5.58	5.58	6.08	7.58	75.0	56.9	80.9	LOW
11380-10996	HIGH	1	7.0	18.3	6.08	6.08	7.75	8.08	230.0	36.1	102.1	LOW
11380-10996	LOW	1	2.0	4.3	6.08	6.08	7.42	8.08	215.0	40.3	98.0	LOW
11380-10996	MID	1	4.0	9.9	6.08	6.08	7.58	8.08	215.0	38.9	99.6	LOW
11380-10998	HIGH	1	10.0	26.7	3.83	3.83	4.08	5.17	60.0	61.1	78.9	LOW
11380-10998	LOW	1	2.0	4.3	2.92	2.92	2.92	3.92	35.0	70.8	62.1	LOW
11380-10998	MID	1	6.0	15.5	3.67	3.67	3.67	4.75	40.0	68.1	70.6	LOW
11380-11	HIGH	10	13.0	35.1	6.08	6.08	7.625	8.08	270.0	18.049999999999997	89.80000000000001	NAME
11380-11	LOW	10	3.0	7.1	2.75	2.58	3.165	7.125	97.5	72.9	72.15	NAME
11380-11	MID	10	8.0	21.1	4.46	4.295	5.5	7.875	105.0	66.65	79.65	NAME
11380-11008	HIGH	11	21.0	57.5	6.08	6.08	7.25	8.08	190.0	40.3	114.6	MIXED
11380-11008	LOW	11	5.0	12.7	5.75	5.75	6.75	5.83	65.0	63.9	63.3	MIXED
11380-11008	MID	11	13.0	35.1	5.75	5.75	6.75	6.17	145.0	52.8	78.6	MIXED
11380-11015	HIGH	20	16.0	43.5	5.71	5.71	6.71	8.08	140.0	43.75	96.9	MIXED
11380-11015	LOW	20	4.0	9.9	2.0	1.5	2.835	6.835	57.5	74.3	65.7	MIXED
11380-11015	MID	20	10.0	26.7	3.125	3.04	3.955	7.5	72.5	69.4	73.65	MIXED
11380-11027	HIGH	1	11.0	29.5	3.75	3.75	3.75	8.08	80.0	44.4	98.5	LOW
11380-11027	LOW	1	3.0	7.1	0.67	0.67	0.67	3.67	30.0	68.1	80.0	LOW
11380-11027	MID	1	7.0	18.3	2.92	2.92	2.92	6.5	60.0	62.5	88.7	LOW
11380-11029	HIGH	1	12.0	32.3	6.08	6.08	7.92	8.08	235.0	15.3	91.9	LOW
11380-11029	LOW	1	3.0	7.1	5.75	5.75	6.42	8.08	80.0	48.6	80.9	LOW
11380-11029	MID	1	7.0	18.3	6.08	6.08	7.08	8.08	190.0	31.9	85.1	LOW
11380-11035	HIGH	1	12.0	32.3	6.08	6.08	8.0	7.08	215.0	36.1	76.9	LOW
11380-11035	LOW	1	3.0	7.1	6.08	6.08	7.75	7.08	175.0	45.8	69.0	LOW
11380-11035	MID	1	7.0	18.3	6.08	6.08	7.83	7.08	215.0	37.5	71.7	LOW
11380-11061	HIGH	9	16.0	43.5	5.75	5.75	6.33	8.08	140.0	58.3	83.6	NAME
11380-11061	LOW	9	4.0	9.9	0.17	0.17	0.17	5.17	45.0	76.4	58.3	NAME
11380-11061	MID	9	10.0	26.7	3.33	3.25	3.33	5.92	70.0	72.2	69.6	NAME
11380-11072	HIGH	1	11.0	29.5	6.08	6.08	7.75	8.08	125.0	51.4	91.7	LOW
11380-11072	LOW	1	3.0	7.1	6.08	6.08	7.25	6.83	125.0	54.2	76.9	LOW
11380-11072	MID	1	7.0	18.3	6.08	6.08	7.67	7.67	125.0	52.8	84.8	LOW
11380-11078	HIGH	32	15.0	40.7	6.08	6.08	7.83	8.08	225.0	34.7	95.85	NAME
11380-11078	LOW	32	3.0	7.1	1.96	1.58	2.625	6.42	55.0	80.6	63.2	NAME
11380-11078	MID	32	9.0	23.9	5.0	4.75	5.795	7.75	112.5	62.5	72.9	NAME
11380-11083	HIGH	1	12.0	32.3	6.08	6.08	7.25	8.08	320.0	11.1	108.5	LOW
11380-11083	LOW	1	3.0	7.1	6.08	6.08	7.25	7.33	115.0	30.6	93.3	LOW
11380-11083	MID	1	7.0	18.3	6.08	6.08	7.25	7.75	255.0	22.2	96.5	LOW
11380-11085	HIGH	1	12.0	32.3	5.17	5.17	5.75	6.92	45.0	75.0	72.0	LOW
11380-11085	LOW	1	3.0	7.1	2.42	2.42	2.42	3.42	10.0	94.4	40.8	LOW
11380-11085	MID	1	7.0	18.3	3.17	3.17	3.17	5.17	25.0	91.7	49.3	LOW
11380-11086	HIGH	15	15.0	40.7	5.33	5.33	6.33	8.08	145.0	44.4	89.6	NAME
11380-11086	LOW	15	3.0	7.1	1.25	1.17	1.67	4.42	45.0	76.4	60.9	NAME
11380-11086	MID	15	9.0	23.9	3.08	2.67	3.42	6.08	125.0	61.1	71.4	NAME
11380-11087	HIGH	1	12.0	32.3	6.08	6.08	7.75	7.33	110.0	45.8	73.0	LOW
11380-11087	LOW	1	3.0	7.1	2.0	1.58	2.33	6.5	45.0	69.4	62.5	LOW
11380-11087	MID	1	7.0	18.3	2.83	1.75	3.58	7.33	110.0	55.6	67.2	LOW
11380-111	HIGH	1	13.0	35.1	5.92	5.92	6.92	8.08	120.0	33.3	83.6	LOW
11380-111	LOW	1	3.0	7.1	2.75	2.75	3.0	3.5	20.0	88.9	57.1	LOW
11380-111	MID	1	8.0	21.1	3.5	3.5	4.17	6.33	30.0	69.4	67.8	LOW
11380-11101	HIGH	1	17.0	46.3	6.0	6.0	7.0	8.08	335.0	6.9	125.7	LOW
11380-11101	LOW	1	4.0	9.9	4.42	4.42	4.58	5.25	15.0	87.5	63.2	LOW
11380-11101	MID	1	10.0	26.7	5.33	5.33	6.33	6.75	100.0	62.5	74.6	LOW
11380-11103	HIGH	1	11.0	29.5	5.42	5.42	6.42	8.08	265.0	15.3	90.0	LOW
11380-11103	LOW	1	3.0	7.1	4.17	4.17	5.17	7.0	140.0	48.6	78.2	LOW
11380-11103	MID	1	7.0	18.3	4.17	4.17	5.17	8.08	165.0	38.9	83.2	LOW
11380-11109	HIGH	1	11.0	29.5	6.08	6.08	7.67	8.08	105.0	26.4	86.9	LOW
11380-11109	LOW	1	3.0	7.1	5.92	5.92	6.33	7.83	75.0	48.6	76.4	LOW
11380-11109	MID	1	7.0	18.3	6.08	6.08	7.0	7.83	75.0	37.5	80.9	LOW
11380-11110	HIGH	1	11.0	29.5	6.08	6.08	8.08	8.08	170.0	40.3	92.1	LOW
11380-11110	LOW	1	3.0	7.1	6.08	6.08	7.83	7.83	165.0	48.6	76.5	LOW
11380-11110	MID	1	7.0	18.3	6.08	6.08	8.0	7.83	165.0	45.8	84.0	LOW
11380-11157	HIGH	1	7.0	18.3	6.08	6.08	8.0	7.17	275.0	23.6	123.5	LOW
11380-11157	LOW	1	2.0	4.3	6.08	6.08	7.92	6.83	265.0	26.4	119.7	LOW
11380-11157	MID	1	4.0	9.9	6.08	6.08	8.0	6.92	275.0	23.6	120.7	LOW
11380-11169	HIGH	11	15.0	40.7	6.08	6.08	8.0	8.08	220.0	29.2	96.4	NAME
11380-11169	LOW	11	3.0	7.1	2.17	2.17	2.5	7.33	50.0	75.0	66.2	NAME
11380-11169	MID	11	9.0	23.9	3.67	3.25	4.33	7.83	65.0	61.1	73.7	NAME
11380-11173	HIGH	1	10.0	26.7	6.08	6.08	7.75	8.08	235.0	27.8	92.9	LOW
11380-11173	LOW	1	2.0	4.3	5.92	5.92	6.17	6.75	105.0	45.8	83.4	LOW
11380-11173	MID	1	6.0	15.5	5.92	5.92	6.67	8.0	235.0	27.8	87.4	LOW
11380-11177	HIGH	1	11.0	29.5	6.08	6.08	8.08	8.08	265.0	13.9	100.5	LOW
11380-11177	LOW	1	3.0	7.1	6.0	6.0	7.0	7.83	50.0	52.8	86.6	LOW
11380-11177	MID	1	7.0	18.3	6.08	6.08	7.75	7.83	160.0	37.5	92.4	LOW
11380-11181	HIGH	2	17.0	46.3	5.455	5.29	7.455	8.08	312.5	13.2	151.35	NAME
11380-11181	LOW	2	4.0	9.9	4.79	4.625	6.58	7.25	195.0	24.299999999999997	111.2	NAME
11380-11181	MID	2	10.0	26.7	4.79	4.625	6.75	7.625	252.5	16.0	116.55	NAME
11380-11186	HIGH	1	17.0	46.3	5.0	5.0	6.33	8.08	200.0	13.9	147.2	LOW
11380-11186	LOW	1	4.0	9.9	3.5	2.58	4.5	5.17	85.0	51.4	85.3	LOW
11380-11186	MID	1	10.0	26.7	4.58	4.58	5.58	7.83	85.0	41.7	100.9	LOW
11380-11199	HIGH	1	8.0	21.1	6.0	6.0	7.0	8.08	170.0	11.1	103.8	LOW
11380-11199	LOW	1	2.0	4.3	5.75	5.75	6.75	8.08	145.0	22.2	95.4	LOW
11380-11199	MID	1	5.0	12.7	5.75	5.75	6.75	8.08	170.0	18.1	97.0	LOW
11380-11202	HIGH	1	11.0	29.5	6.08	6.08	7.75	8.08	310.0	13.9	92.7	LEVEL_MISMATCH
11380-11202	LOW	1	3.0	7.1	1.08	1.08	1.08	5.5	90.0	72.2	66.9	LEVEL_MISMATCH
11380-11202	MID	1	7.0	18.3	4.25	4.25	4.25	7.83	130.0	59.7	78.7	LEVEL_MISMATCH
11380-11209	HIGH	1	12.0	32.3	2.25	2.25	2.25	4.83	50.0	76.4	62.0	LOW
11380-11209	LOW	1	3.0	7.1	0.0	0.0	0.0	2.17	20.0	94.4	30.3	LOW
11380-11209	MID	1	7.0	18.3	0.0	0.0	0.0	2.17	20.0	94.4	38.5	LOW
11380-11215	HIGH	1	12.0	32.3	3.17	3.17	3.83	4.83	40.0	76.4	66.3	LOW
11380-11215	LOW	1	3.0	7.1	0.0	0.0	0.0	2.92	40.0	88.9	37.9	LOW
11380-11215	MID	1	7.0	18.3	0.0	0.0	0.0	4.25	40.0	88.9	45.3	LOW
11380-11221	HIGH	8	20.5	56.099999999999994	6.08	6.08	7.25	8.08	215.0	32.65	95.6	NAME
11380-11221	LOW	8	4.5	11.3	3.04	2.79	3.415	6.165	47.5	74.35	64.35	NAME
11380-11221	MID	8	12.0	32.3	4.58	4.58	5.125	7.25	60.0	64.55000000000001	74.85	NAME
11380-11230	HIGH	1	13.0	35.1	6.08	6.08	8.08	8.08	335.0	6.9	99.6	LOW
11380-11230	LOW	1	3.0	7.1	6.08	6.08	7.92	8.08	155.0	31.9	91.5	LOW
11380-11230	MID	1	8.0	21.1	6.08	6.08	8.08	8.08	280.0	19.4	93.8	LOW
11380-11238	HIGH	1	12.0	32.3	6.08	6.08	7.17	8.08	70.0	58.3	72.1	LOW
11380-11238	LOW	1	3.0	7.1	3.17	3.17	3.17	6.83	35.0	88.9	50.7	LOW
11380-11238	MID	1	7.0	18.3	3.67	3.67	3.67	7.08	35.0	87.5	58.5	LOW
11380-11247	HIGH	8	13.0	35.1	6.08	6.08	8.0	8.08	202.5	37.5	90.85	NAME
11380-11247	LOW	8	3.0	7.1	2.75	2.75	3.585	6.375	30.0	79.15	68.15	NAME
11380-11247	MID	8	8.0	21.1	3.75	3.5	4.96	7.54	77.5	67.35	76.7	NAME
11380-11265	HIGH	1	20.0	54.7	6.08	6.08	8.08	8.08	350.0	2.8	101.6	NAME
11380-11265	LOW	1	4.0	9.9	6.08	6.08	7.25	8.08	65.0	76.4	72.2	NAME
11380-11265	MID	1	12.0	32.3	6.08	6.08	8.0	8.08	105.0	52.8	80.1	NAME
11380-11266	HIGH	3	19.0	51.9	6.08	6.08	6.92	8.08	125.0	29.2	95.2	NAME
11380-11266	LOW	3	4.0	9.9	5.83	5.83	5.83	5.17	65.0	81.9	65.8	NAME
11380-11266	MID	3	11.0	29.5	5.92	5.92	6.08	7.42	85.0	66.7	74.5	NAME
11380-11267	HIGH	6	17.0	46.3	5.625	5.625	6.625	8.08	127.5	39.6	88.25	NAME
11380-11267	LOW	6	4.0	9.9	3.04	3.04	3.665	5.165	72.5	72.2	66.6	NAME
11380-11267	MID	6	10.0	26.7	3.75	3.665	3.875	7.085	100.0	59.7	76.35	NAME
11380-11268	HIGH	4	17.0	46.3	3.705	3.705	3.875	7.29	155.0	36.85	88.25	NAME
11380-11268	LOW	4	3.5	8.5	1.085	0.96	1.085	4.33	40.0	78.5	59.199999999999996	NAME
11380-11268	MID	4	10.0	26.7	1.455	1.455	1.455	5.665	50.0	72.2	68.9	NAME
11380-11272	HIGH	1	14.0	37.9	6.08	6.08	8.08	8.08	320.0	11.1	119.6	LOW
