aptSeq	floor_band	n_obs	repr_floor	obs_height	winter_sunlight_hours	winter_continuous_hours	winter_total_hours_8_16	sun_hours_spring	open_span_max	view_block_pct	open_angle_mean	assign_confidence
11110-16	LOW	1	3.0	7.1	5.75	5.75	7.08	8.08	170.0	25.0	105.3	LOW
11110-16	MID	1	8.0	21.1	6.08	6.08	8.08	8.08	175.0	16.7	115.3	LOW
11110-17	HIGH	1	15.0	40.7	6.08	6.08	8.08	8.08	230.0	34.7	95.9	LEVEL_MISMATCH
11110-17	LOW	1	3.0	7.1	2.42	2.42	2.42	7.42	0.0	100.0	57.3	LEVEL_MISMATCH
11110-17	MID	1	9.0	23.9	5.67	5.67	6.67	8.08	220.0	38.9	73.2	LEVEL_MISMATCH
11110-204	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	153.0	LOW
11110-204	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	146.6	LOW
11110-204	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	146.7	LOW
11110-2071	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	167.2	LEVEL_MISMATCH
11110-2071	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	167.1	LEVEL_MISMATCH
11110-2071	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	167.1	LEVEL_MISMATCH
11110-2073	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	340.0	5.6	170.1	LOW
11110-2073	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	330.0	8.3	169.7	LOW
11110-2073	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	330.0	8.3	169.8	LOW
11110-2082	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	155.6	LOW
11110-2082	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	147.9	LOW
11110-2082	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	148.0	LOW
11110-210	HIGH	1	5.0	12.7	6.08	6.08	8.08	8.08	360.0	0.0	155.6	LEVEL_MISMATCH
11110-210	LOW	1	2.0	4.3	6.08	6.08	8.08	8.08	360.0	0.0	150.4	LEVEL_MISMATCH
11110-210	MID	1	3.0	7.1	6.08	6.08	8.08	8.08	360.0	0.0	150.5	LEVEL_MISMATCH
11110-2109	HIGH	1	5.0	12.7	2.25	1.67	2.25	6.92	95.0	50.0	94.1	LOW
11110-2109	LOW	1	2.0	4.3	1.0	1.0	1.0	6.42	70.0	55.6	91.3	LOW
11110-2109	MID	1	3.0	7.1	1.33	1.33	1.33	6.5	70.0	55.6	92.2	LOW
11110-211	HIGH	1	6.0	15.5	0.0	0.0	0.0	3.08	185.0	48.6	90.3	LOW
11110-211	LOW	1	2.0	4.3	0.0	0.0	0.0	2.33	105.0	55.6	83.8	LOW
11110-211	MID	1	4.0	9.9	0.0	0.0	0.0	2.58	105.0	55.6	86.9	LOW
11110-2150	HIGH	1	13.0	35.1	6.08	6.08	8.0	8.08	325.0	9.7	96.5	LOW
11110-2150	LOW	1	3.0	7.1	6.08	6.08	7.83	8.08	170.0	15.3	92.2	LOW
11110-2150	MID	1	8.0	21.1	6.08	6.08	7.92	8.08	170.0	12.5	94.3	LOW
11110-2155	HIGH	1	16.0	43.5	6.08	6.08	7.92	8.08	100.0	31.9	84.8	LEVEL_MISMATCH
11110-2155	LOW	1	4.0	9.9	2.25	2.25	2.83	8.08	40.0	73.6	66.7	LEVEL_MISMATCH
11110-2155	MID	1	10.0	26.7	6.08	6.08	6.92	8.08	75.0	59.7	75.7	LEVEL_MISMATCH
11110-2164	HIGH	1	10.0	26.7	6.08	6.08	7.42	8.08	325.0	9.7	123.8	LOW
11110-2164	LOW	1	2.0	4.3	6.08	6.08	6.33	8.08	165.0	43.1	111.0	LOW
11110-2164	MID	1	6.0	15.5	6.08	6.08	7.17	8.08	165.0	29.2	119.3	LOW
11110-2175	HIGH	1	6.0	15.5	6.08	6.08	8.0	8.08	360.0	0.0	138.2	NAME
11110-2175	LOW	1	2.0	4.3	6.08	6.08	7.83	8.08	360.0	0.0	132.7	NAME
