confidence	aptSeq	apt_name	gu	addr_road	n_deals	build_year	reg_year	osm_year_median	year_diff	n_dong	reg_dong	dong_diff	reg_units	n_by_boundary	n_height_imputed	max_levels	max_height_m	mean_dist	dong_dist_max	levels_spread	year_spread	prescreen	dong_list	kakao_map_url	verdict	note
LEVEL_MISMATCH	11200-2777	드림	성동구	서울 성동구 왕십리로31길 9-50	2	2006.0	2006.0	2001.0	5.0	1.0	1.0	0.0	17.0	0.0	0.0	23.0	62.0	245.0156302021961	245.0	0.0	0.0		?:23F:62m	https://map.kakao.com/link/map/드림,37.5633784983076,127.028319202028		
LEVEL_MISMATCH	11230-94	유엔팰리스(131-1)	동대문구	서울 동대문구 한천로32길 37	2	2004.0	2004.0	2018.0	14.0	1.0	1.0	0.0	18.0	0.0	0.0	10.0	30.0	226.6294959465705	227.0	0.0	0.0		?:10F:30m	https://map.kakao.com/link/map/유엔팰리스(131-1),37.5745943566491,127.069298838729		
LEVEL_MISMATCH	11140-24	청계상가	중구	서울 중구 청계천로 160	2	1971.0	1971.0	2023.0	52.0	1.0	1.0	0.0	40.0	0.0	0.0	27.0	90.0	195.0499251272216	195.0	0.0	0.0		힐스테이트 세운 1단지:27F:90m	https://map.kakao.com/link/map/청계상가,37.5679798569884,126.995365114169		
LEVEL_MISMATCH	11680-517	현대빌라트	강남구	서울 강남구 봉은사로74길 5	2	2004.0	2004.0	2014.0	10.0	1.0	1.0	0.0	14.0	0.0	0.0	16.0	57.0	136.77863474264214	137.0	0.0	0.0		?:16F:57m	https://map.kakao.com/link/map/현대빌라트,37.5120410665115,127.051640489159		
LEVEL_MISMATCH	11260-130	동성네스트빌102	중랑구	서울 중랑구 용마산로40길 27-5	1	2001.0	2001.0	2015.0	14.0	1.0	1.0	0.0	15.0	0.0	0.0	12.0	35.0	117.41690666782968	117.0	0.0	0.0		104동:12F:35m	https://map.kakao.com/link/map/동성네스트빌102,37.5718765467111,127.08766917859		
LEVEL_MISMATCH	11230-2399	(57-30)	동대문구	서울 동대문구 회기로25길 17-9	1	2013.0	2013.0	2015.0	2.0	2.0	2.0	0.0	29.0	0.0	0.0	16.0	59.0	152.49673723110817	154.0	3.0	8.0	준공편차8년	?:13F:59m | ?:16F:47m	https://map.kakao.com/link/map/(57-30),37.5910355516331,127.054614018206		
LOW	11440-5818	마포웨스트리버태영데시앙	마포구	서울 마포구 서강로3길 32	224	2019.0	2019.0	2019.0	0.0	4.0	4.0	0.0	276.0	0.0	0.0	21.0	61.0	38.49304927264373	58.0	7.0	0.0		?:21F:61m | ?:21F:61m | ?:19F:55m | ?:14F:41m	https://map.kakao.com/link/map/마포웨스트리버태영데시앙,37.5500177865994,126.930854061378		
LOW	11290-3519	돈암힐스테이트	성북구	서울 성북구 아리랑로 68	97	2007.0	2007.0	2007.0	0.0	6.0	6.0	0.0	200.0	0.0	0.0	12.0	35.0	36.49675500770185	59.0	3.0	0.0		?:11F:35m | ?:9F:27m | ?:12F:35m | ?:12F:35m | ?:10F:29m | ?:12F:35m	https://map.kakao.com/link/map/돈암힐스테이트,37.5987879114086,127.015087054825		
LOW	11230-2996	에스아이팰리스장안센텀	동대문구	서울 동대문구 한천로2길 84	77	2020.0	2020.0	2020.0	0.0	1.0	1.0	0.0	99.0	0.0	0.0	19.0	77.0	2.3949123967585857	2.0	0.0	0.0		SI팰리스:19F:77m	https://map.kakao.com/link/map/에스아이팰리스장안센텀,37.5623247513887,127.063251157141		
LOW	11380-174	대호아파트	은평구	서울 은평구 불광로 98-8	40	1999.0	1999.0	2000.0	1.0	1.0	1.0	0.0	100.0	0.0	0.0	17.0	43.0	55.3455996093718	55.0	0.0	0.0		?:17F:43m	https://map.kakao.com/link/map/대호아파트,37.6147632328943,126.93331346676		
