osm_id	building_type	name	truth_id	truth_name	cluster_id
605878713	apartments	103동	593865558.0	반포센트럴푸르지오써밋아파트	84
605878714	apartments	104동	593865558.0	반포센트럴푸르지오써밋아파트	86
605878715	apartments	105동	593865558.0	반포센트럴푸르지오써밋아파트	86
605878716	apartments	106동	593865558.0	반포센트럴푸르지오써밋아파트	86
606009736	apartments	108동	414891735.0	잠원동아아파트	31
606127865	apartments	205동	589466066.0	래미안서초에스티지S아파트	131
606127866	apartments	201동	589466066.0	래미안서초에스티지S아파트	131
606127867	apartments	204동	589466066.0	래미안서초에스티지S아파트	131
606127868	apartments	203동	589466066.0	래미안서초에스티지S아파트	131
606127869	apartments	202동	589466066.0	래미안서초에스티지S아파트	131
606127885	apartments				181
606583570	apartments	501	606127876.0	서초우성5차아파트	182
606583571	apartments	502	606127876.0	서초우성5차아파트	182
610468913	apartments	93동	471724556.0	압구정현대8차아파트	267
610468914	apartments	92동	471724556.0	압구정현대8차아파트	266
610468922	apartments	32동	471726187.0	압구정한양3차아파트	263
610468925	apartments	31동	471726187.0	압구정한양3차아파트	263
610468928	apartments	36동	471726187.0	압구정한양3차아파트	263
610468930	apartments	33동	471726187.0	압구정한양3차아파트	263
610468946	apartments	11동	471726603.0	압구정한양1차아파트	263
610468949	apartments	26동	471725144.0	압구정한양2차아파트	336
610468951	apartments	15동	471725144.0	압구정한양2차아파트	338
610468953	apartments	23동	471725144.0	압구정한양2차아파트	338
610468956	apartments	22동	471725144.0	압구정한양2차아파트	338
610468958	apartments	21동	471725144.0	압구정한양2차아파트	340
611808435	apartments	강남블루지움			812
613615241	apartments	6동	436698263.0	잠원한신아파트	41
613615244	apartments	5동	436698263.0	잠원한신아파트	41
614353914	apartments	비엘 106			181
614507237	apartments	1동	614507236.0	삼호아파트	289
614507238	apartments	2동	614507236.0	삼호아파트	349
614627411	apartments				235
614627417	apartments				235
615425154	apartments	1동	436698263.0	잠원한신아파트	41
615425157	apartments	7동	436698263.0	잠원한신아파트	41
615425159	apartments	4동	436698263.0	잠원한신아파트	41
615425160	apartments	2동	436698263.0	잠원한신아파트	41
615425344	apartments	3동	436698263.0	잠원한신아파트	41
615428747	apartments	잠원현대훼밀리아파트	589460691.0	잠원현대훼밀리아파트	34
615428750	apartments	노블레스 아파트			91
628575420	apartments		379417121.0	도곡동 현대하이페리온아파트	223
628575421	apartments		379417121.0	도곡동 현대하이페리온아파트	223
632227525	apartments				227
632227529	apartments				181
633166602	apartments	연세리버테라스아파트			379
633181637	apartments	목화아파트			379
633181639	apartments	현대한강빌라			379
633181642	apartments	강변상지리츠빌			379
636205477	apartments	101	614507246.0	래미안도곡카운티아파트	352
636205478	apartments	102	614507246.0	래미안도곡카운티아파트	352
636205479	apartments	103	614507246.0	래미안도곡카운티아파트	352
636205480	apartments	104	614507246.0	래미안도곡카운티아파트	352
636205481	apartments	105	614507246.0	래미안도곡카운티아파트	352
636205482	apartments	106	614507246.0	래미안도곡카운티아파트	352
636205483	apartments	107	614507246.0	래미안도곡카운티아파트	352
