aptSeq	apt_name	gu	confidence	osm_id	name	name_key	levels	height_m	dist_m	assign_method
11200-3114	옥수파크힐스101동~116동	성동구	MIXED	865253148	125	125	15.0	42.0	160.4710793995955	boundary
11200-3114	옥수파크힐스101동~116동	성동구	MIXED	865253149	120	120	17.0	47.6	122.79798646285134	boundary
11200-3114	옥수파크힐스101동~116동	성동구	MIXED	865253150	117	117	14.0	39.2	3.248799244299654	boundary
11200-3114	옥수파크힐스101동~116동	성동구	MIXED	865253151	118	118	15.0	42.0	47.73503669480967	boundary
11200-3114	옥수파크힐스101동~116동	성동구	MIXED	865253152	119	119	15.0	42.0	95.34612893617432	boundary
11170-3209	용산롯데캐슬센터포레	용산구	HIGH	871872271	206	206	12.0	35.0	120.01393991569624	boundary
11200-3215	아크로서울포레스트	성동구	HIGH	871884982	D TOWER	DTOWER	33.0	157.0	79.67676494479046	boundary
11200-82	서울숲리버그린동아아파트	성동구	MIXED	874577107	101	101	34.0	97.0	228.5559690923772	nearest
11200-3143	옥수파크힐스117동~125동	성동구	LOW	874748114	111	111	18.0	50.4	132.19387181130563	nearest
11200-3143	옥수파크힐스117동~125동	성동구	LOW	874748115	112	112	18.0	50.4	187.1185675451847	nearest
11200-3143	옥수파크힐스117동~125동	성동구	LOW	874748118	106	106	20.0	56.0	150.5839113738392	nearest
11200-3143	옥수파크힐스117동~125동	성동구	LOW	874748119	113	113	16.0	44.8	240.63538496197052	nearest
11200-3143	옥수파크힐스117동~125동	성동구	LOW	874748120	114	114	16.0	44.8	299.20043466378934	nearest
11200-3143	옥수파크힐스117동~125동	성동구	LOW	874748121	115	115	16.0	44.8	320.7627142267294	nearest
11200-3143	옥수파크힐스117동~125동	성동구	LOW	874748122	116	116	15.0	42.0	250.33973223532877	nearest
11290-54	정릉푸른마을동아	성북구	LOW	877362572	808	808	13.0	37.0	202.49403411590092	nearest
11290-3815	길음뉴타운7단지(두산위브)	성북구	HIGH	877368313	707	707	13.0	38.0	79.3617212580859	boundary
11290-211	길음뉴타운3단지푸르지오	성북구	HIGH	877368322	307	307	14.0	39.0	193.32559981591223	boundary
11290-3825	길음뉴타운9단지(래미안)	성북구	HIGH	877381487	951	951	9.0	25.0	105.81619191837684	boundary
11290-3825	길음뉴타운9단지(래미안)	성북구	HIGH	877381488	952	952	15.0	43.0	90.47820130914208	boundary
