aptSeq	floor_band	river_view	park_view	mountain_view	open_span_max
11470-5271	MID	False	True		125.0
11470-5271	HIGH	False	True		180.0
11470-5692	LOW	False	True		52.5
11470-5692	MID	False	True		57.5
11470-5692	HIGH	False	True		140.0
11470-137	LOW	False	True		60.0
11470-137	MID	False	True		65.0
11470-137	HIGH	False	True		235.0
11470-171	LOW	False	True		125.0
11470-171	MID	False	True		295.0
11470-171	HIGH	False	True		355.0
11470-140	LOW	False	True		95.0
11470-140	MID	False	True		95.0
11470-140	HIGH	False	True		160.0
11470-166	LOW	False	False		87.5
11470-166	MID	False	False		125.0
11470-166	HIGH	False	True		220.0
11470-200	LOW	False	True		52.5
11470-200	MID	False	True		65.0
11470-200	HIGH	False	True		205.0
11470-136	LOW	False	True		115.0
11470-136	MID	False	True		210.0
11470-136	HIGH	False	True		210.0
11470-3928	LOW	False	True		45.0
11470-3928	MID	False	True		185.0
11470-3928	HIGH	False	True		322.5
11470-3927	LOW	False	True		55.0
11470-3927	MID	False	True		55.0
11470-3927	HIGH	False	True		240.0
11470-135	LOW	False	True		30.0
11470-135	MID	False	True		42.5
11470-135	HIGH	False	True		70.0
11470-331	LOW	False	True		75.0
11470-331	MID	False	True		105.0
11470-331	HIGH	False	True		310.0
11470-182	LOW	False	True		92.5
11470-182	MID	False	True		92.5
11470-182	HIGH	False	True		202.5
11470-139	LOW	False	True		22.5
11470-139	MID	False	True		27.5
11470-139	HIGH	False	True		162.5
11470-138	LOW	False	True		60.0
11470-138	MID	False	True		60.0
11470-138	HIGH	False	True		95.0
11530-87	LOW	False	True		332.5
11530-87	MID	False	True		335.0
11530-87	HIGH	False	True		340.0
11530-73	LOW	False	True	True	230.0
11530-73	MID	False	True		317.5
11530-73	HIGH	False	True		360.0
11530-56	LOW	False	True		60.0
11530-56	MID	False	True		70.0
11530-56	HIGH	False	True		285.0
11470-211	LOW	False	True		250.0
11470-211	MID	False	True		255.0
11470-211	HIGH	False	True		265.0
11470-153	LOW	False	True		72.5
11470-153	MID	False	True		75.0
11470-153	HIGH	False	True		287.5
11470-3985	LOW	False	True		105.0
11470-3985	MID	False	True		110.0
11470-3985	HIGH	False	True		350.0
11530-51	LOW	False	True		90.0
11530-51	MID	False	True		95.0
11530-51	HIGH	False	True		135.0
11530-3775	LOW	False	True	True	125.0
11530-3775	MID	False	True	True	135.0
11530-3775	HIGH	False	True	True	222.5
11530-3515	LOW	False	True	True	60.0
11530-3515	MID	False	True	True	115.0
11530-3515	HIGH	False	True	True	275.0
11530-4325	LOW	False	True	True	60.0
11530-4325	MID	False	True	True	115.0
11530-4325	HIGH	False	True	True	167.5
11530-4349	LOW	False	True	True	360.0
11530-4349	MID	False	True	True	360.0
11530-4349	HIGH	False	True	True	360.0
11530-3359	LOW	False	True	True	360.0
11530-3359	MID	False	True	True	360.0
11530-3359	HIGH	False	True	True	360.0
11530-3262	LOW	False	True	True	360.0
11530-3262	MID	False	True	True	360.0
11530-3262	HIGH	False	True	True	360.0
11470-120	LOW	False	True		80.0
11470-120	MID	False	True		100.0
11470-120	HIGH	False	True		350.0
11530-4688	LOW	False	True		15.0
11530-4688	MID	False	True	True	60.0
11530-4688	HIGH	False	True		95.0
11530-96	LOW	False	True		90.0
11530-96	MID	False	True		135.0
11530-96	HIGH	False	True		250.0
11530-4223	LOW	False	True		37.5
11530-4223	MID	False	True		42.5
11530-4223	HIGH	False	True	True	72.5
11530-3146	LOW	False	False		50.0
11530-3146	MID	False	False		50.0
11530-3146	HIGH	False	False		50.0
11470-121	LOW	False	True		32.5
11470-121	MID	False	True		70.0
11470-121	HIGH	False	True		227.5
11530-3292	LOW	False	True		240.0
11530-3292	MID	False	True		240.0
11530-3292	HIGH	False	True		245.0
11470-4594	LOW	False	True	True	122.5
11470-4594	MID	False	True	True	142.5
11470-4594	HIGH	False	True	True	317.5
11470-4601	LOW	False	True	True	120.0
11470-4601	MID	False	True	True	120.0
11470-4601	HIGH	False	True	True	250.0
11530-4350	LOW	False	True	True	275.0
11530-4350	MID	False	True	True	337.5
11530-4350	HIGH	False	True	True	352.5
11530-4363	LOW	False	True	True	115.0
11530-4363	MID	False	True	True	142.5
11530-4363	HIGH	False	True	True	157.5
11530-4373	LOW	False	True	True	95.0
11530-4373	MID	False	True	True	100.0
