apt_seq	name	exclude_reason	matched_keyword	sale_5y_n	rent_5y_n	jeonse_share	built_year	total_households	rule
11380-9593	불광롯데캐슬(임대)	RENTAL_ONLY	임대	0	31	0.06451612903225806	2018.0		
11410-3620	DMC래미안클라시스(임대)	RENTAL_ONLY	임대	0	152	0.16447368421052633	2000.0		
11410-3630		NO_SALE_5Y		0	211	0.13744075829383887	1998.0		R1
11410-3631	동부센트레빌(임대)	RENTAL_ONLY	임대	0	59	0.03389830508474576	2002.0		
11410-3678		NO_SALE_5Y		0	101	0.2376237623762376	2000.0		R1
11410-3694	남가좌동현대(임대)	RENTAL_ONLY	임대	0	142	0.15492957746478872	1999.0		
11410-4110		NO_SALE_5Y		0	125	0.36	2000.0		R1
11410-4117	벽산임대(108동)	RENTAL_ONLY	임대	0	18	0.16666666666666666	1997.0	180.0	
11410-4508	DMC파크뷰자이1단지(임대)	RENTAL_ONLY	임대	0	53	0.5471698113207547	2015.0		
11410-4509	DMC파크뷰자이2단지(임대)	RENTAL_ONLY	임대	0	98	0.45918367346938777	2015.0		
11410-4829		NO_SALE_5Y		0	1612	0.0006203473945409429	2020.0	499.0	R1
11410-6		NO_SALE_5Y		0	63	0.6984126984126984	1971.0	109.0	R1
11440-3930		NO_SALE_5Y		0	416	0.24278846153846154	2003.0	820.0	R1
11440-4393		NO_SALE_5Y		0	1157	0.16421780466724287	2008.0	840.0	R1
11440-4649		NO_SALE_5Y		0	91	0.21978021978021978	1999.0	1424.0	R1
11440-4816		NO_SALE_5Y		0	145	0.06896551724137931	2000.0		R1
11440-5144	상록임대	RENTAL_ONLY	임대	0	111	0.06306306306306306	1997.0	178.0	
11440-5457	공덕자이(임대)	RENTAL_ONLY	임대	0	85	0.32941176470588235	2015.0		
11440-5459		NO_SALE_5Y		0	219	0.0045662100456621	2015.0	70.0	R1
11440-5871		NO_SALE_5Y		0	1532	0.0013054830287206266	2020.0	913.0	R1
11440-5947		NO_SALE_5Y		0	1332	0.0007507507507507507	2021.0	589.0	R1
11470-3984		NO_SALE_5Y		0	726	0.11570247933884298	1995.0	2998.0	R1
11470-3985		NO_SALE_5Y		0	182	0.15934065934065933	2000.0	510.0	R1
11470-3986		NO_SALE_5Y		0	452	0.13716814159292035	2000.0	1140.0	R1
11470-3987		NO_SALE_5Y		0	222	0.06306306306306306	2000.0	698.0	R1
11470-3988		NO_SALE_5Y		0	132	0.12878787878787878	1996.0	506.0	R1
11470-3989		NO_SALE_5Y		0	140	0.02857142857142857	1997.0	564.0	R1
11470-3990		NO_SALE_5Y		0	224	0.12946428571428573	2001.0	500.0	R1
11470-4163		NO_SALE_5Y		0	67	0.14925373134328357	1997.0	540.0	R1
11500-4229	가양도시개발공사8단지(임대)	RENTAL_ONLY	임대	0	247	0.1214574898785425	1992.0	1110.0	
11500-4231		NO_SALE_5Y		0	188	0.10638297872340426	1992.0	914.0	R1
11500-5079		NO_SALE_5Y		0	76	0.10526315789473684	1996.0	250.0	R1
11500-5080		NO_SALE_5Y		0	142	0.035211267605633804	1994.0	1000.0	R1
11500-6830		NO_SALE_5Y		0	157	0.01910828025477707	2014.0	97.0	R1
11500-7752		NO_SALE_5Y		0	157	0.01910828025477707	2018.0	59.0	R1
11500-7858		NO_SALE_5Y		0	80	0.2625	2018.0	106.0	R1
11500-7927		NO_SALE_5Y		0	536	0.005597014925373134	2019.0	299.0	R1
11500-8025		NO_SALE_5Y		0	145	0.593103448275862	2020.0	48.0	R1
11500-8035		NO_SALE_5Y		0	101	0.5445544554455446	2020.0	32.0	R1
11500-8040		NO_SALE_5Y		0	101	0.5445544554455446	2020.0	32.0	R1
11500-8044		NO_SALE_5Y		0	518	0.0019305019305019305	2020.0	285.0	R1
11500-8189		NO_SALE_5Y		0	300	0.9233333333333333	2021.0	84.0	R1
11500-8192		NO_SALE_5Y		0	843	0.0011862396204033216	2021.0	429.0	R1
11500-8228		NO_SALE_5Y		0	532	0.0018796992481203006	2022.0	252.0	R1
11500-8238		NO_SALE_5Y		0	175	0.08571428571428572	2022.0	82.0	R1
11500-8497		NO_SALE_5Y		0	255	0.00392156862745098	2023.0	523.0	R2
11530-1436		NO_SALE_5Y		0	148	0.1554054054054054	1998.0	442.0	R1
11530-3622		NO_SALE_5Y		0	260	0.85	2012.0	149.0	R1
11530-4123		NO_SALE_5Y		0	965	0.015544041450777202	2017.0	374.0	R1
11530-4438		NO_SALE_5Y		0	2792	0.0010744985673352436	2020.0	1042.0	R1
11530-4593		NO_SALE_5Y		0	764	0.002617801047120419	2022.0	746.0	R1
11530-4594		NO_SALE_5Y		0	1483	0.0013486176668914363	2022.0		R1
11530-581	행복주택	RENTAL_ONLY	행복주택	0	4	0.75	1997.0	5.0	
11545-2630		NO_SALE_5Y		0	189	0.42857142857142855	2017.0	75.0	R1
11560-1213	당산SHVILLE	RENTAL_ONLY	SH	0	213	0.352112676056338	2005.0	195.0	
11560-1560		NO_SALE_5Y		0	168	0.005952380952380952	2012.0	62.0	R1
11560-1887		NO_SALE_5Y		0	125	0.816	2016.0	94.0	R1
11560-1942		NO_SALE_5Y		0	158	0.006329113924050633	2017.0	293.0	R1
11560-2224		NO_SALE_5Y		0	239	0.008368200836820083	2021.0	99.0	R1
11560-2386		NO_SALE_5Y		0	331	0.03927492447129909	2023.0	162.0	R2
11590-2833		NO_SALE_5Y		0	35	0.3142857142857143	1998.0	110.0	R1
11590-3291	SHVille(임대)	RENTAL_ONLY	임대	0	10	0.1	2001.0		
11590-3366	본동에스에이치빌(임대)	RENTAL_ONLY	임대	0	27	0.2222222222222222	2006.0		
11590-3367		NO_SALE_5Y		0	376	0.11702127659574468	2006.0	953.0	R1
